#
#  Contact times for Orbits 1-78
#  Calculated Tue Oct 13 13:38:20 EDT 2020 by POC
#  Calculated from file tess_ops_20201013.ics
#
Sector,Orbit,Start UTC,End UTC,Start TJD,End TJD,Orbit Duration (days)
1,9,2018-07-25 19:25:00,2018-08-08 00:30:00,1325.3098,1338.5216,13.21
1,10,2018-08-09 03:40:00,2018-08-22 16:15:00,1339.6536,1353.1779,13.52
2,11,2018-08-23 14:25:00,2018-09-05 15:40:00,1354.1015,1367.1536,13.05
2,12,2018-09-07 02:15:00,2018-09-20 00:20:00,1368.5946,1381.5147,12.92
3,13,2018-09-21 05:15:00,2018-10-03 22:35:00,1382.7196,1395.4418,12.72
3,14,2018-10-05 03:50:00,2018-10-17 20:50:00,1396.6605,1409.3689,12.71
4,15,2018-10-19 09:35:00,2018-11-01 00:15:00,1410.9001,1423.5112,12.61
4,16,2018-11-02 01:10:00,2018-11-14 08:25:00,1424.5494,1436.8515,12.30
5,17,2018-11-15 11:25:00,2018-11-27 16:45:00,1437.9765,1450.1987,12.22
5,18,2018-11-29 01:10:00,2018-12-11 18:55:00,1451.5494,1464.2890,12.74
6,19,2018-12-12 16:55:00,2018-12-24 12:30:00,1465.2057,1477.0216,11.82
6,20,2018-12-25 14:30:00,2019-01-06 13:05:00,1478.1050,1490.0459,11.94
7,21,2019-01-08 02:35:00,2019-01-19 12:55:00,1491.6084,1503.0390,11.43
7,22,2019-01-21 04:45:00,2019-02-01 14:05:00,1504.6987,1516.0876,11.39
8,23,2019-02-02 20:10:00,2019-02-14 13:35:00,1517.3411,1529.0668,11.73
8,24,2019-02-15 18:10:00,2019-02-27 12:00:00,1530.2577,1542.0008,11.74
9,25,2019-02-28 17:10:00,2019-03-13 01:00:00,1543.2161,1555.5425,12.33
9,26,2019-03-14 05:20:00,2019-03-25 23:25:00,1556.7230,1568.4765,11.75
10,27,2019-03-26 22:20:00,2019-04-08 06:50:00,1569.4314,1581.7855,12.35
10,28,2019-04-09 06:15:00,2019-04-22 04:20:00,1582.7612,1595.6814,12.92
11,29,2019-04-23 06:30:00,2019-05-06 04:40:00,1596.7716,1609.6952,12.92
11,30,2019-05-07 06:35:00,2019-05-20 09:25:00,1610.7751,1623.8932,13.12
12,31,2019-05-21 10:45:00,2019-06-04 11:55:00,1624.9487,1638.9973,14.05
12,32,2019-06-05 12:45:00,2019-06-18 09:25:00,1640.0321,1652.8932,12.86
13,33,2019-06-19 09:55:00,2019-07-03 04:35:00,1653.9140,1667.6918,13.78
13,34,2019-07-04 02:50:00,2019-07-17 20:35:00,1668.6189,1682.3584,13.74
14,35,2019-07-18 20:20:00,2019-07-31 21:20:00,1683.3480,1696.3897,13.04
14,36,2019-08-01 20:05:00,2019-08-14 16:55:00,1697.3376,1710.2057,12.87
15,37,2019-08-15 20:35:00,2019-08-28 08:35:00,1711.3584,1723.8584,12.50
15,38,2019-08-29 10:25:00,2019-09-10 21:50:00,1724.9348,1737.4105,12.48
16,39,2019-09-12 03:30:00,2019-09-23 20:35:00,1738.6466,1750.3584,11.71
16,40,2019-09-25 03:35:00,2019-10-06 19:40:00,1751.6501,1763.3202,11.67
17,41,2019-10-08 04:15:00,2019-10-19 19:05:00,1764.6779,1776.2959,11.62
17,42,2019-10-21 05:20:00,2019-11-02 04:40:00,1777.7230,1789.6952,11.97
18,43,2019-11-03 03:35:00,2019-11-14 22:35:00,1790.6501,1802.4418,11.79
18,44,2019-11-15 22:35:00,2019-11-27 12:45:00,1803.4418,1815.0321,11.59
19,45,2019-11-28 13:50:00,2019-12-10 11:50:00,1816.0772,1827.9939,11.92
19,46,2019-12-11 11:00:00,2019-12-23 15:35:00,1828.9591,1841.1501,12.19
20,47,2019-12-24 23:55:00,2020-01-06 08:35:00,1842.4973,1854.8584,12.36
20,48,2020-01-07 21:20:00,2020-01-20 07:45:00,1856.3897,1868.8237,12.43
21,49,2020-01-21 22:15:00,2020-02-04 11:50:00,1870.4279,1883.9939,13.57
21,50,2020-02-05 10:00:00,2020-02-18 06:45:00,1884.9175,1897.7821,12.86
22,51,2020-02-19 19:10:00,2020-03-04 00:05:00,1899.2994,1912.5043,13.20
22,52,2020-03-05 01:35:00,2020-03-17 23:50:00,1913.5668,1926.4939,12.93
23,53,2020-03-19 14:20:00,2020-04-01 08:55:00,1928.0980,1940.8723,12.77
23,54,2020-04-02 07:55:00,2020-04-15 09:00:00,1941.8307,1954.8758,13.05
24,55,2020-04-16 06:55:00,2020-04-28 20:20:00,1955.7890,1968.3480,12.56
24,56,2020-04-29 18:20:00,2020-05-12 18:45:00,1969.2647,1982.2821,13.02
25,57,2020-05-14 03:00:00,2020-05-26 03:15:00,1983.6258,1995.6362,12.01
25,58,2020-05-27 09:50:00,2020-06-08 19:20:00,1996.9105,2009.3064,12.40
26,59,2020-06-09 18:15:00,2020-06-21 16:35:00,2010.2612,2022.1918,11.93
26,60,2020-06-22 14:35:00,2020-07-04 15:15:00,2023.1084,2035.1362,12.03
27,61,2020-07-05 18:30:00,2020-07-17 15:05:00,2036.2716,2048.1293,11.86
27,62,2020-07-18 15:30:00,2020-07-30 03:25:00,2049.1466,2060.6432,11.50
28,63,2020-07-31 08:15:00,2020-08-12 11:05:00,2061.8446,2073.9626,12.12
28,64,2020-08-13 16:00:00,2020-08-25 14:20:00,2075.1675,2087.0980,11.93
29,65,2020-08-26 17:35:00,2020-09-08 21:00:00,2088.2334,2101.3758,13.14
29,66,2020-09-09 19:40:00,2020-09-21 22:25:00,2102.3202,2114.4348,12.11
30,67,2020-09-23 09:05:00,2020-10-06 15:20:00,2115.8793,2129.1397,13.26
30,68,2020-10-07 16:50:00,2020-10-20 17:20:00,2130.2022,2143.2230,13.02
31,69,2020-10-22 00:10:00,2020-11-03 22:55:00,2144.5077,2157.4557,12.95
31,70,2020-11-05 08:30:00,2020-11-18 12:40:00,2158.8550,2172.0286,13.17
32,71,2020-11-19 13:35:00,2020-12-02 10:35:00,2173.0668,2185.9418,12.88
32,72,2020-12-03 10:35:00,2020-12-16 17:35:00,2186.9418,2200.2334,13.29
33,73,2020-12-18 05:25:00,2020-12-30 08:45:00,2201.7265,2213.8654,12.14
33,74,2020-12-31 22:15:00,2021-01-13 01:45:00,2215.4279,2227.5737,12.15
34,75,2021-01-14 10:15:00,2021-01-26 09:45:00,2228.9279,2240.9071,11.98
34,76,2021-01-27 11:30:00,2021-02-08 13:35:00,2241.9800,2254.0668,12.09
35,77,2021-02-09 11:35:00,2021-02-21 15:35:00,2254.9834,2267.1501,12.17
35,78,2021-02-23 01:55:00,2021-03-06 11:25:00,2268.5807,2279.9765,11.40
