# time,flux,flux_err
5.200347222222222143e+01,1.002181548976731174e+00,5.000000000000000104e-04
5.200625000000000142e+01,1.001679521266491069e+00,5.000000000000000104e-04
5.200902777777778141e+01,1.002280924582757526e+00,5.000000000000000104e-04
5.201180555555556140e+01,1.002073776006426442e+00,5.000000000000000104e-04
5.201458333333334139e+01,1.001221324318236627e+00,5.000000000000000104e-04
5.201736111111112137e+01,1.002758853515429482e+00,5.000000000000000104e-04
5.202013888888890136e+01,1.002887964033933654e+00,5.000000000000000104e-04
5.202291666666668135e+01,1.001687572446714247e+00,5.000000000000000104e-04
5.202569444444446134e+01,1.001803072972120345e+00,5.000000000000000104e-04
5.202847222222224133e+01,1.002141827312977407e+00,5.000000000000000104e-04
5.203125000000002132e+01,1.002167106810303299e+00,5.000000000000000104e-04
5.203402777777780130e+01,1.002329146795702952e+00,5.000000000000000104e-04
5.203680555555558129e+01,1.003003985621022887e+00,5.000000000000000104e-04
5.203958333333336128e+01,1.001908431367897423e+00,5.000000000000000104e-04
5.204236111111114127e+01,1.001392568188122834e+00,5.000000000000000104e-04
5.204513888888892126e+01,9.997374538380922049e-01,5.000000000000000104e-04
5.204791666666670125e+01,9.978748251405961112e-01,5.000000000000000104e-04
5.205069444444448123e+01,9.957344355082671239e-01,5.000000000000000104e-04
5.205347222222226122e+01,9.948395404622724092e-01,5.000000000000000104e-04
5.205625000000004121e+01,9.926422850571322565e-01,5.000000000000000104e-04
5.205902777777782120e+01,9.922432887223817666e-01,5.000000000000000104e-04
5.206180555555560119e+01,9.915176767480469167e-01,5.000000000000000104e-04
5.206458333333338118e+01,9.916286319435566599e-01,5.000000000000000104e-04
5.206736111111116116e+01,9.918914320991338851e-01,5.000000000000000104e-04
5.207013888888894115e+01,9.900222596567849198e-01,5.000000000000000104e-04
5.207291666666672114e+01,9.897559208061702529e-01,5.000000000000000104e-04
5.207569444444450113e+01,9.902795083422787359e-01,5.000000000000000104e-04
5.207847222222228112e+01,9.898920158155253279e-01,5.000000000000000104e-04
5.208125000000006111e+01,9.902996086791160391e-01,5.000000000000000104e-04
5.208402777777784110e+01,9.895208594968756266e-01,5.000000000000000104e-04
5.208680555555562108e+01,9.889261890652102371e-01,5.000000000000000104e-04
5.208958333333340107e+01,9.892999793310029988e-01,5.000000000000000104e-04
5.209236111111118106e+01,9.894778743282167666e-01,5.000000000000000104e-04
5.209513888888896105e+01,9.892713711603819959e-01,5.000000000000000104e-04
5.209791666666674104e+01,9.890702387558292230e-01,5.000000000000000104e-04
5.210069444444452103e+01,9.893228070077132452e-01,5.000000000000000104e-04
5.210347222222230101e+01,9.893642980687348265e-01,5.000000000000000104e-04
5.210625000000008100e+01,9.894785198108210222e-01,5.000000000000000104e-04
5.210902777777786099e+01,9.891378839061498729e-01,5.000000000000000104e-04
5.211180555555564098e+01,9.887754682875327106e-01,5.000000000000000104e-04
5.211458333333342097e+01,9.889988753408538447e-01,5.000000000000000104e-04
5.211736111111120096e+01,9.896183882433104984e-01,5.000000000000000104e-04
5.212013888888898094e+01,9.887221966195095524e-01,5.000000000000000104e-04
5.212291666666676093e+01,9.894600615851195657e-01,5.000000000000000104e-04
5.212569444444454092e+01,9.892583230527565163e-01,5.000000000000000104e-04
5.212847222222232091e+01,9.896889412121152585e-01,5.000000000000000104e-04
5.213125000000010090e+01,9.905817704885062636e-01,5.000000000000000104e-04
5.213402777777788089e+01,9.903654729799863388e-01,5.000000000000000104e-04
5.213680555555566087e+01,9.906954560945608890e-01,5.000000000000000104e-04
5.213958333333344086e+01,9.904927114380472908e-01,5.000000000000000104e-04
5.214236111111122085e+01,9.921817877807939112e-01,5.000000000000000104e-04
5.214513888888900084e+01,9.929735173884247645e-01,5.000000000000000104e-04
5.214791666666678083e+01,9.949841702162093293e-01,5.000000000000000104e-04
5.215069444444456082e+01,9.960294147402314335e-01,5.000000000000000104e-04
5.215347222222234080e+01,9.986648681171929054e-01,5.000000000000000104e-04
5.215625000000012079e+01,1.000473447532036264e+00,5.000000000000000104e-04
5.215902777777790078e+01,1.001850422341963753e+00,5.000000000000000104e-04
5.216180555555568077e+01,1.000976123693158470e+00,5.000000000000000104e-04
5.216458333333346076e+01,1.001124852434159607e+00,5.000000000000000104e-04
5.216736111111124075e+01,1.001250373569600116e+00,5.000000000000000104e-04
5.217013888888902073e+01,1.001000346168493760e+00,5.000000000000000104e-04
5.217291666666680072e+01,1.000643993188465863e+00,5.000000000000000104e-04
5.217569444444458071e+01,1.000923995146789203e+00,5.000000000000000104e-04
5.217847222222236070e+01,1.001323097826229302e+00,5.000000000000000104e-04
5.218125000000014069e+01,1.000231967831148872e+00,5.000000000000000104e-04
5.218402777777792068e+01,1.000770285850044017e+00,5.000000000000000104e-04
5.218680555555570066e+01,1.000311968595863688e+00,5.000000000000000104e-04
5.218958333333348065e+01,1.001217453393708823e+00,5.000000000000000104e-04
5.219236111111126064e+01,9.998159315770549505e-01,5.000000000000000104e-04
5.219513888888904063e+01,1.000255373870202469e+00,5.000000000000000104e-04
5.219791666666682062e+01,1.000680486390683965e+00,5.000000000000000104e-04
5.220069444444460061e+01,1.001231445233149664e+00,5.000000000000000104e-04
5.220347222222238059e+01,1.000372389290535846e+00,5.000000000000000104e-04
5.220625000000016058e+01,1.000084045737922533e+00,5.000000000000000104e-04
5.220902777777794057e+01,1.001258426533164769e+00,5.000000000000000104e-04
5.221180555555572056e+01,9.995498865898961860e-01,5.000000000000000104e-04
5.221458333333350055e+01,9.991304008529506842e-01,5.000000000000000104e-04
5.221736111111128054e+01,1.000405607868740887e+00,5.000000000000000104e-04
5.222013888888906052e+01,9.998902786931239683e-01,5.000000000000000104e-04
5.222291666666684051e+01,9.995863247805480967e-01,5.000000000000000104e-04
5.222569444444462050e+01,1.000406706926353806e+00,5.000000000000000104e-04
5.222847222222240049e+01,1.000129990634148092e+00,5.000000000000000104e-04
5.223125000000018048e+01,9.996816085414184094e-01,5.000000000000000104e-04
5.223402777777796047e+01,9.992790711879120380e-01,5.000000000000000104e-04
5.223680555555574045e+01,1.000311067469892290e+00,5.000000000000000104e-04
5.223958333333352044e+01,1.000155616618690013e+00,5.000000000000000104e-04
5.224236111111130043e+01,9.997366890141230478e-01,5.000000000000000104e-04
5.224513888888908042e+01,1.000665461898244235e+00,5.000000000000000104e-04
5.224791666666686041e+01,9.991630948026174464e-01,5.000000000000000104e-04
5.225069444444464040e+01,9.988915174478004699e-01,5.000000000000000104e-04
