#property,value,lower_error,upper_error,source
$R_\star/a_\mathrm{B}$,0.12153694697879464,0.0027215770922810467,0.002854338414911173,derived
$a_\mathrm{B}/R_\star$,8.227950634432464,0.1888022581208837,0.1884688991289014,derived
$R_\mathrm{B}/a_\mathrm{B}$,0.019841420506914696,0.000602837139782101,0.0006052520787865404,derived
$R_\mathrm{B}$ ($\mathrm{R_{\oplus}}$),56.360172487283116,4.512580991817863,4.5164501835527275,derived
$R_\mathrm{B}$ ($\mathrm{R_{jup}}$),5.028126449688642,0.40258620298653724,0.40293138974595344,derived
$a_\mathrm{B}$ ($\mathrm{R_{\odot}}$),26.048818382524928,2.135254734814872,2.154875187882819,derived
$a_\mathrm{B}$ (AU),0.12113917707468141,0.00992993223807101,0.010021176512708702,derived
$i_\mathrm{B}$ (deg),85.74663035708622,0.3054701330200942,0.3101308831696201,derived
$b_\mathrm{tra;B}$,0.6196433065244498,0.0334316305883412,0.030525972165990845,derived
$T_\mathrm{tot;B}$ (h),7.8451664022225245,0.08830894414306645,0.09650465052462298,derived
$T_\mathrm{full;B}$ (h),4.46650012717256,0.21412902601560724,0.2200459215572863,derived
$b_\mathrm{occ;B}$,0.586666213045515,0.03165241665113483,0.028901395854016187,derived
$T_\mathrm{0;occ;B}$,2455026.751214075,0.0016198409721255302,0.0016403784975409508,derived
$rho_\mathrm{\star;B}$ (cgs),0.15077199123146184,0.010131713500560247,0.010594519847300199,derived
$T_\mathrm{eq;B}$ (K),1172.8930878978877,47.91755615397028,47.88609726560139,derived
$\delta_\mathrm{tr; undil; B; Kepler}$ (ppt),27.931255802930654,0.3983482015986759,0.40462136375962743,derived
$\delta_\mathrm{tr; dil; B; Kepler}$ (ppt),27.931255802930654,0.3983482015986759,0.40462136375962743,derived
$\delta_\mathrm{occ; undil; B; Kepler}$ (ppm),1404.5606267336086,308.90103160691183,311.6769529975529,derived
$\delta_\mathrm{occ; dil; B; Kepler}$ (ppm),1404.5606267336086,308.90103160691183,311.6769529975529,derived
Limb darkening $u_\mathrm{1; Kepler}$,0.2098171728815008,0.14769665497169132,0.20210689882076244,derived
Limb darkening $u_\mathrm{2; Kepler}$,0.17836490644119168,0.26810748051193256,0.2882053000171825,derived
$rho_\mathrm{\star; combined}$ (cgs),0.15077199123146184,0.010131713500560247,0.010594519847300199,derived
