#BJD_DRS,RVC_DRS,RV_err_DRS
2.453001829616620E+06,1.065998835224510E+01,1.443335883990730E-03
2.453034606513320E+06,1.066646532265330E+01,7.767565125370990E-04
2.453289868972530E+06,1.064482268700930E+01,1.245407122333920E-03
2.453289870037320E+06,1.064277270686790E+01,1.088767312419050E-03
2.453289871090540E+06,1.064464532501570E+01,1.068592340525890E-03
2.453289872120600E+06,1.064494453897020E+01,1.129503727514250E-03
2.453289873196970E+06,1.064522124190440E+01,1.145207470016830E-03
2.453289874250180E+06,1.064648121215520E+01,1.148167136462490E-03
2.453289875280260E+06,1.064591161264420E+01,1.103188749817490E-03
2.453289876345050E+06,1.064714819126830E+01,1.090446729892730E-03
2.453289877409840E+06,1.064492124076520E+01,1.175069764974800E-03
2.453289878439900E+06,1.064727237653150E+01,1.139728567743730E-03
2.453291871345240E+06,1.063852971544460E+01,1.548995483735610E-03
2.453291872398470E+06,1.064122183104140E+01,1.580118102861850E-03
2.453291873451670E+06,1.063669127817260E+01,1.789958960377890E-03
2.453291874481750E+06,1.064222392418090E+01,1.644191255344590E-03
2.453291875534960E+06,1.063837346705030E+01,1.437913051223100E-03
2.453291876565040E+06,1.063781332443210E+01,1.448433826651960E-03
2.453291877652970E+06,1.063808768456100E+01,1.601139467839540E-03
2.453291878683050E+06,1.063992495855800E+01,1.438364709488490E-03
2.453292866970560E+06,1.064072977341420E+01,1.552895983908890E-03
2.453292868023780E+06,1.063609009845320E+01,1.599910625767160E-03
2.453292869088570E+06,1.063871372186000E+01,1.540118926985800E-03
2.453292870141780E+06,1.063941425405930E+01,1.590087265127000E-03
2.453292871183420E+06,1.063633263254260E+01,1.618295527625170E-03
2.453292872213500E+06,1.063640036573090E+01,1.528423577393770E-03
2.453292873278290E+06,1.064082577357890E+01,1.583713696874890E-03
2.453292874354660E+06,1.063954122965670E+01,1.699724019882500E-03
2.453294866982940E+06,1.063728946046500E+01,1.619142236632270E-03
2.453294868036170E+06,1.063078490398000E+01,1.926994574945300E-03
2.453294869112540E+06,1.063066600269250E+01,2.256589757888830E-03
2.453294870142600E+06,1.063496363307420E+01,2.017707476037310E-03
2.453294871195820E+06,1.063388672185920E+01,1.969167560095780E-03
2.453294872260610E+06,1.063865238996960E+01,1.891603787899630E-03
2.453294873313820E+06,1.063448480262630E+01,1.817591837582090E-03
2.453294874367040E+06,1.063471989788740E+01,1.959848086143650E-03
2.453296863396440E+06,1.063774248257800E+01,9.821682964591020E-04
2.453296864391780E+06,1.063819134382620E+01,8.948418273019540E-04
2.453296865479730E+06,1.063589360230470E+01,9.210820814821520E-04
2.453296866521370E+06,1.063512000272720E+01,9.225803808151980E-04
2.453296867551430E+06,1.063857030866070E+01,9.355075585395900E-04
2.453296868639380E+06,1.063931998904950E+01,9.151898351724140E-04
2.453296869681010E+06,1.063821655715210E+01,8.877086331180020E-04
2.453296870757380E+06,1.063544041084480E+01,9.913886044592640E-04
2.453296871810600E+06,1.063641332612660E+01,8.928954870201630E-04
2.453296872817520E+06,1.063887150122580E+01,9.471886464071980E-04
2.454047795579620E+06,1.068928542390020E+01,4.817260219926210E-04
2.454049776088790E+06,1.068624491909550E+01,5.106328542870470E-04
2.454051788542990E+06,1.068977474647890E+01,6.047203671862510E-04
2.454051793184120E+06,1.068940459474410E+01,5.582654056045450E-04
2.454053853034620E+06,1.069325207325150E+01,3.047660048753180E-04
2.454053856726690E+06,1.069179824901740E+01,3.923860430650630E-04
2.454055841764850E+06,1.069514788579910E+01,4.005571568081590E-04
