# time,flux,flux_err
2.458325296999999788e+06,9.999161100000000246e-01,1.000000000000000000e+00
2.458325298400000203e+06,1.000042799999999898e+00,1.000000000000000000e+00
2.458325299800000153e+06,9.999879999999999880e-01,1.000000000000000000e+00
2.458325301099999808e+06,1.000026700000000046e+00,1.000000000000000000e+00
2.458325302500000224e+06,9.999990500000000004e-01,1.000000000000000000e+00
2.458325303900000174e+06,1.000063600000000053e+00,1.000000000000000000e+00
2.458325305300000124e+06,9.999832499999999902e-01,1.000000000000000000e+00
2.458325306700000074e+06,1.000049600000000094e+00,1.000000000000000000e+00
2.458325308100000024e+06,1.000131300000000056e+00,1.000000000000000000e+00
2.458325309499999974e+06,1.000068100000000015e+00,1.000000000000000000e+00
2.458325310899999924e+06,9.997986899999999899e-01,1.000000000000000000e+00
2.458325312299999874e+06,9.998527200000000281e-01,1.000000000000000000e+00
2.458325313599999994e+06,9.998352600000000034e-01,1.000000000000000000e+00
2.458325314999999944e+06,1.000017399999999945e+00,1.000000000000000000e+00
2.458325316399999894e+06,1.000177600000000000e+00,1.000000000000000000e+00
2.458325317799999844e+06,9.998440600000000344e-01,1.000000000000000000e+00
2.458325319199999794e+06,9.999582099999999585e-01,1.000000000000000000e+00
2.458325320600000210e+06,1.000256599999999940e+00,1.000000000000000000e+00
2.458325322000000160e+06,9.999555300000000368e-01,1.000000000000000000e+00
2.458325323400000110e+06,1.000058700000000078e+00,1.000000000000000000e+00
2.458325324800000060e+06,9.999640199999999535e-01,1.000000000000000000e+00
2.458325326100000180e+06,9.999571499999999613e-01,1.000000000000000000e+00
2.458325327500000130e+06,1.000217499999999982e+00,1.000000000000000000e+00
2.458325328900000080e+06,9.999132200000000470e-01,1.000000000000000000e+00
2.458325330300000031e+06,1.000002899999999917e+00,1.000000000000000000e+00
2.458325331699999981e+06,1.000120899999999979e+00,1.000000000000000000e+00
2.458325333099999931e+06,9.998010200000000403e-01,1.000000000000000000e+00
2.458325334499999881e+06,9.999918599999999547e-01,1.000000000000000000e+00
2.458325335899999831e+06,1.000061099999999925e+00,1.000000000000000000e+00
2.458325337299999781e+06,1.000122600000000084e+00,1.000000000000000000e+00
2.458325338599999901e+06,9.999297999999999798e-01,1.000000000000000000e+00
2.458325339999999851e+06,1.000082300000000091e+00,1.000000000000000000e+00
2.458325341399999801e+06,9.999371299999999518e-01,1.000000000000000000e+00
2.458325342800000217e+06,1.000155200000000022e+00,1.000000000000000000e+00
2.458325344200000167e+06,1.000028300000000092e+00,1.000000000000000000e+00
2.458325345600000117e+06,1.000022600000000095e+00,1.000000000000000000e+00
2.458325347000000067e+06,9.997461899999999790e-01,1.000000000000000000e+00
2.458325348400000017e+06,9.999690399999999757e-01,1.000000000000000000e+00
2.458325349799999967e+06,9.998304300000000477e-01,1.000000000000000000e+00
2.458325351100000087e+06,1.000090799999999946e+00,1.000000000000000000e+00
2.458325352500000037e+06,1.000007199999999985e+00,1.000000000000000000e+00
2.458325353899999987e+06,1.000161300000000031e+00,1.000000000000000000e+00
2.458325355299999937e+06,1.000015899999999958e+00,1.000000000000000000e+00
2.458325356699999887e+06,9.999639299999999453e-01,1.000000000000000000e+00
2.458325358099999838e+06,1.000161999999999995e+00,1.000000000000000000e+00
2.458325359499999788e+06,9.999077200000000554e-01,1.000000000000000000e+00
2.458325360900000203e+06,1.000065900000000063e+00,1.000000000000000000e+00
2.458325362300000153e+06,9.999951999999999730e-01,1.000000000000000000e+00
2.458325363599999808e+06,1.000055200000000033e+00,1.000000000000000000e+00
2.458325365000000224e+06,1.000067599999999945e+00,1.000000000000000000e+00
2.458325366400000174e+06,1.000023600000000012e+00,1.000000000000000000e+00
2.458325367800000124e+06,9.998500200000000060e-01,1.000000000000000000e+00
2.458325369200000074e+06,1.000046699999999955e+00,1.000000000000000000e+00
2.458325370600000024e+06,1.000035500000000077e+00,1.000000000000000000e+00
2.458325371999999974e+06,9.998276699999999462e-01,1.000000000000000000e+00
2.458325373399999924e+06,1.000048499999999896e+00,1.000000000000000000e+00
2.458325374799999874e+06,1.000011100000000042e+00,1.000000000000000000e+00
2.458325376099999994e+06,9.999729800000000113e-01,1.000000000000000000e+00
2.458325377499999944e+06,1.000084900000000054e+00,1.000000000000000000e+00
2.458325378899999894e+06,9.999358900000000494e-01,1.000000000000000000e+00
2.458325380299999844e+06,1.000078800000000046e+00,1.000000000000000000e+00
2.458325381699999794e+06,1.000002700000000022e+00,1.000000000000000000e+00
2.458325383100000210e+06,9.999846399999999802e-01,1.000000000000000000e+00
2.458325384500000160e+06,9.999524400000000535e-01,1.000000000000000000e+00
2.458325385900000110e+06,1.000026700000000046e+00,1.000000000000000000e+00
2.458325387300000060e+06,9.999587899999999863e-01,1.000000000000000000e+00
2.458325388600000180e+06,9.999990800000000402e-01,1.000000000000000000e+00
2.458325390000000130e+06,1.000020600000000037e+00,1.000000000000000000e+00
2.458325391400000080e+06,9.999713300000000471e-01,1.000000000000000000e+00
2.458325392800000031e+06,9.999512900000000482e-01,1.000000000000000000e+00
2.458325394199999981e+06,9.999256199999999595e-01,1.000000000000000000e+00
2.458325395599999931e+06,9.999696999999999614e-01,1.000000000000000000e+00
2.458325396999999881e+06,9.999130600000000202e-01,1.000000000000000000e+00
2.458325398399999831e+06,1.000024299999999977e+00,1.000000000000000000e+00
2.458325399799999781e+06,1.000118800000000086e+00,1.000000000000000000e+00
2.458325401099999901e+06,9.998358299999999810e-01,1.000000000000000000e+00
2.458325402499999851e+06,1.000091099999999900e+00,1.000000000000000000e+00
2.458325403899999801e+06,1.000023099999999943e+00,1.000000000000000000e+00
2.458325405300000217e+06,1.000009499999999996e+00,1.000000000000000000e+00
2.458325406700000167e+06,9.999631799999999515e-01,1.000000000000000000e+00
2.458325408100000117e+06,9.999974600000000047e-01,1.000000000000000000e+00
2.458325409500000067e+06,1.000048599999999954e+00,1.000000000000000000e+00
2.458325410900000017e+06,1.000057799999999997e+00,1.000000000000000000e+00
2.458325412299999967e+06,9.999206299999999770e-01,1.000000000000000000e+00
2.458325413600000087e+06,9.996758599999999717e-01,1.000000000000000000e+00
2.458325415000000037e+06,9.998568300000000297e-01,1.000000000000000000e+00
2.458325416399999987e+06,9.998181099999999821e-01,1.000000000000000000e+00
2.458325417799999937e+06,1.000030999999999892e+00,1.000000000000000000e+00
2.458325419199999887e+06,9.997934000000000543e-01,1.000000000000000000e+00
2.458325420599999838e+06,9.998686700000000149e-01,1.000000000000000000e+00
2.458325421999999788e+06,9.999723299999999648e-01,1.000000000000000000e+00
2.458325423400000203e+06,1.000072099999999908e+00,1.000000000000000000e+00
2.458325424800000153e+06,9.999894000000000283e-01,1.000000000000000000e+00
2.458325426099999808e+06,1.000049600000000094e+00,1.000000000000000000e+00
2.458325427500000224e+06,9.998793299999999551e-01,1.000000000000000000e+00
2.458325428900000174e+06,9.998487200000000241e-01,1.000000000000000000e+00
2.458325430300000124e+06,9.999925600000000303e-01,1.000000000000000000e+00
2.458325431700000074e+06,9.999611200000000366e-01,1.000000000000000000e+00
2.458325433100000024e+06,1.000072199999999967e+00,1.000000000000000000e+00
2.458325434499999974e+06,9.998718899999999854e-01,1.000000000000000000e+00
2.458325435899999924e+06,1.000001499999999988e+00,1.000000000000000000e+00
2.458325437299999874e+06,9.999168000000000500e-01,1.000000000000000000e+00
2.458325438599999994e+06,9.997638899999999884e-01,1.000000000000000000e+00
2.458325439999999944e+06,9.999756199999999540e-01,1.000000000000000000e+00
2.458325441399999894e+06,1.000094199999999933e+00,1.000000000000000000e+00
2.458325442799999844e+06,1.000068100000000015e+00,1.000000000000000000e+00
2.458325444199999794e+06,9.999001199999999479e-01,1.000000000000000000e+00
2.458325445600000210e+06,9.997652000000000205e-01,1.000000000000000000e+00
2.458325447000000160e+06,9.999142699999999939e-01,1.000000000000000000e+00
2.458325448400000110e+06,9.996730200000000233e-01,1.000000000000000000e+00
2.458325449800000060e+06,9.997221099999999971e-01,1.000000000000000000e+00
2.458325451100000180e+06,9.996068500000000467e-01,1.000000000000000000e+00
2.458325452500000130e+06,9.995627500000000554e-01,1.000000000000000000e+00
2.458325453900000080e+06,9.995482799999999557e-01,1.000000000000000000e+00
2.458325455300000031e+06,9.996950700000000190e-01,1.000000000000000000e+00
2.458325456699999981e+06,9.997136399999999590e-01,1.000000000000000000e+00
2.458325458099999931e+06,9.997162499999999730e-01,1.000000000000000000e+00
2.458325459499999881e+06,9.996062000000000003e-01,1.000000000000000000e+00
2.458325460899999831e+06,9.998448899999999862e-01,1.000000000000000000e+00
2.458325462299999781e+06,9.995985299999999851e-01,1.000000000000000000e+00
2.458325463599999901e+06,9.995577399999999724e-01,1.000000000000000000e+00
2.458325464999999851e+06,9.996313100000000507e-01,1.000000000000000000e+00
2.458325466399999801e+06,9.996542899999999454e-01,1.000000000000000000e+00
2.458325467800000217e+06,9.997367999999999810e-01,1.000000000000000000e+00
2.458325469200000167e+06,9.997285000000000199e-01,1.000000000000000000e+00
2.458325470600000117e+06,9.997112599999999905e-01,1.000000000000000000e+00
2.458325472000000067e+06,9.994757699999999856e-01,1.000000000000000000e+00
2.458325473400000017e+06,9.995399600000000051e-01,1.000000000000000000e+00
2.458325474799999967e+06,9.995619399999999821e-01,1.000000000000000000e+00
2.458325476100000087e+06,9.996739000000000042e-01,1.000000000000000000e+00
2.458325477500000037e+06,9.998152999999999624e-01,1.000000000000000000e+00
2.458325478899999987e+06,9.997394600000000242e-01,1.000000000000000000e+00
2.458325480299999937e+06,9.997164699999999682e-01,1.000000000000000000e+00
2.458325481699999887e+06,9.995573700000000006e-01,1.000000000000000000e+00
2.458325483099999838e+06,9.996720000000000050e-01,1.000000000000000000e+00
2.458325484499999788e+06,9.995680700000000307e-01,1.000000000000000000e+00
2.458325485900000203e+06,9.997703999999999480e-01,1.000000000000000000e+00
2.458325487300000153e+06,9.999380100000000438e-01,1.000000000000000000e+00
2.458325488599999808e+06,9.996272099999999883e-01,1.000000000000000000e+00
2.458325490000000224e+06,9.997839800000000166e-01,1.000000000000000000e+00
2.458325491400000174e+06,9.996987499999999693e-01,1.000000000000000000e+00
2.458325492800000124e+06,9.995606900000000294e-01,1.000000000000000000e+00
2.458325494200000074e+06,9.997047399999999806e-01,1.000000000000000000e+00
2.458325495600000024e+06,9.997173000000000309e-01,1.000000000000000000e+00
2.458325496999999974e+06,9.995567899999999728e-01,1.000000000000000000e+00
2.458325498399999924e+06,9.997595400000000021e-01,1.000000000000000000e+00
2.458325499799999874e+06,9.994644900000000387e-01,1.000000000000000000e+00
2.458325501099999994e+06,9.995397799999999888e-01,1.000000000000000000e+00
2.458325502499999944e+06,9.996734400000000242e-01,1.000000000000000000e+00
2.458325503899999894e+06,9.997047900000000098e-01,1.000000000000000000e+00
2.458325505299999844e+06,9.998831400000000036e-01,1.000000000000000000e+00
2.458325506699999794e+06,9.995391799999999716e-01,1.000000000000000000e+00
2.458325508100000210e+06,9.998139299999999619e-01,1.000000000000000000e+00
2.458325509500000160e+06,9.996265500000000026e-01,1.000000000000000000e+00
2.458325510900000110e+06,9.996391100000000529e-01,1.000000000000000000e+00
2.458325512300000060e+06,9.997763899999999593e-01,1.000000000000000000e+00
2.458325513600000180e+06,9.996218399999999837e-01,1.000000000000000000e+00
2.458325515000000130e+06,9.997487800000000036e-01,1.000000000000000000e+00
2.458325516400000080e+06,9.997495499999999868e-01,1.000000000000000000e+00
2.458325517800000031e+06,9.999004099999999617e-01,1.000000000000000000e+00
2.458325519199999981e+06,9.995392899999999692e-01,1.000000000000000000e+00
2.458325520599999931e+06,9.997847699999999893e-01,1.000000000000000000e+00
2.458325521999999881e+06,9.996714199999999773e-01,1.000000000000000000e+00
2.458325523399999831e+06,9.997368300000000207e-01,1.000000000000000000e+00
2.458325524799999781e+06,9.997332399999999675e-01,1.000000000000000000e+00
2.458325526099999901e+06,9.996645199999999454e-01,1.000000000000000000e+00
2.458325527499999851e+06,9.996428000000000536e-01,1.000000000000000000e+00
2.458325528899999801e+06,9.997075199999999606e-01,1.000000000000000000e+00
2.458325530300000217e+06,9.996892600000000240e-01,1.000000000000000000e+00
2.458325531700000167e+06,9.995926499999999715e-01,1.000000000000000000e+00
2.458325533100000117e+06,9.997553999999999608e-01,1.000000000000000000e+00
2.458325534500000067e+06,9.996086100000000085e-01,1.000000000000000000e+00
2.458325535900000017e+06,9.994937299999999691e-01,1.000000000000000000e+00
2.458325537299999967e+06,9.997087999999999530e-01,1.000000000000000000e+00
2.458325538600000087e+06,9.996761499999999856e-01,1.000000000000000000e+00
2.458325540000000037e+06,9.995871800000000196e-01,1.000000000000000000e+00
2.458325541399999987e+06,9.997393999999999448e-01,1.000000000000000000e+00
2.458325542799999937e+06,9.997307899999999803e-01,1.000000000000000000e+00
2.458325544199999887e+06,9.998390299999999620e-01,1.000000000000000000e+00
2.458325545599999838e+06,9.995209400000000244e-01,1.000000000000000000e+00
2.458325546999999788e+06,9.998116299999999512e-01,1.000000000000000000e+00
2.458325548400000203e+06,9.999982699999999669e-01,1.000000000000000000e+00
2.458325549800000153e+06,9.998831599999999931e-01,1.000000000000000000e+00
2.458325551099999808e+06,9.998113600000000378e-01,1.000000000000000000e+00
2.458325552500000224e+06,9.997012499999999857e-01,1.000000000000000000e+00
2.458325553900000174e+06,9.998255600000000021e-01,1.000000000000000000e+00
2.458325555300000124e+06,9.996364399999999595e-01,1.000000000000000000e+00
2.458325556700000074e+06,9.999181700000000506e-01,1.000000000000000000e+00
2.458325558100000024e+06,9.995599099999999959e-01,1.000000000000000000e+00
2.458325559499999974e+06,9.996443099999999804e-01,1.000000000000000000e+00
2.458325560899999924e+06,9.997371999999999925e-01,1.000000000000000000e+00
2.458325562299999874e+06,9.999030300000000260e-01,1.000000000000000000e+00
2.458325563599999994e+06,1.000027699999999964e+00,1.000000000000000000e+00
2.458325564999999944e+06,9.999257400000000073e-01,1.000000000000000000e+00
2.458325566399999894e+06,9.996975599999999851e-01,1.000000000000000000e+00
2.458325567799999844e+06,1.000022600000000095e+00,1.000000000000000000e+00
2.458325569199999794e+06,1.000109899999999996e+00,1.000000000000000000e+00
2.458325570600000210e+06,1.000056499999999904e+00,1.000000000000000000e+00
2.458325572000000160e+06,9.999495000000000466e-01,1.000000000000000000e+00
2.458325573400000110e+06,1.000060600000000077e+00,1.000000000000000000e+00
2.458325574800000060e+06,9.999641299999999511e-01,1.000000000000000000e+00
2.458325576100000180e+06,1.000031300000000067e+00,1.000000000000000000e+00
2.458325577500000130e+06,1.000036099999999983e+00,1.000000000000000000e+00
2.458325578900000080e+06,9.998200999999999894e-01,1.000000000000000000e+00
2.458325580300000031e+06,1.000070100000000073e+00,1.000000000000000000e+00
2.458325581699999981e+06,1.000093399999999910e+00,1.000000000000000000e+00
2.458325583099999931e+06,9.998583399999999566e-01,1.000000000000000000e+00
2.458325584499999881e+06,1.000105599999999928e+00,1.000000000000000000e+00
2.458325585899999831e+06,1.000044399999999944e+00,1.000000000000000000e+00
2.458325587299999781e+06,1.000038600000000111e+00,1.000000000000000000e+00
2.458325588599999901e+06,9.999901700000000115e-01,1.000000000000000000e+00
2.458325589999999851e+06,1.000080800000000103e+00,1.000000000000000000e+00
2.458325591399999801e+06,1.000017500000000004e+00,1.000000000000000000e+00
2.458325592800000217e+06,1.000119299999999933e+00,1.000000000000000000e+00
2.458325594200000167e+06,1.000084500000000043e+00,1.000000000000000000e+00
2.458325595600000117e+06,9.999232300000000517e-01,1.000000000000000000e+00
2.458325597000000067e+06,1.000101600000000035e+00,1.000000000000000000e+00
2.458325598400000017e+06,9.999654799999999621e-01,1.000000000000000000e+00
2.458325599799999967e+06,9.999998399999999732e-01,1.000000000000000000e+00
2.458325601100000087e+06,1.000180000000000069e+00,1.000000000000000000e+00
2.458325602500000037e+06,1.000056700000000021e+00,1.000000000000000000e+00
2.458325603899999987e+06,1.000091400000000075e+00,1.000000000000000000e+00
2.458325605299999937e+06,1.000215099999999913e+00,1.000000000000000000e+00
2.458325606699999887e+06,9.999993600000000038e-01,1.000000000000000000e+00
2.458325608099999838e+06,1.000057699999999938e+00,1.000000000000000000e+00
2.458325609499999788e+06,1.000052200000000058e+00,1.000000000000000000e+00
2.458325610900000203e+06,9.998130699999999704e-01,1.000000000000000000e+00
2.458325612300000153e+06,1.000034199999999984e+00,1.000000000000000000e+00
2.458325613599999808e+06,1.000185000000000102e+00,1.000000000000000000e+00
2.458325615000000224e+06,1.000074399999999919e+00,1.000000000000000000e+00
2.458325616400000174e+06,9.999422500000000325e-01,1.000000000000000000e+00
2.458325617800000124e+06,1.000124500000000083e+00,1.000000000000000000e+00
2.458325619200000074e+06,9.999955499999999553e-01,1.000000000000000000e+00
2.458325620600000024e+06,1.000236499999999973e+00,1.000000000000000000e+00
2.458325621999999974e+06,1.000074799999999930e+00,1.000000000000000000e+00
2.458325623399999924e+06,1.000133600000000067e+00,1.000000000000000000e+00
2.458325624799999874e+06,1.000048700000000013e+00,1.000000000000000000e+00
2.458325626099999994e+06,1.000070100000000073e+00,1.000000000000000000e+00
2.458325627499999944e+06,9.998792199999999575e-01,1.000000000000000000e+00
2.458325628899999894e+06,1.000041100000000016e+00,1.000000000000000000e+00
2.458325630299999844e+06,9.998719400000000146e-01,1.000000000000000000e+00
2.458325631699999794e+06,9.996416999999999664e-01,1.000000000000000000e+00
2.458325633100000210e+06,9.998463399999999446e-01,1.000000000000000000e+00
2.458325634500000160e+06,9.998985999999999708e-01,1.000000000000000000e+00
2.458325635900000110e+06,1.000222200000000061e+00,1.000000000000000000e+00
2.458325637300000060e+06,1.000213800000000042e+00,1.000000000000000000e+00
2.458325638600000180e+06,9.999827900000000103e-01,1.000000000000000000e+00
2.458325640000000130e+06,9.999253900000000250e-01,1.000000000000000000e+00
2.458325641400000080e+06,1.000023899999999966e+00,1.000000000000000000e+00
2.458325642800000031e+06,9.999620399999999965e-01,1.000000000000000000e+00
2.458325644199999981e+06,9.999398400000000242e-01,1.000000000000000000e+00
2.458325645599999931e+06,1.000019599999999897e+00,1.000000000000000000e+00
2.458325646999999881e+06,9.998399300000000434e-01,1.000000000000000000e+00
2.458325648399999831e+06,9.998553900000000105e-01,1.000000000000000000e+00
2.458325649799999781e+06,1.000111200000000089e+00,1.000000000000000000e+00
2.458325651099999901e+06,1.000065200000000099e+00,1.000000000000000000e+00
2.458325652499999851e+06,1.000064599999999970e+00,1.000000000000000000e+00
2.458325653899999801e+06,1.000084900000000054e+00,1.000000000000000000e+00
2.458325655300000217e+06,9.999606100000000275e-01,1.000000000000000000e+00
2.458325656700000167e+06,1.000094000000000038e+00,1.000000000000000000e+00
2.458325658100000117e+06,9.999687900000000518e-01,1.000000000000000000e+00
2.458325659500000067e+06,1.000088099999999924e+00,1.000000000000000000e+00
2.458325660900000017e+06,1.000163300000000088e+00,1.000000000000000000e+00
2.458325662299999967e+06,1.000007899999999950e+00,1.000000000000000000e+00
2.458325663600000087e+06,1.000243999999999911e+00,1.000000000000000000e+00
2.458325665000000037e+06,9.999949599999999883e-01,1.000000000000000000e+00
2.458325666399999987e+06,9.998908199999999580e-01,1.000000000000000000e+00
2.458325667799999937e+06,9.999643400000000071e-01,1.000000000000000000e+00
2.458325669199999887e+06,9.999028899999999886e-01,1.000000000000000000e+00
2.458325670599999838e+06,9.999036500000000327e-01,1.000000000000000000e+00
2.458325671999999788e+06,9.999816099999999652e-01,1.000000000000000000e+00
2.458325673400000203e+06,9.999519999999999520e-01,1.000000000000000000e+00
2.458325674800000153e+06,9.999177599999999888e-01,1.000000000000000000e+00
2.458325676099999808e+06,9.999409099999999606e-01,1.000000000000000000e+00
2.458325677500000224e+06,1.000040299999999993e+00,1.000000000000000000e+00
2.458325678900000174e+06,1.000091499999999911e+00,1.000000000000000000e+00
2.458325680300000124e+06,1.000115099999999924e+00,1.000000000000000000e+00
2.458325681700000074e+06,1.000155899999999987e+00,1.000000000000000000e+00
2.458325683100000024e+06,9.998946199999999562e-01,1.000000000000000000e+00
2.458325684499999974e+06,9.997081300000000281e-01,1.000000000000000000e+00
2.458325685899999924e+06,9.999711300000000413e-01,1.000000000000000000e+00
2.458325687299999874e+06,1.000092299999999934e+00,1.000000000000000000e+00
2.458325688599999994e+06,9.998196900000000387e-01,1.000000000000000000e+00
2.458325689999999944e+06,1.000194500000000097e+00,1.000000000000000000e+00
2.458325691399999894e+06,9.998907700000000398e-01,1.000000000000000000e+00
2.458325692799999844e+06,1.000061400000000100e+00,1.000000000000000000e+00
2.458325694199999794e+06,1.000032599999999938e+00,1.000000000000000000e+00
2.458325695600000210e+06,9.999995699999999488e-01,1.000000000000000000e+00
2.458325697000000160e+06,9.999483300000000519e-01,1.000000000000000000e+00
2.458325698400000110e+06,1.000004499999999963e+00,1.000000000000000000e+00
2.458325699800000060e+06,1.000141799999999970e+00,1.000000000000000000e+00
2.458325701100000180e+06,1.000078199999999917e+00,1.000000000000000000e+00
2.458325702500000130e+06,1.000101899999999988e+00,1.000000000000000000e+00
2.458325703900000080e+06,1.000048000000000048e+00,1.000000000000000000e+00
2.458325705300000031e+06,1.000001499999999988e+00,1.000000000000000000e+00
2.458325706699999981e+06,1.000187799999999960e+00,1.000000000000000000e+00
2.458325708099999931e+06,1.000005500000000103e+00,1.000000000000000000e+00
2.458325709499999881e+06,9.998873099999999736e-01,1.000000000000000000e+00
2.458325710899999831e+06,9.999445300000000536e-01,1.000000000000000000e+00
2.458325712299999781e+06,9.999795999999999685e-01,1.000000000000000000e+00
2.458325713599999901e+06,9.999462199999999967e-01,1.000000000000000000e+00
2.458325714999999851e+06,9.999363799999999580e-01,1.000000000000000000e+00
2.458325716399999801e+06,9.999012499999999637e-01,1.000000000000000000e+00
2.458325717800000217e+06,9.999099599999999866e-01,1.000000000000000000e+00
2.458325719200000167e+06,1.000018899999999933e+00,1.000000000000000000e+00
2.458325720600000117e+06,1.000093099999999957e+00,1.000000000000000000e+00
2.458325722000000067e+06,9.999602399999999447e-01,1.000000000000000000e+00
2.458325723400000017e+06,9.999945799999999663e-01,1.000000000000000000e+00
2.458325724799999967e+06,1.000106699999999904e+00,1.000000000000000000e+00
2.458325726100000087e+06,9.999600199999999495e-01,1.000000000000000000e+00
2.458325727500000037e+06,9.999475399999999681e-01,1.000000000000000000e+00
2.458325728899999987e+06,9.999725099999999811e-01,1.000000000000000000e+00
2.458325730299999937e+06,1.000100200000000106e+00,1.000000000000000000e+00
2.458325731699999887e+06,9.999137999999999638e-01,1.000000000000000000e+00
2.458325733099999838e+06,1.000006399999999962e+00,1.000000000000000000e+00
2.458325734499999788e+06,9.999395599999999495e-01,1.000000000000000000e+00
2.458325735900000203e+06,9.999562300000000015e-01,1.000000000000000000e+00
2.458325737300000153e+06,1.000037599999999971e+00,1.000000000000000000e+00
2.458325738599999808e+06,1.000015400000000110e+00,1.000000000000000000e+00
2.458325740000000224e+06,1.000010099999999902e+00,1.000000000000000000e+00
2.458325741400000174e+06,9.999351100000000159e-01,1.000000000000000000e+00
2.458325742800000124e+06,9.999491000000000351e-01,1.000000000000000000e+00
2.458325744200000074e+06,9.996897700000000331e-01,1.000000000000000000e+00
2.458325745600000024e+06,1.000222500000000014e+00,1.000000000000000000e+00
2.458325746999999974e+06,1.000029300000000010e+00,1.000000000000000000e+00
2.458325748399999924e+06,1.000056499999999904e+00,1.000000000000000000e+00
2.458325749799999874e+06,9.999828899999999576e-01,1.000000000000000000e+00
2.458325751099999994e+06,9.999061900000000280e-01,1.000000000000000000e+00
2.458325752499999944e+06,9.999043100000000184e-01,1.000000000000000000e+00
2.458325753899999894e+06,9.999463299999999943e-01,1.000000000000000000e+00
2.458325755299999844e+06,1.000013299999999994e+00,1.000000000000000000e+00
2.458325756699999794e+06,9.999646500000000104e-01,1.000000000000000000e+00
2.458325758100000210e+06,1.000036499999999995e+00,1.000000000000000000e+00
2.458325759500000160e+06,9.998845600000000333e-01,1.000000000000000000e+00
2.458325760900000110e+06,1.000093499999999969e+00,1.000000000000000000e+00
2.458325762300000060e+06,9.999327599999999761e-01,1.000000000000000000e+00
2.458325763600000180e+06,9.999453000000000369e-01,1.000000000000000000e+00
2.458325765000000130e+06,9.999517500000000281e-01,1.000000000000000000e+00
2.458325766400000080e+06,9.997198200000000368e-01,1.000000000000000000e+00
2.458325767800000031e+06,9.999266900000000069e-01,1.000000000000000000e+00
2.458325769199999981e+06,9.999689800000000073e-01,1.000000000000000000e+00
2.458325770599999931e+06,1.000491299999999972e+00,1.000000000000000000e+00
2.458325771999999881e+06,1.000069199999999991e+00,1.000000000000000000e+00
2.458325773399999831e+06,1.000028300000000092e+00,1.000000000000000000e+00
2.458325774799999781e+06,1.000028300000000092e+00,1.000000000000000000e+00
2.458325776099999901e+06,1.000038800000000005e+00,1.000000000000000000e+00
2.458325777499999851e+06,9.999799999999999800e-01,1.000000000000000000e+00
2.458325778899999801e+06,1.000084100000000031e+00,1.000000000000000000e+00
2.458325780300000217e+06,1.000111799999999995e+00,1.000000000000000000e+00
2.458325781700000167e+06,1.000028700000000104e+00,1.000000000000000000e+00
2.458325783100000117e+06,9.999545699999999870e-01,1.000000000000000000e+00
2.458325784500000067e+06,9.999739100000000214e-01,1.000000000000000000e+00
2.458325785900000017e+06,9.999841800000000003e-01,1.000000000000000000e+00
2.458325787299999967e+06,1.000078999999999940e+00,1.000000000000000000e+00
