#property,value,lower_error,upper_error,source
$e_\mathrm{b}$,0.6375052760025162,0.002349767308355011,0.00237257874986474,derived
$w_\mathrm{b}$ (deg),330.6088698074203,0.5330543080659709,0.5292439387616241,derived
$P_\mathrm{b} / P_\mathrm{c}$,333.9098066089885,0.28175233473695016,0.28770520064301763,derived
$R_\star/a_\mathrm{c}$,0.07464597810686871,0.0017076057056812088,0.0018446594043823594,derived
$a_\mathrm{c}/R_\star$,13.39656904993699,0.3230736189556005,0.3136354294106436,derived
$R_\mathrm{c}/a_\mathrm{c}$,0.001272340066128508,4.011879184523501e-05,4.224479803079605e-05,derived
$R_\mathrm{c}$ ($\mathrm{R_{\oplus}}$),2.044700625011034,0.05489919817215294,0.05615143147859136,derived
$R_\mathrm{c}$ ($\mathrm{R_{jup}}$),0.18241628512816643,0.004897786827362638,0.005009503792222925,derived
$a_\mathrm{c}$ ($\mathrm{R_{\odot}}$),14.731577364327164,0.4567243467823765,0.4603032392430908,derived
$a_\mathrm{c}$ (AU),0.06850871823513466,0.0021239816219957575,0.0021406251442148277,derived
$i_\mathrm{c}$ (deg),87.4592171945672,0.18737485036713508,0.18312581421324126,derived
$M_\mathrm{c}$ ($\mathrm{M_{\oplus}}$),4.810435374652867,0.8372283363336077,0.856301484534387,derived
$M_\mathrm{c}$ ($\mathrm{M_{jup}}$),0.01513532231493579,0.002634214937877851,0.0026942257733004477,derived
$b_\mathrm{tra;c}$,0.5943330991211653,0.0321662875989025,0.029596191333385757,derived
$T_\mathrm{tot;c}$ (h),2.957429521127766,0.04641869667981746,0.040077830212885246,derived
$T_\mathrm{full;c}$ (h),2.804808343254311,0.048854242656393154,0.04354252442693962,derived
$rho_\mathrm{\star;c}$ (cgs),1.1574963796616977,0.0817887102293875,0.08320058885231596,derived
$rho_\mathrm{c}$ (cgs),3.083608421686386,0.5900979262705786,0.6537480982372599,derived
$g_\mathrm{\star;c}$ (cgs),1123.3459241230942,197.74481997686098,206.99220013935042,derived
$T_\mathrm{eq;c}$ (K),1067.004574708048,14.82004619076838,15.0583652117557,derived
$\delta_\mathrm{tr; undil; c; TESS}$ (ppt),0.0003132361619840873,1.0493138056344442e-05,1.0966404056178547e-05,derived
$\delta_\mathrm{tr; dil; c; TESS}$ (ppt),0.0003132361619840873,1.0493138056344442e-05,1.0966404056178547e-05,derived
$P_\mathrm{c} / P_\mathrm{b}$,0.002994820697707207,2.5781924139879966e-06,2.5291569844933595e-06,derived
Limb darkening $u_\mathrm{1; TESS}$,0.2630303808158285,0.1874016977001258,0.26710539474548656,derived
Limb darkening $u_\mathrm{2; TESS}$,0.23563800934341614,0.33440732659324707,0.29074643101961184,derived
$rho_\mathrm{\star; combined}$ (cgs),1.1574963796616977,0.0817887102293875,0.08320058885231596,derived
