#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
host_ldc_q1_TESS,0.2621786895261207,0.12765606194660206,0.1972643782077252,$q_{1;\mathrm{TESS}}$,
host_ldc_q2_TESS,0.26284454913080263,0.1933079401377833,0.35196802425545975,$q_{2;\mathrm{TESS}}$,
b_epoch,2456552.3758315216,2.611143284942955,2.4720023768022656,$T_{0;b}$,$\mathrm{BJD_{TDB}}$
b_period,2093.0357390220674,1.6739856786657583,1.7341900542164694,$P_b$,d
b_K,0.19258593036110325,0.0013159371291856514,0.001346662219333078,$K_b$,km/s
b_f_c,0.6956201682663169,0.004415384972514147,0.004327283901526924,$\sqrt{e_b} \cos{\omega_b}$,
b_f_s,-0.39184814422650954,0.006020088633107767,0.005990066460613841,$\sqrt{e_b} \sin{\omega_b}$,
c_rsuma,0.07596149955374432,0.0017688749301625895,0.0017941005297951729,$(R_\star + R_c) / a_c$,
c_rr,0.017051532367596475,0.00029836033096367065,0.000295872124343597,$R_c / R_\star$,
c_cosi,0.04440244961318193,0.003282886252167043,0.0031955869130786962,$i_c$,$\deg$
c_epoch,2458338.039983087,0.0006122561171650887,0.000641905702650547,$T_{0;c}$,$\mathrm{BJD_{TDB}}$
c_period,6.2683339881056686,0.0002500106235707733,0.0002734709427709703,$P_c$,d
c_K,0.001579080593945081,0.00027044532854768777,0.0002629144078159938,$K_c$,km/s
c_f_c,0.0,(fixed),(fixed),$\sqrt{e_c} \cos{\omega_c}$,
c_f_s,0.0,(fixed),(fixed),$\sqrt{e_c} \sin{\omega_c}$,
baseline_offset_flux_TESS,-9.416189071707881e-06,5.153874749924749e-06,5.155836326226765e-06,$\Delta F_\mathrm{TESS}$,rel. flux
baseline_offset_rv_AAT,0.03203829407903022,0.0008564132858955575,0.0008696160098767836,$\Delta RV_\mathrm{AAT}$,km/s
baseline_offset_rv_HARPS1,10.708522060025958,0.00038646745957571227,0.0003617749601936282,$\Delta RV_\mathrm{HARPS_1}$,km/s
baseline_offset_rv_HARPS2,10.730617843134228,0.000644037590470603,0.0006714586710234727,$\Delta RV_\mathrm{HARPS_2}$,km/s
log_err_flux_TESS,-8.850553769694471,0.0200823982255649,0.02127591807802709,$\ln \sigma_\mathrm{TESS}$,rel. flux
log_jitter_rv_AAT,-5.003891025376543,0.09044098225748343,0.09425796100653994,$\ln \sigma_\mathrm{AAT}$,km/s
log_jitter_rv_HARPS1,-6.063499904301531,0.075182079655991,0.07583508329967703,$\ln \sigma_\mathrm{HARPS_1}$,km/s
log_jitter_rv_HARPS2,-6.4173925396399145,0.18396642502361615,0.20140179864019725,$\ln \sigma_\mathrm{HARPS_2}$,km/s
