#MJD_DRS,RVC_DRS,RV_err_DRS
2.457298852454170E+06,1.067498245621390E+01,5.456395327056580E-04
2.457298857454040E+06,1.067465708076930E+01,4.203799889750830E-04
2.457327755028150E+06,1.067441777162500E+01,3.365186049033100E-04
2.457354782897780E+06,1.066740124462960E+01,2.005219278108400E-04
2.457357725122900E+06,1.067274070976990E+01,1.953812870071490E-04
2.457372704342550E+06,1.066637971272770E+01,3.895933743464870E-04
2.457372708208280E+06,1.066618805687270E+01,4.279519485306740E-04
2.457372711969830E+06,1.066535551638240E+01,3.328092759984760E-04
2.457423590983840E+06,1.066298674303440E+01,4.984563643660240E-04
2.457423597129770E+06,1.066280675163650E+01,4.980177780909800E-04
2.457424585849440E+06,1.066447265958020E+01,3.576269950865180E-04
2.457424591578700E+06,1.066429594992080E+01,3.722936641542640E-04
2.457462517136210E+06,1.066123136541980E+01,3.210835997608260E-04
2.457462522703470E+06,1.066120007769870E+01,3.124757096243380E-04
2.457464499127840E+06,1.066161865847800E+01,4.974549087874160E-04
2.457464502993680E+06,1.066270632620820E+01,3.913557161294220E-04
2.457464506685900E+06,1.066112460922430E+01,3.782604836811820E-04
