#property,value,lower_error,upper_error,source
$e_\mathrm{b}$,0.6376273018397488,0.0023149494080162425,0.0023154031825827204,derived
$w_\mathrm{b}$ (deg),330.61925993874553,0.5225816873617077,0.49653079930703825,derived
$P_\mathrm{b} / P_\mathrm{c}$,333.90684995294333,0.282429801932949,0.2847594499684192,derived
$R_\star/a_\mathrm{c}$,0.07456724908636476,0.0016757525313943755,0.0016552593666904897,derived
$a_\mathrm{c}/R_\star$,13.410713312513206,0.2912290512339304,0.3083080721809619,derived
$R_\mathrm{c}/a_\mathrm{c}$,0.0012754332583600166,3.6789047216703816e-05,3.94398728459039e-05,derived
$R_\mathrm{c}$ ($\mathrm{R_{\oplus}}$),2.0524946368731922,0.052697240700149806,0.05471119457582008,derived
$R_\mathrm{c}$ ($\mathrm{R_{jup}}$),0.1831116214882911,0.004701341001925069,0.00488101424109047,derived
$a_\mathrm{c}$ ($\mathrm{R_{\odot}}$),14.753136801300112,0.4513950586344784,0.4492721933521917,derived
$a_\mathrm{c}$ (AU),0.06860897969094215,0.0020991979419397455,0.00208932562644501,derived
$i_\mathrm{c}$ (deg),87.4450618292766,0.16988981763283562,0.17460524890293527,derived
$M_\mathrm{c}$ ($\mathrm{M_{\oplus}}$),4.82360889168149,0.841202924468389,0.8901073477802326,derived
$M_\mathrm{c}$ ($\mathrm{M_{jup}}$),0.015176770834814073,0.0026467203906703363,0.0028005909141890616,derived
$b_\mathrm{tra;c}$,0.5978171118584271,0.028750959339542748,0.026999445763076335,derived
$T_\mathrm{tot;c}$ (h),2.942624577259281,0.04143703960947809,0.03771985489596785,derived
$T_\mathrm{full;c}$ (h),2.7899270166744237,0.04356376639455606,0.03882609486532118,derived
$rho_\mathrm{\star;c}$ (cgs),1.1612977999550134,0.07416986305049411,0.0817644481846922,derived
$rho_\mathrm{c}$ (cgs),3.0594361270756902,0.587211666566446,0.6493469918693875,derived
$g_\mathrm{\star;c}$ (cgs),1125.358720642388,202.8956711755368,204.96564584188218,derived
$T_\mathrm{eq;c}$ (K),1066.0567890532334,14.019048737418416,14.417441495071671,derived
$\delta_\mathrm{tr; undil; c; TESS}$ (ppt),0.00031267636887266637,1.104309373189949e-05,1.1411929636606644e-05,derived
$\delta_\mathrm{tr; dil; c; TESS}$ (ppt),0.00031267636887266637,1.104309373189949e-05,1.1411929636606644e-05,derived
$P_\mathrm{c} / P_\mathrm{b}$,0.0029948472160454035,2.5518625305009576e-06,2.535288350900139e-06,derived
Limb darkening $u_\mathrm{1; TESS}$,0.42442041669711367,0.12227312698862175,0.11631603398567841,derived
$rho_\mathrm{\star; combined}$ (cgs),1.1612977999550134,0.07416986305049411,0.0817644481846922,derived
