#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
host_ldc_q1_TESS,0.2657242499921125,0.1264762733077324,0.18627393524815528,$q_{1;\mathrm{TESS}}$,
host_ldc_q2_TESS,0.26031416882646713,0.19339350831501717,0.3557752055987167,$q_{2;\mathrm{TESS}}$,
b_epoch,2446087.289728667,8.474521073978394,8.122676552273333,$T_{0;b}$,$\mathrm{BJD_{TDB}}$
b_period,2093.0687232286396,1.7179050195159107,1.7691512667279312,$P_b$,d
b_K,0.192546110003092,0.0013083780739159556,0.0013832511715037854,$K_b$,km/s
b_f_c,0.6953134656698428,0.004461641727561139,0.004404818790158749,$\sqrt{e_b} \cos{\omega_b}$,
b_f_s,-0.3921562966763402,0.006211273924037086,0.006039357991054484,$\sqrt{e_b} \sin{\omega_b}$,
c_rsuma,0.07583571399037764,0.0017435449529514813,0.0017390224778900537,$(R_\star + R_c) / a_c$,
c_rr,0.017434094516818373,0.00041285420637400885,0.00034591305242115747,$R_c / R_\star$,
c_cosi,0.046729902039506534,0.002791548054064709,0.002276479685946929,$i_c$,$\deg$
c_epoch,2458325.5041303956,0.0012182057835161686,0.0013329731300473213,$T_{0;c}$,$\mathrm{BJD_{TDB}}$
c_period,6.267926461284856,0.0005163777571555173,0.0006078344124675894,$P_c$,d
c_K,0.0018101603183958937,0.0003046998559024807,0.0003264335206420886,$K_c$,km/s
c_f_c,-0.21359610071168206,0.20107983349723407,0.3168898771939986,$\sqrt{e_c} \cos{\omega_c}$,
c_f_s,-0.3779396392046246,0.09183525628457645,0.2335185573738971,$\sqrt{e_c} \sin{\omega_c}$,
baseline_offset_flux_TESS,-9.582113485114702e-06,5.0518574576646075e-06,5.395329494037176e-06,$\Delta F_\mathrm{TESS}$,rel. flux
baseline_offset_rv_AAT,0.032023433449404365,0.0008794141182101867,0.0008562542883481239,$\Delta RV_\mathrm{AAT}$,km/s
baseline_offset_rv_HARPS1,10.708478946328306,0.00036224097540049627,0.000372275750134321,$\Delta RV_\mathrm{HARPS_1}$,km/s
baseline_offset_rv_HARPS2,10.730675865401597,0.0006917728313826643,0.0006891675573168499,$\Delta RV_\mathrm{HARPS_2}$,km/s
log_err_flux_TESS,-8.85081397063792,0.020693983456910203,0.021694900597276856,$\ln \sigma_\mathrm{TESS}$,rel. flux
log_jitter_rv_AAT,-5.012812016205078,0.08977607110585506,0.09417513643058495,$\ln \sigma_\mathrm{AAT}$,km/s
log_jitter_rv_HARPS1,-6.094393160142109,0.07676383217840588,0.07682506572523184,$\ln \sigma_\mathrm{HARPS_1}$,km/s
log_jitter_rv_HARPS2,-6.35961041101122,0.1943071403997232,0.20940495035283213,$\ln \sigma_\mathrm{HARPS_2}$,km/s
