# x,gp_mu,gp_std
2.458325296999999788e+06,9.999984474132812551e-01,3.245259163258852196e-05
2.458325298400000203e+06,1.000000128268995869e+00,3.154642435811510722e-05
2.458325299800000153e+06,1.000002027794998138e+00,3.099508456617633791e-05
2.458325301099999808e+06,1.000003753421827346e+00,3.073919584029561166e-05
2.458325302500000224e+06,1.000005258060888469e+00,3.063069019085052681e-05
2.458325303900000174e+06,1.000006142571345791e+00,3.059582976689717473e-05
2.458325305300000124e+06,1.000005894464198297e+00,3.058602664187447202e-05
2.458325306700000074e+06,1.000004400841853158e+00,3.058204400976223086e-05
2.458325308100000024e+06,1.000000685492118846e+00,3.057635009238958754e-05
2.458325309499999974e+06,9.999942918290587457e-01,3.056507348521896402e-05
2.458325310899999924e+06,9.999875220233391815e-01,3.054661200809961641e-05
2.458325312299999874e+06,9.999843410946510636e-01,3.052655353463318115e-05
2.458325313599999994e+06,9.999856883878492919e-01,3.052654199874803255e-05
2.458325314999999944e+06,9.999906263109543669e-01,3.054654388508719055e-05
2.458325316399999894e+06,9.999959607287493002e-01,3.056479245422198102e-05
2.458325317799999844e+06,1.000000023553171413e+00,3.057532075742684272e-05
2.458325319199999794e+06,1.000004596635785115e+00,3.057859678278203010e-05
2.458325320600000210e+06,1.000008569166985994e+00,3.057532336693891611e-05
2.458325322000000160e+06,1.000009675763655848e+00,3.056480840305660730e-05
2.458325323400000110e+06,1.000009501558489111e+00,3.054661988992269961e-05
2.458325324800000060e+06,1.000008946328376336e+00,3.052685051308128749e-05
2.458325326100000180e+06,1.000008824807367969e+00,3.052757576431962483e-05
2.458325327500000130e+06,1.000008525338968113e+00,3.055001287239169413e-05
2.458325328900000080e+06,1.000006593605247573e+00,3.057554576215005648e-05
2.458325330300000031e+06,1.000004711677932256e+00,3.060641696380636897e-05
2.458325331699999981e+06,1.000003122183424020e+00,3.066265605968596656e-05
2.458325333099999931e+06,1.000002046307173709e+00,3.078709722060638416e-05
2.458325334499999881e+06,1.000003512619373369e+00,3.105776258181921541e-05
2.458325335899999831e+06,1.000006178581599681e+00,3.158959378177931193e-05
2.458325337299999781e+06,1.000007866735497464e+00,3.247724569546066813e-05
2.458325338599999901e+06,1.000007690183813525e+00,3.352649673625396077e-05
2.458325339999999851e+06,1.000006516473413098e+00,3.450376502011611514e-05
2.458325341399999801e+06,1.000005113842182825e+00,3.516453912639487832e-05
2.458325342800000217e+06,1.000003829781720421e+00,3.555704086190275429e-05
2.458325344200000167e+06,1.000002779198527980e+00,3.577231418459591087e-05
2.458325345600000117e+06,1.000001971594562278e+00,3.588407128131635023e-05
2.458325347000000067e+06,1.000001374949240018e+00,3.593978006268976527e-05
2.458325348400000017e+06,1.000000946130367829e+00,3.596669189423639708e-05
2.458325349799999967e+06,1.000000644101353364e+00,3.597937158682970165e-05
2.458325351100000087e+06,1.000000447142745053e+00,3.598494223781184868e-05
2.458325352500000037e+06,1.000000299666984338e+00,3.598775515142653788e-05
2.458325353899999987e+06,1.000000199567839587e+00,3.598901525820820722e-05
2.458325355299999937e+06,1.000000132187466972e+00,3.598957289550295944e-05
2.458325356699999887e+06,1.000000087146473815e+00,3.598981708529627071e-05
2.458325358099999838e+06,1.000000057216692051e+00,3.598992304234563888e-05
2.458325359499999788e+06,1.000000037429854105e+00,3.598996865084352003e-05
2.458325360900000203e+06,1.000000024406769716e+00,3.598998814382554375e-05
2.458325362300000153e+06,1.000000015868882874e+00,3.598999642256226226e-05
2.458325363599999808e+06,1.000000010615043955e+00,3.598999975670197571e-05
2.458325365000000224e+06,1.000000006868669855e+00,3.599000131971461414e-05
2.458325366400000174e+06,1.000000004434923540e+00,3.599000197358912456e-05
2.458325367800000124e+06,1.000000002857877712e+00,3.599000224597487621e-05
2.458325369200000074e+06,1.000000001838299957e+00,3.599000235900414531e-05
2.458325370600000024e+06,1.000000001180503251e+00,3.599000240574029948e-05
2.458325371999999974e+06,1.000000000756922525e+00,3.599000242500193712e-05
2.458325373399999924e+06,1.000000000484638996e+00,3.599000243291637581e-05
2.458325374799999874e+06,1.000000000309893444e+00,3.599000243615924484e-05
2.458325376099999994e+06,1.000000000204361639e+00,3.599000243742412930e-05
2.458325377499999944e+06,1.000000000130375488e+00,3.599000243800024046e-05
2.458325378899999894e+06,1.000000000083085316e+00,3.599000243823461108e-05
2.458325380299999844e+06,1.000000000052894800e+00,3.599000243832976338e-05
2.458325381699999794e+06,1.000000000033642644e+00,3.599000243836830677e-05
2.458325383100000210e+06,1.000000000021378677e+00,3.599000243838389895e-05
2.458325384500000160e+06,1.000000000013573809e+00,3.599000243839019410e-05
2.458325385900000110e+06,1.000000000008611556e+00,3.599000243839272842e-05
2.458325387300000060e+06,1.000000000005459189e+00,3.599000243839375163e-05
2.458325388600000180e+06,1.000000000003573142e+00,3.599000243839413788e-05
2.458325390000000130e+06,1.000000000002262190e+00,3.599000243839431406e-05
2.458325391400000080e+06,1.000000000001431300e+00,3.599000243839438860e-05
2.458325392800000031e+06,1.000000000000905054e+00,3.599000243839441571e-05
2.458325394199999981e+06,1.000000000000571765e+00,3.599000243839442248e-05
2.458325395599999931e+06,1.000000000000361267e+00,3.599000243839442926e-05
2.458325396999999881e+06,1.000000000000228040e+00,3.599000243839443604e-05
2.458325398399999831e+06,1.000000000000143885e+00,3.599000243839443604e-05
2.458325399799999781e+06,1.000000000000090816e+00,3.599000243839443604e-05
