# x,ydetr,ydetr_err
2.458325296999999788e+06,9.999176625867187695e-01,1.375084798626563911e-04
2.458325298400000203e+06,1.000042671731004029e+00,1.375084798626563911e-04
2.458325299800000153e+06,9.999859722050018496e-01,1.375084798626563911e-04
2.458325301099999808e+06,1.000022946578172700e+00,1.375084798626563911e-04
2.458325302500000224e+06,9.999937919391115315e-01,1.375084798626563911e-04
2.458325303900000174e+06,1.000057457428654262e+00,1.375084798626563911e-04
2.458325305300000124e+06,9.999773555358016930e-01,1.375084798626563911e-04
2.458325306700000074e+06,1.000045199158146936e+00,1.375084798626563911e-04
2.458325308100000024e+06,1.000130614507881210e+00,1.375084798626563911e-04
2.458325309499999974e+06,1.000073808170941270e+00,1.375084798626563911e-04
2.458325310899999924e+06,9.998111679766608084e-01,1.375084798626563911e-04
2.458325312299999874e+06,9.998683789053489646e-01,1.375084798626563911e-04
2.458325313599999994e+06,9.998495716121507115e-01,1.375084798626563911e-04
2.458325314999999944e+06,1.000026773689045578e+00,1.375084798626563911e-04
2.458325316399999894e+06,1.000181639271250589e+00,1.375084798626563911e-04
2.458325317799999844e+06,9.998440364468286212e-01,1.375084798626563911e-04
2.458325319199999794e+06,9.999536133642148439e-01,1.375084798626563911e-04
2.458325320600000210e+06,1.000248030833013946e+00,1.375084798626563911e-04
2.458325322000000160e+06,9.999458542363441893e-01,1.375084798626563911e-04
2.458325323400000110e+06,1.000049198441510967e+00,1.375084798626563911e-04
2.458325324800000060e+06,9.999550736716236177e-01,1.375084798626563911e-04
2.458325326100000180e+06,9.999483251926319927e-01,1.375084798626563911e-04
2.458325327500000130e+06,1.000208974661031869e+00,1.375084798626563911e-04
2.458325328900000080e+06,9.999066263947524735e-01,1.375084798626563911e-04
2.458325330300000031e+06,9.999981883220676604e-01,1.375084798626563911e-04
2.458325331699999981e+06,1.000117777816575959e+00,1.375084798626563911e-04
2.458325333099999931e+06,9.997989736928263316e-01,1.375084798626563911e-04
2.458325334499999881e+06,9.999883473806265854e-01,1.375084798626563911e-04
2.458325335899999831e+06,1.000054921418400244e+00,1.375084798626563911e-04
2.458325337299999781e+06,1.000114733264502620e+00,1.375084798626563911e-04
2.458325338599999901e+06,9.999221098161864552e-01,1.375084798626563911e-04
2.458325339999999851e+06,1.000075783526586992e+00,1.375084798626563911e-04
2.458325341399999801e+06,9.999320161578171273e-01,1.375084798626563911e-04
2.458325342800000217e+06,1.000151370218279601e+00,1.375084798626563911e-04
2.458325344200000167e+06,1.000025520801472112e+00,1.375084798626563911e-04
2.458325345600000117e+06,1.000020628405437817e+00,1.375084798626563911e-04
2.458325347000000067e+06,9.997448150507599607e-01,1.375084798626563911e-04
2.458325348400000017e+06,9.999680938696321464e-01,1.375084798626563911e-04
2.458325349799999967e+06,9.998297858986466835e-01,1.375084798626563911e-04
2.458325351100000087e+06,1.000090352857254894e+00,1.375084798626563911e-04
2.458325352500000037e+06,1.000006900333015647e+00,1.375084798626563911e-04
2.458325353899999987e+06,1.000161100432160444e+00,1.375084798626563911e-04
2.458325355299999937e+06,1.000015767812532985e+00,1.375084798626563911e-04
2.458325356699999887e+06,9.999638428535261303e-01,1.375084798626563911e-04
2.458325358099999838e+06,1.000161942783307945e+00,1.375084798626563911e-04
2.458325359499999788e+06,9.999076825701459503e-01,1.375084798626563911e-04
2.458325360900000203e+06,1.000065875593230347e+00,1.375084798626563911e-04
2.458325362300000153e+06,9.999951841311170986e-01,1.375084798626563911e-04
2.458325363599999808e+06,1.000055189384956078e+00,1.375084798626563911e-04
2.458325365000000224e+06,1.000067593131330090e+00,1.375084798626563911e-04
2.458325366400000174e+06,1.000023595565076473e+00,1.375084798626563911e-04
2.458325367800000124e+06,9.998500171421222937e-01,1.375084798626563911e-04
2.458325369200000074e+06,1.000046698161699998e+00,1.375084798626563911e-04
2.458325370600000024e+06,1.000035498819496826e+00,1.375084798626563911e-04
2.458325371999999974e+06,9.998276692430774215e-01,1.375084798626563911e-04
2.458325373399999924e+06,1.000048499515360900e+00,1.375084798626563911e-04
2.458325374799999874e+06,1.000011099690106597e+00,1.375084798626563911e-04
2.458325376099999994e+06,9.999729797956383726e-01,1.375084798626563911e-04
2.458325377499999944e+06,1.000084899869624566e+00,1.375084798626563911e-04
2.458325378899999894e+06,9.999358899169147330e-01,1.375084798626563911e-04
2.458325380299999844e+06,1.000078799947105246e+00,1.375084798626563911e-04
2.458325381699999794e+06,1.000002699966357378e+00,1.375084798626563911e-04
2.458325383100000210e+06,9.999846399786213036e-01,1.375084798626563911e-04
2.458325384500000160e+06,9.999524399864262447e-01,1.375084798626563911e-04
2.458325385900000110e+06,1.000026699991388490e+00,1.375084798626563911e-04
2.458325387300000060e+06,9.999587899945407976e-01,1.375084798626563911e-04
2.458325388600000180e+06,9.999990799964268984e-01,1.375084798626563911e-04
2.458325390000000130e+06,1.000020599997737847e+00,1.375084798626563911e-04
2.458325391400000080e+06,9.999713299985687476e-01,1.375084798626563911e-04
2.458325392800000031e+06,9.999512899990949943e-01,1.375084798626563911e-04
2.458325394199999981e+06,9.999256199994281946e-01,1.375084798626563911e-04
2.458325395599999931e+06,9.999696999996386948e-01,1.375084798626563911e-04
2.458325396999999881e+06,9.999130599997719804e-01,1.375084798626563911e-04
2.458325398399999831e+06,1.000024299999856092e+00,1.375084798626563911e-04
2.458325399799999781e+06,1.000118799999909269e+00,1.375084798626563911e-04
2.458325401099999901e+06,9.998358299999409171e-01,1.375084798626563911e-04
2.458325402499999851e+06,1.000091099999962596e+00,1.375084798626563911e-04
2.458325403899999801e+06,1.000023099999976406e+00,1.375084798626563911e-04
2.458325405300000217e+06,1.000009499999985341e+00,1.375084798626563911e-04
2.458325406700000167e+06,9.999631799999906256e-01,1.375084798626563911e-04
2.458325408100000117e+06,9.999974599999942315e-01,1.375084798626563911e-04
2.458325409500000067e+06,1.000048599999996179e+00,1.375084798626563911e-04
2.458325410900000017e+06,1.000057799999997776e+00,1.375084798626563911e-04
2.458325412299999967e+06,9.999206299999984227e-01,1.375084798626563911e-04
