#property,value,lower_error,upper_error,source
$e_\mathrm{b}$,0.6374695435043949,0.0023803571187571704,0.0023854181955258458,derived
$w_\mathrm{b}$ (deg),330.60095275111075,0.5165563575436067,0.5271350502655991,derived
$P_\mathrm{b} / P_\mathrm{c}$,333.9497855960424,0.2778521712532438,0.29071101342276506,derived
$R_\star/a_\mathrm{c}$,0.07485248870519726,0.0016017864462071901,0.0018830359104004407,derived
$a_\mathrm{c}/R_\star$,13.359609243435033,0.3278354332024982,0.2921370082846213,derived
$R_\mathrm{c}/a_\mathrm{c}$,0.0012698374450310344,3.6798396285201264e-05,4.318705482428604e-05,derived
$R_\mathrm{c}$ ($\mathrm{R_{\oplus}}$),2.035055632084603,0.05054783678659258,0.051600594934413824,derived
$R_\mathrm{c}$ ($\mathrm{R_{jup}}$),0.18155581501425067,0.004509583698995234,0.004603504651585988,derived
$a_\mathrm{c}$ ($\mathrm{R_{\odot}}$),14.674621119027222,0.4569039182968755,0.4502295859686054,derived
$a_\mathrm{c}$ (AU),0.06824384508105996,0.0021248167134449575,0.0020937779494635406,derived
$i_\mathrm{c}$ (deg),87.55127345686715,0.1926988363947828,0.1777183279352812,derived
$M_\mathrm{c}$ ($\mathrm{M_{\oplus}}$),4.709191146169248,0.8491800605258617,0.9032914382420891,derived
$M_\mathrm{c}$ ($\mathrm{M_{jup}}$),0.014816772347774624,0.002671819267586162,0.0028420727018087233,derived
$b_\mathrm{tra;c}$,0.5707638296060151,0.0305265136838182,0.030746495893144044,derived
$T_\mathrm{tot;c}$ (h),3.0196751263401227,0.02347158795417359,0.028211045471435714,derived
$T_\mathrm{full;c}$ (h),2.870301160414106,0.026077676802726213,0.030927650335673462,derived
$rho_\mathrm{\star;c}$ (cgs),1.1481408239299515,0.08246762170440514,0.0769804340750786,derived
$rho_\mathrm{c}$ (cgs),3.064477506414685,0.5977105007360382,0.6680613740860419,derived
$g_\mathrm{\star;c}$ (cgs),1097.8678539981083,200.45536234176143,213.59578462019454,derived
$T_\mathrm{eq;c}$ (K),1068.566526380314,13.874319855951398,15.464889497764489,derived
$\delta_\mathrm{tr; undil; c; TESS}$ (ppt),0.32037069380619343,0.006595379441698412,0.008302885113553593,derived
$\delta_\mathrm{tr; dil; c; TESS}$ (ppt),0.32037069380619343,0.006595379441698412,0.008302885113553593,derived
$P_\mathrm{c} / P_\mathrm{b}$,0.002994462171057165,2.6044813277704103e-06,2.4935205292547953e-06,derived
Limb darkening $u_\mathrm{1; TESS}$,0.2825860055611107,0.19567679078901715,0.2646215418082246,derived
Limb darkening $u_\mathrm{2; TESS}$,0.39725840516032174,0.3482880427470328,0.2805257875695777,derived
$rho_\mathrm{\star; combined}$ (cgs),1.1481408239299515,0.08246762170440514,0.0769804340750786,derived
