#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
host_ldc_q1_TESS,0.4556409575154866,0.13919618128340466,0.18266351309996987,$q_{1;\mathrm{TESS}}$,
host_ldc_q2_TESS,0.206155647362651,0.14824760435402756,0.25111164286783916,$q_{2;\mathrm{TESS}}$,
b_epoch,2456552.362538169,2.521904243621975,2.5242634331807494,$T_{0;b}$,$\mathrm{BJD_{TDB}}$
b_period,2093.145487148856,1.7309589804754069,1.8145557740635923,$P_b$,d
b_K,0.19255752660821265,0.001344340383862913,0.0013344533020364646,$K_b$,km/s
b_f_c,0.6956143974117591,0.004316968089490447,0.00432612956910039,$\sqrt{e_b} \cos{\omega_b}$,
b_f_s,-0.3918998636533381,0.005968064540991025,0.006017797860542962,$\sqrt{e_b} \sin{\omega_b}$,
c_rsuma,0.07612127811841839,0.0016225323665056551,0.0019081830741412564,$(R_\star + R_c) / a_c$,
c_rr,0.016963077023778687,0.00022360611169649353,0.00023456861042933652,$R_c / R_\star$,
c_cosi,0.04272533111520904,0.003086410012956224,0.003334963717661163,$\cos{i_c}$,$\deg$
c_epoch,2458501.0030381856,0.00039149820804595947,0.00035132793709635735,$T_{0;c}$,$\mathrm{BJD_{TDB}}$
c_period,6.267850198176406,1.7754100925415628e-05,1.7803781212855085e-05,$P_c$,d
c_K,0.0015327472109255532,0.00026997889213553465,0.0002780188231022531,$K_c$,km/s
c_f_c,0.0,(fixed),(fixed),$\sqrt{e_c} \cos{\omega_c}$,
c_f_s,0.0,(fixed),(fixed),$\sqrt{e_c} \sin{\omega_c}$,
baseline_gp_matern32_lnsigma_flux_TESS,-10.470580293656413,0.03682274557194276,0.036133575190614664,gp: $\ln \sigma_\mathrm{TESS}$,rel. flux
baseline_gp_matern32_lnrho_flux_TESS,-1.9827513880820453,0.10698815204811685,0.10529532329630498,gp: $\ln \rho_\mathrm{TESS}$,rel. flux
baseline_offset_rv_AAT,0.031980095124333335,0.0008452743034152131,0.0008512812474216758,$\Delta RV_\mathrm{AAT}$,km/s
baseline_offset_rv_HARPS1,10.708483804665075,0.00036761998749668123,0.0003794485758117361,$\Delta RV_\mathrm{HARPS_1}$,km/s
baseline_offset_rv_HARPS2,10.730577958337586,0.0006863415910736137,0.0006581419293780755,$\Delta RV_\mathrm{HARPS_2}$,km/s
log_err_flux_TESS,-8.63129359138319,0.002271151932975002,0.0023711304247928666,$\ln \sigma_\mathrm{TESS}$,rel. flux
log_jitter_rv_AAT,-5.0126090738820634,0.08686032972157509,0.0937991688254769,$\ln \sigma_\mathrm{AAT}$,km/s
log_jitter_rv_HARPS1,-6.041419191871718,0.0746057373127007,0.07809646774492318,$\ln \sigma_\mathrm{HARPS_1}$,km/s
log_jitter_rv_HARPS2,-6.3992797837675965,0.17945776263824698,0.2082264877079636,$\ln \sigma_\mathrm{HARPS_2}$,km/s
