#property,value,lower_error,upper_error,source
$e_\mathrm{b}$,0.637478414762883,0.0023194860699489173,0.002365157393188766,derived
$w_\mathrm{b}$ (deg),330.61984604268963,0.5324602417006759,0.5281891560335907,derived
$P_\mathrm{b} / P_\mathrm{c}$,333.95541426175635,0.27684857672994667,0.2855545381585216,derived
$R_\star/a_\mathrm{c}$,0.07485452136404148,0.0016374112341816655,0.001955404427991775,derived
$a_\mathrm{c}/R_\star$,13.359246466044183,0.34009575487763044,0.2987632292064717,derived
$R_\mathrm{c}/a_\mathrm{c}$,0.0012697810564561976,3.679074110173302e-05,4.38721526671191e-05,derived
$R_\mathrm{c}$ ($\mathrm{R_{\oplus}}$),2.0364260413450106,0.05079424473018723,0.051403543702365884,derived
$R_\mathrm{c}$ ($\mathrm{R_{jup}}$),0.18167807494968127,0.004531566781088903,0.00458592488793233,derived
$a_\mathrm{c}$ ($\mathrm{R_{\odot}}$),14.686624995959388,0.4687815809478799,0.45018182292569264,derived
$a_\mathrm{c}$ (AU),0.06829966871773761,0.002180053394740214,0.002093555828996188,derived
$i_\mathrm{c}$ (deg),87.55290169417,0.19941218466381372,0.17582506734787273,derived
$M_\mathrm{c}$ ($\mathrm{M_{\oplus}}$),4.73602163368454,0.8830409864252493,0.9074611000464357,derived
$M_\mathrm{c}$ ($\mathrm{M_{jup}}$),0.014901190502220805,0.0027783576549574654,0.002855191925005357,derived
$b_\mathrm{tra;c}$,0.5706988808386865,0.03025826184992697,0.03132726076459147,derived
$T_\mathrm{tot;c}$ (h),3.0205188990522864,0.023808823662923473,0.02680874108079223,derived
$T_\mathrm{full;c}$ (h),2.871475241566856,0.026537275638706337,0.02884656507169625,derived
$rho_\mathrm{\star;c}$ (cgs),1.1480462679240997,0.0854632043370156,0.07876546645405247,derived
$rho_\mathrm{c}$ (cgs),3.068886896283689,0.6070645166812749,0.6829401841094116,derived
$g_\mathrm{\star;c}$ (cgs),1101.0734121621274,204.941744304449,221.59407667317305,derived
$T_\mathrm{eq;c}$ (K),1068.6492113180054,14.217521756473843,15.58571533293366,derived
$\delta_\mathrm{tr; undil; c; TESS}$ (ppt),0.32164344856899785,0.007612034331083706,0.007667739323036216,derived
$\delta_\mathrm{tr; dil; c; TESS}$ (ppt),0.32164344856899785,0.007612034331083706,0.007667739323036216,derived
$P_\mathrm{c} / P_\mathrm{b}$,0.0029944117007673176,2.558237708977229e-06,2.4844227431842884e-06,derived
Limb darkening $u_\mathrm{1; TESS}$,0.2867895537085676,0.19551917072892153,0.2766025262782631,derived
Limb darkening $u_\mathrm{2; TESS}$,0.3965068746815372,0.3637515750982458,0.27010538227135794,derived
$rho_\mathrm{\star; combined}$ (cgs),1.1480462679240997,0.0854632043370156,0.07876546645405247,derived
