#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
host_ldc_q1_TESS,0.45926879070999627,0.14299513159545296,0.17984011448502968,$q_{1;\mathrm{TESS}}$,
host_ldc_q2_TESS,0.20869593697274585,0.147702217666138,0.2608114495549001,$q_{2;\mathrm{TESS}}$,
b_epoch,2446086.5451618973,8.56382546480745,8.05140040954575,$T_{0;b}$,$\mathrm{BJD_{TDB}}$
b_period,2093.182271721529,1.7259954474648111,1.778506385943274,$P_b$,d
b_K,0.192543197183994,0.0013096625421454566,0.0013952275546832427,$K_b$,km/s
b_f_c,0.6957044346032617,0.004368689165780593,0.004358926037284383,$\sqrt{e_b} \cos{\omega_b}$,
b_f_s,-0.39169496478238686,0.006154386137059431,0.006040033635907771,$\sqrt{e_b} \sin{\omega_b}$,
c_rsuma,0.0761255337799416,0.0016620754942465593,0.001982224737534885,$(R_\star + R_c) / a_c$,
c_rr,0.016968438077691807,0.00023222471877985817,0.0002314090038669503,$R_c / R_\star$,
c_cosi,0.04269693894584172,0.0030538500674042457,0.0034605114693681896,$i_c$,$\deg$
c_epoch,2458325.5032124124,0.0007144762203097343,0.00065655168145895,$T_{0;c}$,$\mathrm{BJD_{TDB}}$
c_period,6.267850606348502,1.7986597831587403e-05,1.756580497591642e-05,$P_c$,d
c_K,0.0015405791095907623,0.00027747465011891963,0.00027529247223232844,$K_c$,km/s
c_f_c,0.0,(fixed),(fixed),$\sqrt{e_c} \cos{\omega_c}$,
c_f_s,0.0,(fixed),(fixed),$\sqrt{e_c} \sin{\omega_c}$,
baseline_gp_matern32_lnsigma_flux_TESS,-10.470069652516848,0.03658370753710294,0.03612089458220247,gp: $\ln \sigma_\mathrm{TESS}$,rel. flux
baseline_gp_matern32_lnrho_flux_TESS,-1.9827482899030577,0.10465402872243224,0.10484428568676551,gp: $\ln \rho_\mathrm{TESS}$,rel. flux
baseline_offset_rv_AAT,0.03197883742063623,0.0008621734155093777,0.0008450264941823743,$\Delta RV_\mathrm{AAT}$,km/s
baseline_offset_rv_HARPS1,10.708479375015422,0.00038537733434118593,0.00037842947294919327,$\Delta RV_\mathrm{HARPS_1}$,km/s
baseline_offset_rv_HARPS2,10.730569151382523,0.0006753074687431138,0.0006886585070517981,$\Delta RV_\mathrm{HARPS_2}$,km/s
log_err_flux_TESS,-8.631179523232813,0.00238192065566345,0.002228647756615132,$\ln \sigma_\mathrm{TESS}$,rel. flux
log_jitter_rv_AAT,-5.010818723673567,0.09014492865664092,0.0923272323396267,$\ln \sigma_\mathrm{AAT}$,km/s
log_jitter_rv_HARPS1,-6.039042928421282,0.07530446974348592,0.07555013149159251,$\ln \sigma_\mathrm{HARPS_1}$,km/s
log_jitter_rv_HARPS2,-6.3992962140519,0.18411439298338284,0.2092619934298794,$\ln \sigma_\mathrm{HARPS_2}$,km/s
