# period_linear = 17.072335079535566
# epoch_linear = 2458496.129272361
# transit_number,transit_midtime_median,transit_midtime_lerr,transit_midtime_uerr,o_minus_c,o_minus_c_lerr,o_minus_c_uerr
-1.000000000000000000e+01,2.458325320239494089e+06,2.336399489770241145e-03,2.271370926451216077e-03,-8.568207127973437309e-02,2.336399489770241145e-03,2.271370926451216077e-03
-9.000000000000000000e+00,2.458342430704968050e+06,2.227606898687645165e-03,2.183229696392445518e-03,-4.755167709663510323e-02,2.227606898687645165e-03,2.183229696392445518e-03
-8.000000000000000000e+00,2.458359539065832272e+06,1.946016215901166801e-03,1.905475875398247171e-03,-1.152589218690991402e-02,1.946016215901166801e-03,1.905475875398247171e-03
-7.000000000000000000e+00,2.458376631332267076e+06,1.885671579354133466e-03,1.799008707474454398e-03,8.405462838709354401e-03,1.885671579354133466e-03,1.799008707474454398e-03
-6.000000000000000000e+00,2.458393723232460674e+06,2.150622987741220016e-03,2.069933746740004396e-03,2.797057712450623512e-02,2.150622987741220016e-03,2.069933746740004396e-03
-5.000000000000000000e+00,nan,nan,nan,nan,nan,nan
-4.000000000000000000e+00,2.458427879179017153e+06,2.093967028229015009e-03,1.999665149423138222e-03,3.924697451293468475e-02,2.093967028229015009e-03,1.999665149423138222e-03
-3.000000000000000000e+00,2.458444957066908944e+06,2.565845092721036336e-03,2.538101756715406554e-03,4.479978652670979500e-02,2.565845092721036336e-03,2.538101756715406554e-03
-2.000000000000000000e+00,2.458462030769844074e+06,2.367896570613127472e-03,2.481332421956326806e-03,4.616764234378933907e-02,2.367896570613127472e-03,2.481332421956326806e-03
-1.000000000000000000e+00,2.458479094121397007e+06,2.569489155141595205e-03,2.776424473441327367e-03,3.718411549925804138e-02,2.569489155141595205e-03,2.776424473441327367e-03
0.000000000000000000e+00,2.458496155014134478e+06,2.648884785816405657e-03,2.634131584889537470e-03,2.574177365750074387e-02,2.648884785816405657e-03,2.634131584889537470e-03
1.000000000000000000e+00,2.458513225017549936e+06,3.537948694422934914e-03,3.320099430568296262e-03,2.341010980308055878e-02,3.537948694422934914e-03,3.320099430568296262e-03
3.000000000000000000e+00,2.458547337716506328e+06,2.822974364567134090e-03,3.007109262087158397e-03,-8.561092894524335861e-03,2.822974364567134090e-03,3.007109262087158397e-03
4.000000000000000000e+00,2.458564402874872554e+06,2.815481065366769176e-03,2.776326942131146502e-03,-1.573780644685029984e-02,2.815481065366769176e-03,2.776326942131146502e-03
7.000000000000000000e+00,2.458615603691189550e+06,3.130385166629438831e-03,2.953679633031100482e-03,-3.192672785371541977e-02,3.130385166629438831e-03,2.953679633031100482e-03
8.000000000000000000e+00,2.458632679366410244e+06,2.911301021447702808e-03,2.814192332594542267e-03,-2.858658693730831146e-02,2.911301021447702808e-03,2.814192332594542267e-03
9.000000000000000000e+00,2.458649758762965910e+06,2.972831320248722070e-03,2.966344468902159387e-03,-2.152511058375239372e-02,2.972831320248722070e-03,2.966344468902159387e-03
1.000000000000000000e+01,2.458666850793710444e+06,2.492022593072743680e-03,2.595643100706273090e-03,-1.829445827752351761e-03,2.492022593072743680e-03,2.595643100706273090e-03
