#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.08462699679230073,0.009675014560790174,0.030339721625726956,$R_b / R_\star$,
b_rsuma,0.034677509417693195,0.0027858183697423294,0.0040712280759823555,$(R_\star + R_b) / a_b$,
b_cosi,0.030429867671534765,0.0029381309955590247,0.004412737595038969,$\cos{i_b}$,
b_epoch,2458496.1366,(fixed),(fixed),$T_{0;b}$,BJD
b_period,17.0714,(fixed),(fixed),$P_b$,d
c_rr,0.12331876651713936,0.000765133068509477,0.0007410324916222455,$R_c / R_\star$,
c_rsuma,0.0209070537660841,0.00017592232571042588,0.0002611899266674843,$(R_\star + R_c) / a_c$,
c_cosi,0.002049101999752155,0.0011445054820794524,0.0015368782266047998,$\cos{i_c}$,
c_epoch,2458504.0408,(fixed),(fixed),$T_{0;c}$,BJD
c_period,34.5555,(fixed),(fixed),$P_c$,d
host_ldc_q1_TESS,0.3510495630016222,0.0998059893481032,0.12846773167955228,$q_{1; \mathrm{TESS}}$,
host_ldc_q2_TESS,0.39402766575854864,0.10660936951624517,0.1350631326207541,$q_{2; \mathrm{TESS}}$,
log_err_flux_TESS,-6.001908624785827,0.00140909789169541,0.0014386573067790565,$\log{\sigma_\mathrm{TESS}}$,ln (rel. flux)
baseline_gp_matern32_lnsigma_flux_TESS,-7.506583032053045,0.03646002208671728,0.03724975169598377,GP $\ln{\sigma}$ (TESS),ln (rel. flux)
baseline_gp_matern32_lnrho_flux_TESS,-0.26168570247533013,0.061025130590591725,0.06336345011716144,GP $\ln{\rho}$ (TESS),ln (rel. flux)
b_ttv_transit_1,-0.10236050581667183,0.002336399489770241,0.002271370926451216,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,-0.06329503160722395,0.002227606898687645,0.0021832296963924455,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,-0.026334167437542345,0.0019460162159011668,0.0019054758753982472,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,-0.005467732219050801,0.0018856715793541335,0.0017990087074744544,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.015032460824144002,0.00215062298774122,0.0020699337467400044,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,0.0,(fixed),(fixed),TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.028179017186910807,0.002093967028229015,0.0019996651494231382,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,0.0346669095129072,0.0025658450927210363,0.0025381017567154066,TTV$_\mathrm{b;8}$,d
b_ttv_transit_9,0.03696984429009485,0.0023678965706131275,0.002481332421956327,TTV$_\mathrm{b;9}$,d
b_ttv_transit_10,0.028921397203464025,0.002569489155141595,0.0027764244734413274,TTV$_\mathrm{b;10}$,d
b_ttv_transit_11,0.01841413447503433,0.0026488847858164057,0.0026341315848895375,TTV$_\mathrm{b;11}$,d
b_ttv_transit_12,0.017017550161683027,0.003537948694422935,0.0033200994305682963,TTV$_\mathrm{b;12}$,d
b_ttv_transit_13,-0.01308349341710867,0.002822974364567134,0.0030071092620871584,TTV$_\mathrm{b;13}$,d
b_ttv_transit_14,-0.019325127320656686,0.002815481065366769,0.0027763269421311465,TTV$_\mathrm{b;14}$,d
b_ttv_transit_15,-0.03270881016057959,0.003130385166629439,0.0029536796330311005,TTV$_\mathrm{b;15}$,d
b_ttv_transit_16,-0.02843358912044635,0.002911301021447703,0.0028141923325945423,TTV$_\mathrm{b;16}$,d
b_ttv_transit_17,-0.020437033638274985,0.002972831320248722,0.0029663444689021594,TTV$_\mathrm{b;17}$,d
b_ttv_transit_18,0.00019371101647716084,0.0024920225930727437,0.002595643100706273,TTV$_\mathrm{b;18}$,d
c_ttv_transit_1,0.021831450867571146,0.0005710723936126275,0.0005830171183041251,TTV$_\mathrm{c;1}$,d
c_ttv_transit_2,0.005721802076383967,0.0006024572545545778,0.000592618733947713,TTV$_\mathrm{c;2}$,d
c_ttv_transit_3,-0.005808267894695024,0.0005538233444928129,0.0005562061255310093,TTV$_\mathrm{c;3}$,d
c_ttv_transit_4,-0.007344745104400521,0.0005150897344999052,0.000544086613738403,TTV$_\mathrm{c;4}$,d
c_ttv_transit_5,-0.008025463509359173,0.0007675026727606456,0.0007835608624068464,TTV$_\mathrm{c;5}$,d
c_ttv_transit_6,-0.0041330449779790925,0.0006920522573913134,0.0006899366643007467,TTV$_\mathrm{c;6}$,d
c_ttv_transit_7,0.001037753043812704,0.0007115493180935998,0.0007115426428705234,TTV$_\mathrm{c;7}$,d
c_ttv_transit_8,-0.0016942740516070033,0.0010121483087868173,0.0009518861341244206,TTV$_\mathrm{c;8}$,d
c_ttv_transit_9,-0.009773050379438509,0.0006677345279225092,0.0006983642507844817,TTV$_\mathrm{c;9}$,d
