#property,value,lower_error,upper_error,source
$R_\star/a_\mathrm{b}$,0.2831311738060367,0.0019570477921068696,0.001983968964963667,derived
$a_\mathrm{b}/R_\star$,3.531931812937974,0.02457688860405627,0.024583198512635462,derived
$R_\mathrm{b}/a_\mathrm{b}$,0.027627232199373148,0.00022318285258514023,0.00022603332089371833,derived
$R_\mathrm{b}$ ($\mathrm{R_{\oplus}}$),13.410672091780146,0.4282614424644393,0.4271812266755539,derived
$R_\mathrm{b}$ ($\mathrm{R_{jup}}$),1.1964220845490818,0.03820699247723458,0.03811062191377146,derived
$a_\mathrm{b}$ ($\mathrm{R_{\odot}}$),4.450293494799983,0.14486768748359147,0.14574524869322047,derived
$a_\mathrm{b}$ (AU),0.02069594419924018,0.0006737024378137349,0.0006777835074886149,derived
$i_\mathrm{b}$ (deg),84.39984048560059,0.341518192500601,0.35681021550986713,derived
$M_\mathrm{b}$ ($\mathrm{M_{\oplus}}$),3741.5560228266686,748.7472284955502,752.9355281355829,derived
$M_\mathrm{b}$ ($\mathrm{M_{jup}}$),11.772251772316434,2.3558222391695285,2.369000103555244,derived
$b_\mathrm{tra;b}$,0.3478094828554648,0.019883718059018174,0.018564475194085883,derived
$T_\mathrm{tot;b}$ (h),2.182247201520462,0.003760916868061681,0.003735287583840563,derived
$T_\mathrm{full;b}$ (h),1.7358997638897775,0.0042303315056675395,0.00413797409347727,derived
$b_\mathrm{occ;b}$,0.34153738180394855,0.01952515196150373,0.018229699202845673,derived
$rho_\mathrm{\star;b}$ (cgs),0.9403458985596698,0.01949386455340174,0.019772166875671404,derived
$rho_\mathrm{b}$ (cgs),8.498013942907004,1.9122298081119915,2.126603779089022,derived
$g_\mathrm{\star;b}$ (cgs),18471.81731941904,287.6745560919153,291.29160706895345,derived
$T_\mathrm{eq;b}$ (K),2213.3680312867864,18.460333564434222,18.39424571987456,derived
$\delta_\mathrm{tr; undil; b; TESS}$ (ppt),11.000588717640035,0.014533752813516543,0.014324257404609853,derived
$\delta_\mathrm{tr; dil; b; TESS}$ (ppt),11.000588717640035,0.014533752813516543,0.014324257404609853,derived
$\delta_\mathrm{occ; undil; b; TESS}$ (ppm),339.81648698155897,14.689279327129157,15.198317527165273,derived
$\delta_\mathrm{occ; dil; b; TESS}$ (ppm),339.81648698155897,14.689279327129157,15.198317527165273,derived
$rho_\mathrm{\star; combined}$ (cgs),0.9403458985596698,0.01949386455340174,0.019772166875671404,derived
