#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.09757777817743458,0.00013679418435467994,0.0001349363781884133,$R_b / R_\star$,
b_rsuma,0.3107600708147784,0.0021719845447161212,0.0021948584813664684,$(R_\star + R_b) / a_b$,
b_cosi,0.09758567052308073,0.006158954767876812,0.005896157859978324,$\cos{i_b}$,
b_epoch,0.0,(fixed),(fixed),$T_{0;b}$,$\mathrm{BJD_{TDB}}$
b_period,0.9414576,(fixed),(fixed),$P_b$,d
b_f_c,-0.00166485346595862,(fixed),(fixed),$\sqrt{e_b} \cos{\omega_b}$,
b_f_s,-0.0953793911856062,(fixed),(fixed),$\sqrt{e_b} \sin{\omega_b}$,
b_K,1.8166,(fixed),(fixed),$K_b$,
b_q,0.0059653,(fixed),(fixed),$M_b / M_\star$,
host_ldc_q1_TESS,0.28291761000000004,(fixed),(fixed),$q_{1; \mathrm{TESS}}$,
host_ldc_q2_TESS,0.20605376950554616,(fixed),(fixed),$q_{2; \mathrm{TESS}}$,
b_sbratio_TESS,0.03567187459271287,0.0015355025753930815,0.0015225759858735755,$J_\mathrm{b; TESS}$,
b_phase_curve_beaming_TESS,0.021990688553822788,0.004502020754043906,0.004505536846041113,$A_\mathrm{b; beaming; TESS}$,
b_phase_curve_atmospheric_TESS,-0.14427654018560637,0.005619291356223716,0.005616815343646719,$A_\mathrm{b; atmospheric; TESS}$,
b_phase_curve_ellipsoidal_TESS,-0.19229787725056707,0.005940837469160104,0.005964477620671427,$A_\mathrm{b; ellipsoidal; TESS}$,
baseline_offset_flux_TESS,7.526004640605495e-05,3.793073319122579e-06,3.8076210434709757e-06,$\Delta F_\mathrm{TESS}$,
log_err_flux_TESS,-9.155906011728835,0.02196688565861038,0.022429341067217834,$\ln {\sigma_\mathrm{TESS}}$,$\ln{ \mathrm{rel. flux.} }$
