# bintime,binflux,binflux_err
-2.348804745656374038e-01,1.000427459225510018e+00,1.035665595629142239e-04
-2.339470767316407518e-01,1.000154459476470858e+00,9.655205280074223291e-05
-2.330616069190505346e-01,1.000262081623077393e+00,9.180225864851235685e-05
-2.320890498580140127e-01,1.000163052011938669e+00,9.369299465873883348e-05
-2.311097213622423652e-01,1.000139389187097549e+00,8.280679400960534514e-05
-2.302096422742006265e-01,1.000155658557497329e+00,1.142671505151859765e-04
-2.292714099212662671e-01,1.000247931107878685e+00,1.126612058821137909e-04
-2.283173338667539853e-01,1.000211346533990575e+00,9.233247634774820255e-05
-2.273968886817623880e-01,1.000268839299678802e+00,9.249944712888424794e-05
-2.264199271946737702e-01,1.000201744191786757e+00,9.317678878559111449e-05
-2.254202078782782392e-01,1.000280447544590112e+00,1.080809739696361927e-04
-2.245304780090501828e-01,1.000409213701883848e+00,1.185992747168922677e-04
-2.235859243625684389e-01,1.000209759263431364e+00,9.789670900125069361e-05
-2.226254107041570618e-01,1.000359133879343609e+00,1.207643853003889092e-04
-2.217408785302903140e-01,1.000137524358157393e+00,8.177851536307985034e-05
-2.207798518342224403e-01,1.000236698809791935e+00,1.032760560898029600e-04
-2.197901703189094891e-01,1.000040190294384956e+00,9.858529627307452013e-05
-2.188936783944688824e-01,1.000281685164996492e+00,1.260975839417446856e-04
-2.179994026542724228e-01,1.000378169119358063e+00,9.305753294551160205e-05
-2.169991911420870168e-01,1.000172394694704092e+00,9.618401667417512859e-05
-2.160500980611093080e-01,1.000225061178207309e+00,1.158094068552153864e-04
-2.151482312489376159e-01,1.000174983855216748e+00,9.685822499647464426e-05
-2.141925314864742691e-01,1.000231256408076197e+00,8.783319808247727091e-05
-2.132578821623780929e-01,1.000145601815190854e+00,1.092066569923675029e-04
-2.123023847633283834e-01,1.000117598211064163e+00,1.016269261996135111e-04
-2.113250103585296025e-01,1.000206497407728712e+00,1.054836904616958268e-04
-2.103973957114334270e-01,1.000186217948794365e+00,1.086840567743376369e-04
-2.094811258244680952e-01,1.000124569862119506e+00,8.404887362443965511e-05
-2.085061466769023153e-01,1.000061078983194740e+00,1.147383390726777432e-04
-2.075459388614925016e-01,1.000276968396943245e+00,1.062734651711537160e-04
-2.066726873522625185e-01,1.000314570242358814e+00,1.200994487862894926e-04
-2.057001289870208915e-01,1.000240502988591018e+00,9.007975946499074960e-05
-2.047345388005763211e-01,1.000296650394316700e+00,8.901414245537490097e-05
-2.038709644395944320e-01,1.000400892325810087e+00,8.086266316169478776e-05
-2.029089097449838786e-01,1.000021130749673581e+00,1.056208469012989357e-04
-2.019296929865126988e-01,1.000210371709639112e+00,8.688514435894171715e-05
-2.010374795540635640e-01,9.998737162557141955e-01,1.210836677387534837e-04
-2.000891217618872842e-01,1.000242548063397408e+00,9.074879406331894289e-05
-1.991506036258052781e-01,1.000283725800052759e+00,8.196242920863763782e-05
-1.981982837572430489e-01,1.000187551602721214e+00,1.183830376992641017e-04
-1.972241592035807178e-01,1.000117737799882889e+00,8.410163075060512073e-05
-1.962693497631692319e-01,1.000303763896226883e+00,9.852924119291370936e-05
-1.953466990970942063e-01,1.000296890735626221e+00,9.965029017689387583e-05
-1.944051163183284359e-01,1.000178588159156501e+00,9.641566931758885177e-05
-1.934332177821663779e-01,1.000322320768910034e+00,1.017782662749831829e-04
-1.925246431790365031e-01,1.000218609968821282e+00,1.265343197262963604e-04
-1.915993812552984343e-01,1.000212611574115229e+00,1.041303978365433659e-04
-1.906041304490828092e-01,1.000103369355201721e+00,8.747043501163753916e-05
-1.896841391597899884e-01,1.000077028359685594e+00,1.030730658759922228e-04
-1.888328193448884640e-01,1.000191311041514153e+00,7.682967476105846227e-05
-1.878387905105861899e-01,1.000285437330603600e+00,9.709654741738990775e-05
-1.868896196852713742e-01,1.000240970042443944e+00,7.385837551586240681e-05
-1.859855771670332614e-01,1.000049181779225638e+00,1.220858137594582496e-04
-1.850033615143804877e-01,1.000153692329631028e+00,1.215397378061729714e-04
-1.840382845598558526e-01,1.000086719170212746e+00,1.239411204882646814e-04
-1.831069301970146002e-01,1.000041468068957329e+00,9.327932622786516898e-05
-1.821442570783722570e-01,1.000133845955133438e+00,9.618116348770452744e-05
-1.812013369538684471e-01,1.000111907720565796e+00,9.680373331400041236e-05
-1.802811189694544791e-01,1.000236562887827585e+00,1.048931932305718971e-04
-1.793359855910391931e-01,1.000210462247624221e+00,1.042707281339766185e-04
-1.783888329661712235e-01,1.000164799151882056e+00,1.022412445207431707e-04
-1.775122662792216754e-01,1.000199466943740845e+00,9.757985946238657685e-05
-1.765448457715836639e-01,1.000278514974257460e+00,9.386977719784600266e-05
-1.755532737128772114e-01,1.000091716166465527e+00,1.067419413450866784e-04
-1.746514572968933254e-01,1.000101439158121774e+00,1.184912308340373106e-04
-1.737262614664415450e-01,1.000145547530230328e+00,9.925694064585046338e-05
-1.727615664406108587e-01,1.000271294265985489e+00,9.301530516718094330e-05
-1.718308880646116366e-01,1.000069361180067062e+00,9.541509963941197635e-05
-1.708784253497495353e-01,1.000131691947127921e+00,9.623097977149638871e-05
-1.698985309754542927e-01,1.000147114781772428e+00,1.040531464008874403e-04
-1.689624301473957313e-01,1.000114273640417384e+00,8.452382393996931581e-05
-1.680162245573912083e-01,1.000064262838074702e+00,1.034640088116514655e-04
-1.670739991160198057e-01,1.000085209646532691e+00,9.461532582604599529e-05
-1.661700924311292349e-01,1.000110089778900146e+00,8.887201770455511953e-05
-1.652343024059635956e-01,1.000043265521526337e+00,9.860578493548028344e-05
-1.642403209592430136e-01,1.000124143831657708e+00,8.901852866406453175e-05
