# time,flux,flux_err
0.000000000000000000e+00,1.000993428306022448e+00,2.000000000000000042e-03
1.041666666666666609e-02,9.997246288021939264e-01,2.000000000000000042e-03
2.083333333333333218e-02,1.001297691868046513e+00,2.000000000000000042e-03
3.125000000000000000e-02,1.003049531857516108e+00,2.000000000000000042e-03
4.166666666666666435e-02,9.995363226964273373e-01,2.000000000000000042e-03
5.208333333333332871e-02,9.995375127642438517e-01,2.000000000000000042e-03
6.250000000000000000e-02,1.003165369455293998e+00,2.000000000000000042e-03
7.291666666666665741e-02,1.001542970325368209e+00,2.000000000000000042e-03
8.333333333333332871e-02,9.990703090173995715e-01,2.000000000000000042e-03
9.375000000000000000e-02,1.001095534660852326e+00,2.000000000000000042e-03
1.041666666666666574e-01,9.990847358174521631e-01,2.000000000000000042e-03
1.145833333333333287e-01,9.990812681531040518e-01,2.000000000000000042e-03
1.250000000000000000e-01,1.000497808471100925e+00,2.000000000000000042e-03
1.354166666666666574e-01,9.961884794997248882e-01,2.000000000000000042e-03
1.458333333333333148e-01,9.965663601612253508e-01,2.000000000000000042e-03
1.562500000000000000e-01,9.988927763639168234e-01,2.000000000000000042e-03
1.666666666666666574e-01,9.979928445196124542e-01,2.000000000000000042e-03
1.770833333333333148e-01,1.000648156487893736e+00,2.000000000000000042e-03
1.875000000000000000e-01,9.982047684414292466e-01,2.000000000000000042e-03
1.979166666666666574e-01,9.971973636497284410e-01,2.000000000000000042e-03
2.083333333333333148e-01,1.002954422723144834e+00,2.000000000000000042e-03
2.187500000000000000e-01,9.995727263730285195e-01,2.000000000000000042e-03
2.291666666666666574e-01,1.000160488810700965e+00,2.000000000000000042e-03
2.395833333333333148e-01,9.971770890776774365e-01,2.000000000000000042e-03
2.500000000000000000e-01,9.989389726541262338e-01,2.000000000000000042e-03
2.604166666666666297e-01,1.000250735522805634e+00,2.000000000000000042e-03
2.708333333333333148e-01,9.977280549987366243e-01,2.000000000000000042e-03
2.812500000000000000e-01,1.000782589553310675e+00,2.000000000000000042e-03
2.916666666666666297e-01,9.988310670355247112e-01,2.000000000000000042e-03
3.020833333333333148e-01,9.994501073330939178e-01,2.000000000000000042e-03
3.125000000000000000e-01,9.988312315269911590e-01,2.000000000000000042e-03
3.229166666666666297e-01,1.003740350523573355e+00,2.000000000000000042e-03
3.333333333333333148e-01,1.000009948575413254e+00,2.000000000000000042e-03
3.437500000000000000e-01,9.979226694874383519e-01,2.000000000000000042e-03
3.541666666666666297e-01,1.001684328923052814e+00,2.000000000000000042e-03
3.645833333333333148e-01,9.975986989683529593e-01,2.000000000000000042e-03
3.750000000000000000e-01,1.000459260026630659e+00,2.000000000000000042e-03
3.854166666666666297e-01,9.961233385389987038e-01,2.000000000000000042e-03
3.958333333333333148e-01,9.973874520038532587e-01,2.000000000000000042e-03
4.062500000000000000e-01,1.000438691235987498e+00,2.000000000000000042e-03
4.166666666666666297e-01,1.001523045917508625e+00,2.000000000000000042e-03
4.270833333333333148e-01,1.000389992626808944e+00,2.000000000000000042e-03
4.375000000000000000e-01,9.998171021031883043e-01,2.000000000000000042e-03
4.479166666666666297e-01,9.994473331599400545e-01,2.000000000000000042e-03
4.583333333333333148e-01,9.970936377161594422e-01,2.000000000000000042e-03
4.687500000000000000e-01,9.986121336715172436e-01,2.000000000000000042e-03
4.791666666666666297e-01,9.991316841664619197e-01,2.000000000000000042e-03
4.895833333333333148e-01,1.002168344992594662e+00,2.000000000000000042e-03
5.000000000000000000e-01,1.000742475145818045e+00,2.000000000000000042e-03
5.104166666666666297e-01,9.965302954602908159e-01,2.000000000000000042e-03
5.208333333333332593e-01,1.000705680075024695e+00,2.000000000000000042e-03
5.312500000000000000e-01,9.992884830845918387e-01,2.000000000000000042e-03
5.416666666666666297e-01,9.987059382810703489e-01,2.000000000000000042e-03
5.520833333333332593e-01,1.001284268605802552e+00,2.000000000000000042e-03
5.625000000000000000e-01,1.002124047912856142e+00,2.000000000000000042e-03
5.729166666666666297e-01,1.001925741022284377e+00,2.000000000000000042e-03
5.833333333333332593e-01,9.983858767133901857e-01,2.000000000000000042e-03
5.937500000000000000e-01,9.994470170266784859e-01,2.000000000000000042e-03
6.041666666666666297e-01,1.000729097685676194e+00,2.000000000000000042e-03
6.145833333333332593e-01,1.002018789130739940e+00,2.000000000000000042e-03
6.250000000000000000e-01,9.991104774467771676e-01,2.000000000000000042e-03
6.354166666666666297e-01,9.996986339906848151e-01,2.000000000000000042e-03
6.458333333333332593e-01,9.978584069763569708e-01,2.000000000000000042e-03
6.562500000000000000e-01,9.976797875986314068e-01,2.000000000000000042e-03
