#property,value,lower_error,upper_error,source
Host radius over semi-major axis b; $R_\star/a_\mathrm{b}$,0.1049150649617123,0.0010779503689864328,0.0011257425589582815,derived
Semi-major axis b over host radius; $a_\mathrm{b}/R_\star$,9.531519618893054,0.1011878119124976,0.09894829156690577,derived
Companion radius b over semi-major axis b; $R_\mathrm{b}/a_\mathrm{b}$,0.011137469440542155,0.0002687258286198438,0.0002725722796510059,derived
Companion radius b; $R_\mathrm{b}$ ($\mathrm{R_{\oplus}}$),11.576814005490515,0.26036100482567015,0.2682526269586152,derived
Companion radius b; $R_\mathrm{b}$ ($\mathrm{R_{jup}}$),1.0328159431603403,0.023227892979334586,0.023931937559513727,derived
Semi-major axis b; $a_\mathrm{b}$ ($\mathrm{R_{\odot}}$),9.530902111096848,0.13915283771397213,0.13653860098666293,derived
Semi-major axis b; $a_\mathrm{b}$ (AU),0.04432314823509101,0.0006471257160588079,0.000634968293746048,derived
Inclination b; $i_\mathrm{b}$ (deg),88.29993788352884,0.41278144697426455,0.5735154446786339,derived
Impact parameter b; $b_\mathrm{tra;b}$,0.2827379443573885,0.09429303180682597,0.06672610953502678,derived
Total transit duration b; $T_\mathrm{tot;b}$ (h),2.9223724594058718,0.04345648691110915,0.04220548220257436,derived
Full-transit duration b; $T_\mathrm{full;b}$ (h),2.315225584839506,0.06656988681483833,0.06544896563802638,derived
Host density from orbit b; $\rho_\mathrm{\star;b}$ (cgs),1.417137001062157,0.04469183116272335,0.04458415279421479,derived
Equilibrium temperature b; $T_\mathrm{eq;b}$ (K),1194.248700985488,21.987512158730397,21.909210931851703,derived
Transit depth (undil.) b; $\delta_\mathrm{tr; undil; b; Leonardo}$ (ppt),0.01320809386442473,0.0003467160526641755,0.00037384769935849826,derived
Transit depth (dil.) b; $\delta_\mathrm{tr; dil; b; Leonardo}$ (ppt),0.01320809386442473,0.0003467160526641755,0.00037384769935849826,derived
Limb darkening; $u_\mathrm{1; Leonardo}$,0.2725447960393039,0.1768839480636792,0.2190177097409412,derived
Limb darkening; $u_\mathrm{2; Leonardo}$,0.42827742617375897,0.3901994640073021,0.29565230517819463,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),1.417137001062157,0.04469183116272335,0.04458415279421479,derived
