# time,flux,flux_err
0.000000000000000000e+00,1.002793428306022472e+00,2.000000000000000042e-03
1.041666666666666609e-02,1.001524582349563763e+00,2.000000000000000042e-03
2.083333333333333218e-02,1.003097506066950251e+00,2.000000000000000042e-03
3.125000000000000000e-02,1.004849113833605978e+00,2.000000000000000042e-03
4.166666666666666435e-02,1.001335579606648318e+00,2.000000000000000042e-03
5.208333333333332871e-02,1.001336351806632274e+00,2.000000000000000042e-03
6.250000000000000000e-02,1.004963697878775930e+00,2.000000000000000042e-03
7.291666666666665741e-02,1.003340695439549179e+00,2.000000000000000042e-03
8.333333333333332871e-02,1.000867338202351853e+00,2.000000000000000042e-03
9.375000000000000000e-02,1.002891775376892669e+00,2.000000000000000042e-03
1.041666666666666574e-01,1.000880095614912868e+00,2.000000000000000042e-03
1.145833333333333287e-01,1.000875654682093163e+00,2.000000000000000042e-03
1.250000000000000000e-01,1.002291129491254429e+00,2.000000000000000042e-03
1.354166666666666574e-01,9.979806428899452575e-01,2.000000000000000042e-03
1.458333333333333148e-01,9.983572739294098719e-01,2.000000000000000042e-03
1.562500000000000000e-01,1.000682348656669829e+00,2.000000000000000042e-03
1.666666666666666574e-01,9.997809836319455634e-01,2.000000000000000042e-03
1.770833333333333148e-01,1.002434770872908221e+00,2.000000000000000042e-03
1.875000000000000000e-01,9.999897667199836304e-01,2.000000000000000042e-03
1.979166666666666574e-01,9.989806546200862281e-01,2.000000000000000042e-03
2.083333333333333148e-01,1.004735915370604804e+00,2.000000000000000042e-03
2.187500000000000000e-01,1.001352329879534597e+00,2.000000000000000042e-03
2.291666666666666574e-01,1.001938112564431105e+00,2.000000000000000042e-03
2.395833333333333148e-01,9.989526426826106364e-01,2.000000000000000042e-03
2.500000000000000000e-01,1.000712365939586013e+00,2.000000000000000042e-03
2.604166666666666297e-01,1.002021878552979306e+00,2.000000000000000042e-03
2.708333333333333148e-01,9.994968580821701476e-01,2.000000000000000042e-03
2.812500000000000000e-01,1.002548963252375636e+00,2.000000000000000042e-03
2.916666666666666297e-01,1.000594922175860324e+00,2.000000000000000042e-03
3.020833333333333148e-01,1.001211355013017279e+00,2.000000000000000042e-03
3.125000000000000000e-01,1.000589783126881516e+00,2.000000000000000042e-03
3.229166666666666297e-01,1.005496117715223736e+00,2.000000000000000042e-03
3.333333333333333148e-01,1.001762843331350794e+00,2.000000000000000042e-03
3.437500000000000000e-01,9.996726040902138566e-01,2.000000000000000042e-03
3.541666666666666297e-01,1.003431215974494473e+00,2.000000000000000042e-03
3.645833333333333148e-01,9.993424513987860802e-01,2.000000000000000042e-03
3.750000000000000000e-01,1.002199791104062321e+00,2.000000000000000042e-03
3.854166666666666297e-01,9.978605618782663278e-01,2.000000000000000042e-03
3.958333333333333148e-01,9.991212815757334331e-01,2.000000000000000042e-03
4.062500000000000000e-01,1.002169041376268943e+00,2.000000000000000042e-03
4.166666666666666297e-01,1.003249831336023190e+00,2.000000000000000042e-03
4.270833333333333148e-01,1.002113128416421528e+00,2.000000000000000042e-03
4.375000000000000000e-01,1.001536503748749363e+00,2.000000000000000042e-03
4.479166666666666297e-01,1.001162916547189585e+00,2.000000000000000042e-03
4.583333333333333148e-01,9.988053191405917852e-01,2.000000000000000042e-03
4.687500000000000000e-01,1.000319829847199138e+00,2.000000000000000042e-03
4.791666666666666297e-01,1.000835312234805929e+00,2.000000000000000042e-03
4.895833333333333148e-01,1.003867822531085086e+00,2.000000000000000042e-03
5.000000000000000000e-01,1.002437720176690750e+00,2.000000000000000042e-03
5.104166666666666297e-01,9.982212264591628914e-01,2.000000000000000042e-03
5.208333333333332593e-01,1.002392215979475809e+00,2.000000000000000042e-03
5.312500000000000000e-01,1.000970543302694304e+00,2.000000000000000042e-03
5.416666666666666297e-01,1.000383442699869896e+00,2.000000000000000042e-03
5.520833333333332593e-01,1.002957137599743032e+00,2.000000000000000042e-03
5.625000000000000000e-01,1.003792202352155938e+00,2.000000000000000042e-03
5.729166666666666297e-01,1.003589102281253753e+00,2.000000000000000042e-03
5.833333333333332593e-01,1.000044366678697116e+00,2.000000000000000042e-03
5.937500000000000000e-01,1.001100558105557869e+00,2.000000000000000042e-03
6.041666666666666297e-01,1.002377612814079999e+00,2.000000000000000042e-03
6.145833333333332593e-01,1.003662201781431840e+00,2.000000000000000042e-03
6.250000000000000000e-01,1.000748711637369226e+00,2.000000000000000042e-03
6.354166666666666297e-01,1.001331614291610661e+00,2.000000000000000042e-03
6.458333333333332593e-01,9.994860585187890223e-01,2.000000000000000042e-03
6.562500000000000000e-01,9.993020360823342552e-01,2.000000000000000042e-03
6.666666666666666297e-01,1.003315147040465094e+00,2.000000000000000042e-03
6.770833333333332593e-01,1.004398147286885923e+00,2.000000000000000042e-03
6.875000000000000000e-01,1.001537145164618225e+00,2.000000000000000042e-03
6.979166666666666297e-01,1.003683656308262062e+00,2.000000000000000042e-03
7.083333333333332593e-01,1.002395215184185284e+00,2.000000000000000042e-03
7.187500000000000000e-01,1.000376984361137644e+00,2.000000000000000042e-03
7.291666666666666297e-01,1.002385224537420072e+00,2.000000000000000042e-03
7.395833333333332593e-01,1.004733645247689378e+00,2.000000000000000042e-03
7.500000000000000000e-01,1.001580988776973102e+00,2.000000000000000042e-03
7.604166666666666297e-01,1.004776927486333182e+00,2.000000000000000042e-03
7.708333333333332593e-01,9.964030804992507484e-01,2.000000000000000042e-03
7.812500000000000000e-01,1.003281238103325812e+00,2.000000000000000042e-03
7.916666666666666297e-01,1.001806322120823323e+00,2.000000000000000042e-03
8.020833333333332593e-01,1.001028941330945665e+00,2.000000000000000042e-03
8.125000000000000000e-01,1.001805139452222715e+00,2.000000000000000042e-03
8.229166666666666297e-01,9.976410764257324093e-01,2.000000000000000042e-03
8.333333333333332593e-01,1.001171401999017885e+00,2.000000000000000042e-03
8.437500000000000000e-01,1.002319438283547859e+00,2.000000000000000042e-03
8.541666666666666297e-01,1.004555405130559853e+00,2.000000000000000042e-03
8.645833333333332593e-01,1.000557417734926346e+00,2.000000000000000042e-03
8.750000000000000000e-01,9.999712500274491322e-01,2.000000000000000042e-03
8.854166666666666297e-01,1.000578940847032694e+00,2.000000000000000042e-03
8.958333333333332593e-01,1.003407416223854653e+00,2.000000000000000042e-03
9.062500000000000000e-01,1.002228211335540076e+00,2.000000000000000042e-03
9.166666666666666297e-01,1.000505226636295264e+00,2.000000000000000042e-03
9.270833333333332593e-01,1.002585261369818515e+00,2.000000000000000042e-03
9.375000000000000000e-01,1.001746803332435709e+00,2.000000000000000042e-03
9.479166666666666297e-01,1.003483802959402649e+00,2.000000000000000042e-03
9.583333333333332593e-01,1.000136215299444853e+00,2.000000000000000042e-03
9.687500000000000000e-01,1.000878750222612634e+00,2.000000000000000042e-03
9.791666666666666297e-01,1.000743556518962407e+00,2.000000000000000042e-03
9.895833333333332593e-01,9.985943872857514503e-01,2.000000000000000042e-03
1.000000000000000000e+00,1.002107248912275761e+00,2.000000000000000042e-03
1.010416666666666519e+00,1.002030657675276215e+00,2.000000000000000042e-03
1.020833333333333259e+00,1.001512261196145115e+00,2.000000000000000042e-03
1.031250000000000000e+00,1.001026296334913468e+00,2.000000000000000042e-03
1.041666666666666519e+00,9.985903959499720095e-01,2.000000000000000042e-03
1.052083333333333259e+00,9.931605305439664688e-01,2.000000000000000042e-03
1.062500000000000000e+00,9.903880644660688626e-01,2.000000000000000042e-03
1.072916666666666519e+00,9.881042389897690681e-01,2.000000000000000042e-03
1.083333333333333259e+00,9.886395975265076519e-01,2.000000000000000042e-03
1.093750000000000000e+00,9.894172690257898584e-01,2.000000000000000042e-03
1.104166666666666519e+00,9.923443908936399049e-01,2.000000000000000042e-03
1.114583333333333259e+00,9.891937040696635597e-01,2.000000000000000042e-03
1.125000000000000000e+00,9.900026245758225540e-01,2.000000000000000042e-03
1.135416666666666519e+00,9.905336118616835384e-01,2.000000000000000042e-03
1.145833333333333259e+00,9.892235024573072799e-01,2.000000000000000042e-03
1.156250000000000000e+00,1.000487507144633526e+00,2.000000000000000042e-03
1.166666666666666519e+00,1.001526344570560001e+00,2.000000000000000042e-03
1.177083333333333259e+00,1.006325178409206211e+00,2.000000000000000042e-03
1.187500000000000000e+00,1.001006743827375089e+00,2.000000000000000042e-03
1.197916666666666519e+00,1.001987294411226470e+00,2.000000000000000042e-03
1.208333333333333259e+00,1.001307473415053773e+00,2.000000000000000042e-03
1.218750000000000000e+00,9.990322022302646765e-01,2.000000000000000042e-03
1.229166666666666519e+00,1.003647830276953368e+00,2.000000000000000042e-03
1.239583333333333259e+00,1.002858642918638354e+00,2.000000000000000042e-03
1.250000000000000000e+00,1.002929399690355439e+00,2.000000000000000042e-03
1.260416666666666519e+00,9.995210874451903038e-01,2.000000000000000042e-03
1.270833333333333259e+00,1.004137946031514517e+00,2.000000000000000042e-03
1.281250000000000000e+00,9.985211197190242416e-01,2.000000000000000042e-03
1.291666666666666519e+00,1.002490970733838971e+00,2.000000000000000042e-03
1.302083333333333259e+00,1.005690573655418030e+00,2.000000000000000042e-03
1.312500000000000000e+00,9.993209676589027701e-01,2.000000000000000042e-03
1.322916666666666519e+00,1.000161795697515954e+00,2.000000000000000042e-03
