#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
host_ldc_q1_Leonardo,0.497734815583709,0.3101598377766362,0.3100594122186443,$q_{1;\mathrm{Leonardo}}$,
host_ldc_q2_Leonardo,0.5071292167433676,0.31923126184144046,0.30291498242408366,$q_{2;\mathrm{Leonardo}}$,
host_ldc_q1_Michelangelo,0.5055898503451102,0.3156012737665004,0.30746012885922924,$q_{1;\mathrm{Michelangelo}}$,
host_ldc_q2_Michelangelo,0.4984818284312774,0.31256381270450295,0.31157465446331,$q_{2;\mathrm{Michelangelo}}$,
b_rsuma,0.14823293356167333,0.00512071698476857,0.004494833377261531,$(R_\star + R_b) / a_b$,
b_rr,0.1082141870176896,0.0012458492481292188,0.0012575391945582326,$R_b / R_\star$,
b_cosi,0.10082977838566493,0.006401693962751032,0.005368827296148335,$\cos{i_b}$,
b_epoch,1.1022790087518626,0.0011676636531845475,0.001150306607957896,$T_{0;b}$,$\mathrm{BJD}$
b_period,3.39985192987084,8.07973084375746e-05,8.17971279145624e-05,$P_b$,$\mathrm{d}$
b_K,0.0983696264595949,0.0018180502810615368,0.0025532981850744374,$K_b$,$\mathrm{km/s}$
log_err_flux_Leonardo,-6.207671875630507,0.06958279425856428,0.07202856840920102,$\log{\sigma_\mathrm{Leonardo}}$,
log_err_flux_Michelangelo,-7.427261380005135,0.07400538506136378,0.07758483630251511,$\log{\sigma_\mathrm{Michelangelo}}$,
log_jitter_rv_Donatello,-4.483583403520826,0.4000368483653576,0.41357900940365067,$\log{\sigma_\mathrm{jitter}} (RV_\mathrm{Donatello})$,$\mathrm{km/s}$
log_jitter_rv_Raphael,-5.644879115038939,0.4097349466292668,0.5065017624631052,$\log{\sigma_\mathrm{jitter}} (RV_\mathrm{Raphael})$,$\mathrm{km/s}$
