#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
host_ldc_q1_Leonardo,0.29012880827776205,0.18035696638425142,0.29993671016084184,$q_{1;\mathrm{Leonardo}}$,
host_ldc_q2_Leonardo,0.24059710777487175,0.18168368161969942,0.38974503825576345,$q_{2;\mathrm{Leonardo}}$,
host_ldc_q1_Michelangelo,0.7079568120363586,0.19339555572793976,0.17894298719644353,$q_{1;\mathrm{Michelangelo}}$,
host_ldc_q2_Michelangelo,0.27059906433170877,0.07294663438685223,0.10798610795274732,$q_{2;\mathrm{Michelangelo}}$,
b_rsuma,0.10907388938935098,0.002463729845555207,0.004827788115300824,$(R_\star + R_b) / a_b$,
b_rr,0.0999919857892295,0.001318598099362897,0.0018286108393103656,$R_b / R_\star$,
b_cosi,0.022791194115856603,0.015079608770188158,0.01564602802835132,$\cos{i_b}$,
b_epoch,31.700746165888475,0.0003902201102619074,0.0003953759434409676,$T_{0;b}$,$\mathrm{BJD}$
b_period,3.3998791141019677,6.412024201551958e-05,6.761090303442074e-05,$P_b$,$\mathrm{d}$
b_K,0.09915494684263808,0.0005497111891638456,0.0005801743680173693,$K_b$,$\mathrm{km/s}$
log_err_flux_Leonardo,-6.240987977005305,0.07158444683169396,0.07273665231846405,$\log{\sigma_\mathrm{Leonardo}}$,
log_err_flux_Michelangelo,-7.746452660437873,0.07285431413524535,0.07916588060966845,$\log{\sigma_\mathrm{Michelangelo}}$,
log_jitter_rv_Donatello,-7.431364290200001,1.77370369726248,1.7266261122210373,$\log{\sigma_\mathrm{jitter}} (RV_\mathrm{Donatello})$,$\mathrm{km/s}$
log_jitter_rv_Raphael,-8.545873775236245,0.9287936557513383,1.0970108218141377,$\log{\sigma_\mathrm{jitter}} (RV_\mathrm{Raphael})$,$\mathrm{km/s}$
