# time,flux,flux_err
1.744701102017835126e+01,3.176206025403539579e-01,6.000000000000000125e-03
1.872108415211610577e+01,1.215872252387918406e-01,6.000000000000000125e-03
2.020194236687589751e+01,2.408934097279549769e-01,6.000000000000000125e-03
2.171454210281401842e+01,1.149390491076394821e-01,6.000000000000000125e-03
2.174859413736203351e+01,1.333576136597138806e-01,6.000000000000000125e-03
2.417568095934754879e+01,2.393105411088513601e-01,6.000000000000000125e-03
2.448864471788708741e+01,2.049375549513114958e-01,6.000000000000000125e-03
2.610603680914423563e+01,9.736342440217793381e-02,6.000000000000000125e-03
2.825319272338157361e+01,2.070296279533519745e-01,6.000000000000000125e-03
3.518625067449118404e+01,2.856220551952874942e-01,6.000000000000000125e-03
3.709266932224389279e+01,3.777190192372461564e-01,6.000000000000000125e-03
3.806744968627713632e+01,3.911506499122204827e-01,6.000000000000000125e-03
4.045831979813993229e+01,3.353782073120699092e-01,6.000000000000000125e-03
4.093105162270802566e+01,3.729834965659132862e-01,6.000000000000000125e-03
4.121181398670697149e+01,3.880439162075420279e-01,6.000000000000000125e-03
5.252274136325853249e+01,3.621498936357458315e-02,6.000000000000000125e-03
5.479897658010987982e+01,2.055140777686610132e-01,6.000000000000000125e-03
5.488866050732772095e+01,2.200128779763609044e-01,6.000000000000000125e-03
5.775193221233912766e+01,2.270479298826652004e-01,6.000000000000000125e-03
6.018488428630195131e+01,1.167940378429416365e-01,6.000000000000000125e-03
6.046408624372340057e+01,1.755188627722480410e-01,6.000000000000000125e-03
6.122694689116678290e+01,3.142059679245904347e-01,6.000000000000000125e-03
6.128353251937636514e+01,3.219247295729681935e-01,6.000000000000000125e-03
6.138039921697279766e+01,3.229048128749892332e-01,6.000000000000000125e-03
6.515200056105693704e+01,3.749633438106593775e-01,6.000000000000000125e-03
6.657204620516971261e+01,1.847373531967427818e-01,6.000000000000000125e-03
6.904557794041254226e+01,3.197965491380061476e-01,6.000000000000000125e-03
6.947562822200472965e+01,2.275700762717251524e-01,6.000000000000000125e-03
7.007842371503159029e+01,2.009934264965627104e-01,6.000000000000000125e-03
7.027195317514195949e+01,2.056257704868948155e-01,6.000000000000000125e-03
7.158917766058004872e+01,3.719710781248030118e-01,6.000000000000000125e-03
7.425769168833434719e+01,2.369854975790519347e-01,6.000000000000000125e-03
7.524939245704193524e+01,2.988472451482501735e-01,6.000000000000000125e-03
7.800757643066634728e+01,2.257771103968203297e-01,6.000000000000000125e-03
8.224196738570122989e+01,2.048380789979070138e-01,6.000000000000000125e-03
8.260599410655157726e+01,1.364140041000276860e-01,6.000000000000000125e-03
8.440944027012962181e+01,1.371816760011230207e-01,6.000000000000000125e-03
8.482144986999840341e+01,2.021965812153181108e-01,6.000000000000000125e-03
8.514422784241777720e+01,2.493396325376233402e-01,6.000000000000000125e-03
8.568303246191963751e+01,2.072658218705865640e-01,6.000000000000000125e-03
