# time,flux,flux_err
0.000000000000000000e+00,1.000993428306022448e+00,2.000000000000000042e-03
1.736111111111111188e-02,9.997299251898883465e-01,2.000000000000000042e-03
3.472222222222222376e-02,1.001308332159734249e+00,2.000000000000000042e-03
5.208333333333332871e-02,1.003065563580102904e+00,2.000000000000000042e-03
6.944444444444444753e-02,9.995577933847563656e-01,2.000000000000000042e-03
8.680555555555555247e-02,9.995644699584034232e-01,2.000000000000000042e-03
1.041666666666666574e-01,1.003197860697909727e+00,2.000000000000000042e-03
1.215277777777777762e-01,1.001581043158871420e+00,2.000000000000000042e-03
1.388888888888888951e-01,9.991140109812801651e-01,2.000000000000000042e-03
1.562500000000000000e-01,1.001144913288889438e+00,2.000000000000000042e-03
1.736111111111111049e-01,9.991398386349263916e-01,2.000000000000000042e-03
1.909722222222222099e-01,9.991421426739882650e-01,2.000000000000000042e-03
2.083333333333333148e-01,1.000564502195236294e+00,2.000000000000000042e-03
2.256944444444444198e-01,9.962610399099719460e-01,2.000000000000000042e-03
2.430555555555555525e-01,9.966448347205996150e-01,2.000000000000000042e-03
2.604166666666666297e-01,9.989772125127017732e-01,2.000000000000000042e-03
2.777777777777777901e-01,9.980832896724566305e-01,2.000000000000000042e-03
2.951388888888888951e-01,1.000744658030884970e+00,2.000000000000000042e-03
3.125000000000000000e-01,9.983073737291522365e-01,2.000000000000000042e-03
3.298611111111111049e-01,9.973061200023010109e-01,2.000000000000000042e-03
3.472222222222222099e-01,1.003069377423235986e+00,2.000000000000000042e-03
3.645833333333333148e-01,9.996939266628567244e-01,2.000000000000000042e-03
3.819444444444444198e-01,1.000287981889013134e+00,2.000000000000000042e-03
3.993055555555555247e-01,9.973109220967089072e-01,2.000000000000000042e-03
4.166666666666666297e-01,9.990791927165417752e-01,2.000000000000000042e-03
4.340277777777777346e-01,1.000397389678619797e+00,2.000000000000000042e-03
4.513888888888888395e-01,9.978811902422173308e-01,2.000000000000000042e-03
4.687500000000000000e-01,1.000942252819860823e+00,2.000000000000000042e-03
4.861111111111111049e-01,9.989973051985466812e-01,2.000000000000000042e-03
5.034722222222222099e-01,9.996229672008345446e-01,2.000000000000000042e-03
5.208333333333332593e-01,9.990107598393673793e-01,2.000000000000000042e-03
5.381944444444444198e-01,1.003926593948978541e+00,2.000000000000000042e-03
5.555555555555555802e-01,1.000202953707505227e+00,2.000000000000000042e-03
5.729166666666666297e-01,9.981224828419084094e-01,2.000000000000000042e-03
5.902777777777777901e-01,1.001890996934375888e+00,2.000000000000000042e-03
6.076388888888888395e-01,9.978122679865171207e-01,2.000000000000000042e-03
6.250000000000000000e-01,1.000679776313850633e+00,2.000000000000000042e-03
6.423611111111110494e-01,9.963508482664096277e-01,2.000000000000000042e-03
6.597222222222222099e-01,9.976220012481838983e-01,2.000000000000000042e-03
6.770833333333332593e-01,1.000680325976217588e+00,2.000000000000000042e-03
6.944444444444444198e-01,1.001771812031505560e+00,2.000000000000000042e-03
7.118055555555554692e-01,1.000645935887946258e+00,2.000000000000000042e-03
7.291666666666666297e-01,1.000080268176946507e+00,2.000000000000000042e-03
7.465277777777777901e-01,9.997177676004874725e-01,2.000000000000000042e-03
7.638888888888888395e-01,9.973713859629166345e-01,2.000000000000000042e-03
7.812500000000000000e-01,9.988972410457007678e-01,2.000000000000000042e-03
7.986111111111110494e-01,9.994241958676119975e-01,2.000000000000000042e-03
8.159722222222222099e-01,1.002468306095082307e+00,2.000000000000000042e-03
8.333333333333332593e-01,1.001049930595335757e+00,2.000000000000000042e-03
8.506944444444444198e-01,9.968452900703244079e-01,2.000000000000000042e-03
8.680555555555554692e-01,1.001028258523307457e+00,2.000000000000000042e-03
8.854166666666666297e-01,9.996186899095391709e-01,2.000000000000000042e-03
9.027777777777776791e-01,9.990438178781990697e-01,2.000000000000000042e-03
9.201388888888888395e-01,1.001629865224129334e+00,2.000000000000000042e-03
9.375000000000000000e-01,1.002477405651281295e+00,2.000000000000000042e-03
9.548611111111110494e-01,1.002286903825954312e+00,2.000000000000000042e-03
9.722222222222222099e-01,9.987548883700453350e-01,2.000000000000000042e-03
9.895833333333332593e-01,9.998239211629824652e-01,2.000000000000000042e-03
1.006944444444444420e+00,1.001113937763525641e+00,2.000000000000000042e-03
1.024305555555555580e+00,1.002411608443560143e+00,2.000000000000000042e-03
1.041666666666666519e+00,9.993779471272752346e-01,2.000000000000000042e-03
1.059027777777777679e+00,9.902317275973874233e-01,2.000000000000000042e-03
1.076388888888888840e+00,9.873816583277187364e-01,2.000000000000000042e-03
1.093750000000000000e+00,9.868698385972247689e-01,2.000000000000000042e-03
1.111111111111111160e+00,9.909484888521483681e-01,2.000000000000000042e-03
1.128472222222222099e+00,9.925243464701873908e-01,2.000000000000000042e-03
1.145833333333333259e+00,9.910935644987798332e-01,2.000000000000000042e-03
1.163194444444444420e+00,1.002541941721190266e+00,2.000000000000000042e-03
1.180555555555555580e+00,1.001267627032175200e+00,2.000000000000000042e-03
1.197916666666666519e+00,9.992636347725700752e-01,2.000000000000000042e-03
1.215277777777777679e+00,1.001286224808527248e+00,2.000000000000000042e-03
