# time,flux,flux_err
5.200000000000000000e+01,1.001692876788920605e+00,5.000000000000000104e-04
5.200277777777777999e+01,1.002571121028594359e+00,5.000000000000000104e-04
5.200555555555555998e+01,1.001505971594086386e+00,5.000000000000000104e-04
5.200833333333333997e+01,1.001868907161830968e+00,5.000000000000000104e-04
5.201111111111111995e+01,1.001750576175103991e+00,5.000000000000000104e-04
5.201388888888889994e+01,1.002701056349158515e+00,5.000000000000000104e-04
5.201666666666667993e+01,1.002081993961668971e+00,5.000000000000000104e-04
5.201944444444445992e+01,1.002504808436768702e+00,5.000000000000000104e-04
5.202222222222223991e+01,1.001250293448546103e+00,5.000000000000000104e-04
5.202500000000001990e+01,1.002129802042638573e+00,5.000000000000000104e-04
5.202777777777779988e+01,1.002443309806964944e+00,5.000000000000000104e-04
5.203055555555557987e+01,1.002040867033034077e+00,5.000000000000000104e-04
5.203333333333335986e+01,1.002532708377271931e+00,5.000000000000000104e-04
5.203611111111113985e+01,1.001740579518063168e+00,5.000000000000000104e-04
5.203888888888891984e+01,1.002702165786223842e+00,5.000000000000000104e-04
5.204166666666669983e+01,1.003094799223656741e+00,5.000000000000000104e-04
5.204444444444447981e+01,1.000682289208286280e+00,5.000000000000000104e-04
5.204722222222225980e+01,9.986153322044231118e-01,5.000000000000000104e-04
5.205000000000003979e+01,9.970915745944094466e-01,5.000000000000000104e-04
5.205277777777781978e+01,9.950650072662873269e-01,5.000000000000000104e-04
5.205555555555559977e+01,9.928677955113055509e-01,5.000000000000000104e-04
5.205833333333337976e+01,9.920956173669348566e-01,5.000000000000000104e-04
5.206111111111115974e+01,9.915242110985221791e-01,5.000000000000000104e-04
5.206388888888893973e+01,9.904761959405116167e-01,5.000000000000000104e-04
5.206666666666671972e+01,9.902634398422557327e-01,5.000000000000000104e-04
5.206944444444449971e+01,9.898652692051945756e-01,5.000000000000000104e-04
5.207222222222227970e+01,9.896840766540426770e-01,5.000000000000000104e-04
5.207500000000005969e+01,9.897971935176034242e-01,5.000000000000000104e-04
5.207777777777783967e+01,9.897166259656449139e-01,5.000000000000000104e-04
5.208055555555561966e+01,9.901924931773425920e-01,5.000000000000000104e-04
5.208333333333339965e+01,9.887641707378649336e-01,5.000000000000000104e-04
5.208611111111117964e+01,9.896266268864561955e-01,5.000000000000000104e-04
5.208888888888895963e+01,9.889210112684795329e-01,5.000000000000000104e-04
5.209166666666673962e+01,9.889172729791539940e-01,5.000000000000000104e-04
5.209444444444451960e+01,9.892124362275379612e-01,5.000000000000000104e-04
5.209722222222229959e+01,9.882647303021403484e-01,5.000000000000000104e-04
5.210000000000007958e+01,9.889858377005908974e-01,5.000000000000000104e-04
5.210277777777785957e+01,9.888636984877482439e-01,5.000000000000000104e-04
5.210555555555563956e+01,9.890300367818379845e-01,5.000000000000000104e-04
5.210833333333341955e+01,9.889498224647270685e-01,5.000000000000000104e-04
5.211111111111119953e+01,9.900734052460821166e-01,5.000000000000000104e-04
5.211388888888897952e+01,9.885879513539189700e-01,5.000000000000000104e-04
5.211666666666675951e+01,9.887249235251844848e-01,5.000000000000000104e-04
