#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rsuma,0.10885605587472469,0.002004225891428915,0.0039775026338714214,$(R_\star + R_b) / a_b$,
b_rr,0.10125166773257312,0.0007202732248102195,0.0011291343275321025,$R_b / R_\star$,
b_cosi,0.020585500020468807,0.011975137795215685,0.013703410181912921,$\cos{i_b}$,
b_epoch,1.1003096143989208,0.0008789365487595902,0.0008032113834546273,$T_{0;b}$,$\mathrm{BJD}$
b_period,3.399976803736994,5.7651872751307565e-05,5.922752787901331e-05,$P_b$,$\mathrm{d}$
b_K,0.0995712028566702,0.001164186232916073,0.0010802863021193154,$K_b$,$\mathrm{km/s}$
host_ldc_q1_Leonardo,0.3,(fixed),(fixed),$q_{1;\mathrm{Leonardo}}$,
host_ldc_q2_Leonardo,0.1,(fixed),(fixed),$q_{2;\mathrm{Leonardo}}$,
host_ldc_q1_Michelangelo,0.5,(fixed),(fixed),$q_{1;\mathrm{Michelangelo}}$,
host_ldc_q2_Michelangelo,0.4,(fixed),(fixed),$q_{2;\mathrm{Michelangelo}}$,
log_err_flux_Leonardo,-6.312091852264704,0.07663385907745823,0.07945821920822116,$\log{\sigma_\mathrm{Leonardo}}$,
log_err_flux_Michelangelo,-7.606785600586801,0.08167234954732194,0.08315148038718512,$\log{\sigma_\mathrm{Michelangelo}}$,
log_jitter_rv_Donatello,-4.911335829582832,0.2685860403232976,0.22362732948447217,$\log{\sigma_\mathrm{jitter}} (RV_\mathrm{Donatello})$,$\mathrm{km/s}$
log_jitter_rv_Raphael,-5.765434470653248,0.2136427244873742,0.22731279771032042,$\log{\sigma_\mathrm{jitter}} (RV_\mathrm{Raphael})$,$\mathrm{km/s}$
baseline_gp_offset_flux_Leonardo,-0.009209191062778722,0.053620182324173954,0.055025999375517165,offset Leonardo,
baseline_gp_matern32_lnsigma_flux_Leonardo,-3.3024362501431725,1.179295174485277,1.984326058487868,$\ln{\sigma_\mathrm{Leonardo}}$,
baseline_gp_matern32_lnrho_flux_Leonardo,3.300102959722031,0.9787715288290539,1.4803700596779712,$\ln{\rho_\mathrm{Leonardo}}$,
baseline_offset_flux_Michelangelo,0.0023269011955467313,0.00013167283407917053,0.000129294657716582,$\mathrm{offset; Michelangelo}$,
baseline_slope_flux_Michelangelo,-0.0020412466864080207,0.0001835234578480352,0.00020909957053556684,$\mathrm{slope; Michelangelo}$,
baseline_offset_rv_Donatello,0.21711065945132135,0.006058668439601789,0.005087134280525152,offset Donatello,$\mathrm{km/s}$
baseline_offset_rv_Raphael,10.91378362249569,0.005745435002438626,0.005249407996096522,offset Raphael,$\mathrm{km/s}$
stellar_var_gp_sho_lnS0_rv,-7.143948217700319,0.5110426079675898,0.5596734513824133,$\ln{\S_\mathrm{0;Raphael}}$,$\mathrm{km/s}$
stellar_var_gp_sho_lnQ_rv,3.551435896153863,1.047532249861502,1.5978081792500491,$\ln{Q_\mathrm{Raphael}}$,$\mathrm{km/s}$
stellar_var_gp_sho_lnomega0_rv,-1.5328237883329865,0.04001191221219269,0.03660674059970481,$\ln{\omega_\mathrm{0;Raphael}}$,$\mathrm{km/s}$
