#property,value,lower_error,upper_error,source
$R_\star/a_\mathrm{b}$,0.19038049270860063,0.01091134084137374,0.010225578711521438,derived
$R_\mathrm{b}/a_\mathrm{b}$,0.023948327898867028,0.0022020230060633174,0.003429893661416942,derived
$R_\mathrm{b}$ ($\mathrm{R_{\oplus}}$),5.2614146687735825,0.39225079222306647,0.4843845022728708,derived
$R_\mathrm{b}$ ($\mathrm{R_{jup}}$),0.46939278379265914,0.034994331923543065,0.04321396511423081,derived
$a_\mathrm{b}$ ($\mathrm{R_{\odot}}$),1.9978831211135526,0.14515335808446772,0.1603342971800703,derived
$a_\mathrm{b}$ (AU),0.00929109004596747,0.0006750309395905339,0.0007456293998452952,derived
$i_\mathrm{b}$ (deg),80.40995972284976,0.8568377002069099,0.8290055435947892,derived
$b_\mathrm{tra;b}$,0.8744411104628098,0.027615636995097503,0.03117540910093375,derived
$T_\mathrm{tot;b}$ (h),3.5582221049876823,0.12648815521900492,0.13483116590041888,derived
$rho_\mathrm{\star;b}$ (cgs),0.2370480433321716,0.03440741073825335,0.045993545941086345,derived
$T_\mathrm{eq;b}$ (K),955.0223129438076,46.62334060782098,46.04412309144266,derived
$\delta_\mathrm{undil; b}$ (ppt),15.918584231893448,1.4791833238504957,2.865544399319127,derived
$\delta_\mathrm{dil; b; Leonardo}$ (ppt),15.918584231893448,1.4791833238504957,2.865544399319127,derived
$P_\mathrm{b} / P_\mathrm{c}$,0.6668093743251741,8.270288008349613e-05,8.283545734266706e-05,derived
$R_\star/a_\mathrm{c}$,0.13040238970750326,0.009886630219063164,0.009664113800989832,derived
$R_\mathrm{c}/a_\mathrm{c}$,0.017088640289967833,0.0018425392545084393,0.001845956197288355,derived
$R_\mathrm{c}$ ($\mathrm{R_{\oplus}}$),5.4185211720017294,0.3438490675452188,0.3420588079659108,derived
$R_\mathrm{c}$ ($\mathrm{R_{jup}}$),0.4834089113067788,0.030676211851817903,0.030516495315383196,derived
$a_\mathrm{c}$ ($\mathrm{R_{\odot}}$),2.913694919589384,0.24196755156600203,0.29005119435054505,derived
$a_\mathrm{c}$ (AU),0.013550042831982197,0.0011252621767728656,0.0013488735833301832,derived
$i_\mathrm{c}$ (deg),85.07172155836597,1.0216369873591873,1.0300297827002822,derived
$b_\mathrm{tra;c}$,0.6589941031635869,0.09591786123440282,0.08158882154448466,derived
$T_\mathrm{tot;c}$ (h),4.679287810475126,0.10095801667124782,0.09451908464500569,derived
$T_\mathrm{full;c}$ (h),2.888384859609042,0.450295011358131,0.27504000001428563,derived
$rho_\mathrm{\star;c}$ (cgs),0.3280272074641923,0.06328614423197276,0.0875333307218592,derived
$T_\mathrm{eq;c}$ (K),789.9521879005246,43.171353825214624,42.615551735662734,derived
$\delta_\mathrm{undil; c}$ (ppt),17.166779852281092,1.2494850670901982,1.1721487471156742,derived
$\delta_\mathrm{dil; c; Leonardo}$ (ppt),17.166779852281092,1.2494850670901982,1.1721487471156742,derived
$P_\mathrm{c} / P_\mathrm{b}$,1.499678976487129,0.0001862768706277773,0.0001860249122589419,derived
Limb darkening $u_\mathrm{1; Leonardo}$,0.5687948019494937,0.33177165091046407,0.286240717761282,derived
Limb darkening $u_\mathrm{2; Leonardo}$,0.18411857804093412,0.31280323676157995,0.3372824889895185,derived
$rho_\mathrm{\star; mean}$ (cgs),0.27413733627913184,0.055927945049878636,0.094233806434326,derived
