#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.12616887188167075,0.0059728815540788655,0.010806527990480652,$R_b / R_\star$,
b_rsuma,0.21439821263867279,0.012980735641370311,0.01321845701753796,$(R_\star + R_b) / a_b$,
b_cosi,0.16659734854930178,0.014193678612984456,0.014659615760231004,$\cos{i_b}$,
b_epoch,14.695845928029978,0.000797896521348207,0.0008266266625529539,$T_{0;b}$,BJD
b_period,3.40041900630159,0.0003461497824992499,0.0003390955709745569,$P_b$,d
c_rr,0.13102205864769906,0.004832410764738504,0.004378440885596135,$R_b / R_\star$,
c_rsuma,0.1474935732023457,0.011651883099134397,0.011419441434982691,$(R_\star + R_b) / a_b$,
c_cosi,0.08590866084168736,0.017839769823417465,0.017649815309327216,$\cos{i_b}$,
c_epoch,15.601070344659572,0.0006785226617900264,0.0006480574877425482,$T_{0;b}$,BJD
c_period,5.099536182540206,0.000360938193949778,0.000352946331877213,$P_b$,d
host_ldc_q1_Leonardo,0.624427174163156,0.3086985130021626,0.2463834489413116,$q_{1; \mathrm{Leonardo}}$,
host_ldc_q2_Leonardo,0.37636989652713754,0.20896849594110717,0.22553854784395216,$q_{2; \mathrm{Leonardo}}$,
log_err_flux_Leonardo,-5.918521842411945,0.020551120342868323,0.021043192174825975,$\log{\sigma_\mathrm{Leonardo}}$,log (rel. flux)
baseline_offset_flux_Leonardo,-2.2048013565792793e-05,0.0001075158892428138,0.00011642636503651286,$\mathrm{offset (Leonardo)}$,rel. flux
