#property,value,lower_error,upper_error,source
$R_\star/a_\mathrm{b}$,0.09973213410993764,0.0016263292180952738,0.0032269957807159466,derived
$R_\mathrm{b}/a_\mathrm{b}$,0.009970351534087287,0.00018259771501925696,0.00046414770386736526,derived
$R_\mathrm{b}$ ($\mathrm{R_{\oplus}}$),4.160587144664936,0.22583660812870887,0.23232031499283856,derived
$R_\mathrm{b}$ ($\mathrm{R_{jup}}$),0.3711833613185731,0.020147827313625633,0.02072626589067056,derived
$a_\mathrm{b}$ ($\mathrm{R_{\odot}}$),3.786817773421655,0.23057727243585902,0.2212679940459905,derived
$a_\mathrm{b}$ (AU),0.01761047207852702,0.0010722920565849128,0.0010289995622096426,derived
$i_\mathrm{b}$ (deg),89.11457991654174,0.8963483049028156,0.5694002442729982,derived
$b_\mathrm{tra;b}$,0.15544946314482344,0.09938913991581277,0.14739375101436253,derived
$T_\mathrm{tot;b}$ (h),2.8219371423152024,0.02874049050215488,0.03343394243618336,derived
$T_\mathrm{full;b}$ (h),2.2863741211011166,0.03419888232972301,0.02940409148911982,derived
$rho_\mathrm{\star;b}$ (cgs),1.6496395612671235,0.15030065976091533,0.08340721423599806,derived
$T_\mathrm{eq;b}$ (K),693.9188345478003,28.705730920764267,30.032238099149936,derived
$\delta_\mathrm{undil; b}$ (ppt),10.061138995298526,0.24581333691707208,0.3038929006572211,derived
$\delta_\mathrm{dil; b; Leonardo}$ (ppt),10.061138995298526,0.24581333691707208,0.3038929006572211,derived
$R_\star/a_\mathrm{c}$,0.10686896579512553,0.0056412191940650724,0.005274912809385163,derived
$R_\mathrm{c}/a_\mathrm{c}$,0.013344262021639667,0.0010023737329641798,0.0009635202367237507,derived
$R_\mathrm{c}$ ($\mathrm{R_{\oplus}}$),5.17161070567894,0.2972682604140253,0.2976740941287117,derived
$R_\mathrm{c}$ ($\mathrm{R_{jup}}$),0.46138099706108165,0.02652054344187732,0.0265567495630607,derived
$a_\mathrm{c}$ ($\mathrm{R_{\odot}}$),3.5562525255288433,0.24824730662050953,0.26378941142281054,derived
$a_\mathrm{c}$ (AU),0.016538235941685873,0.0011544659720607135,0.001226744021610257,derived
$i_\mathrm{c}$ (deg),87.41812725360278,0.7149596384146548,1.0231068846110674,derived
$b_\mathrm{tra;c}$,0.4215070388392794,0.15264231668444855,0.09204462279473036,derived
$T_\mathrm{tot;c}$ (h),4.354338663886907,0.05877937463400329,0.06302571004514412,derived
$T_\mathrm{full;c}$ (h),3.1991843796539756,0.11694678011532256,0.1075314649279635,derived
$rho_\mathrm{\star;c}$ (cgs),0.5958776033580976,0.0801918127594482,0.10527600658337599,derived
$T_\mathrm{eq;c}$ (K),715.4016988922494,32.63220717891113,33.63444968675162,derived
$\delta_\mathrm{undil; c}$ (ppt),15.59646659739694,0.7628199609598809,0.7398261055679427,derived
$\delta_\mathrm{dil; c; Leonardo}$ (ppt),15.59646659739694,0.7628199609598809,0.7398261055679427,derived
Limb darkening $u_\mathrm{1; Leonardo}$,0.7669884329787011,0.11327840756894214,0.10645681367887982,derived
Limb darkening $u_\mathrm{2; Leonardo}$,-0.14840741391307788,0.18971998153401748,0.2251635936571582,derived
$rho_\mathrm{\star; mean}$ (cgs),0.840134868468001,0.28492564944965315,0.8544701010273061,derived
