#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_rr,0.10030522915231552,0.0012206026257111646,0.0014912621033630613,$R_b / R_\star$,
b_rsuma,0.10969701812875687,0.0017565343921472354,0.00363541294710186,$(R_\star + R_b) / a_b$,
b_cosi,0.015452880650723307,0.009910053168143185,0.015536757810012621,$\cos{i_b}$,
b_epoch,14.7,(fixed),(fixed),$T_{0;b}$,BJD
b_period,3.4,(fixed),(fixed),$P_b$,d
c_rr,0.12488581423560377,0.003072619524532083,0.0029115991442267286,$R_b / R_\star$,
c_rsuma,0.12021397570175096,0.006599039498502046,0.006186135383124874,$(R_\star + R_b) / a_b$,
c_cosi,0.0450469312958734,0.017742518089747434,0.012398539143519877,$\cos{i_b}$,
c_epoch,15.6,(fixed),(fixed),$T_{0;b}$,BJD
c_period,5.1,(fixed),(fixed),$P_b$,d
host_ldc_q1_Leonardo,0.38493308262810333,0.11379782909701186,0.17274802960555535,$q_{1; \mathrm{Leonardo}}$,
host_ldc_q2_Leonardo,0.619512144677036,0.17080408964773325,0.2011344214882198,$q_{2; \mathrm{Leonardo}}$,
log_err_flux_Leonardo,-6.195527311799657,0.020676063859009552,0.02074791543144361,$\log{\sigma_\mathrm{Leonardo}}$,log (rel. flux)
baseline_offset_flux_Leonardo,2.185517939031628e-05,7.555997106724506e-05,7.441278115166011e-05,$\mathrm{offset (Leonardo)}$,rel. flux
b_ttv_transit_1,-0.007563952409472944,0.0009716172140627026,0.0009787034071171326,TTV$_\mathrm{b;1}$,d
b_ttv_transit_2,-0.02133221360706468,0.001303034249756141,0.001301591733606479,TTV$_\mathrm{b;2}$,d
b_ttv_transit_3,-0.003837300189463877,0.0009574366139901563,0.0009900723506627782,TTV$_\mathrm{b;3}$,d
b_ttv_transit_4,0.017836280872849067,0.0009236475555555457,0.0009715522014403719,TTV$_\mathrm{b;4}$,d
b_ttv_transit_5,0.013222418071092354,0.0009686609243055224,0.000977485961169991,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,-0.00803569914471497,0.0008994080887258921,0.000979343914505576,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,-0.018355750469105418,0.0011174969555734354,0.0011412814327921295,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,-0.0044396103394463565,0.0009143514211115006,0.00099506901242185,TTV$_\mathrm{b;8}$,d
c_ttv_transit_1,0.0013942465563989703,0.0009994690498148356,0.0010181032630068518,TTV$_\mathrm{c;1}$,d
c_ttv_transit_2,0.009718213568083132,0.0010062784635806454,0.0009780384150852028,TTV$_\mathrm{c;2}$,d
c_ttv_transit_3,-0.006279774340802631,0.0010053535329824712,0.000985774482965933,TTV$_\mathrm{c;3}$,d
c_ttv_transit_4,-0.0059018086795804,0.0010325940436234499,0.000984323000073034,TTV$_\mathrm{c;4}$,d
c_ttv_transit_5,0.010331427796374706,0.0009435692929847181,0.0009400693369694471,TTV$_\mathrm{c;5}$,d
c_ttv_transit_6,-0.00173134490781391,0.001067337480095111,0.0010714528527548603,TTV$_\mathrm{c;6}$,d
