# time,flux_detrended,flux_err,trend
0.000000000000000000e+00,1.000807663150608651e+00,2.000000000000000042e-03,1.001984162620380481e+00
1.041666666666666609e-02,9.995812773111724114e-01,2.000000000000000042e-03,1.001944119085162122e+00
2.083333333333333218e-02,1.001189602029059600e+00,2.000000000000000042e-03,1.001905637088143841e+00
3.125000000000000000e-02,1.002974862510822573e+00,2.000000000000000042e-03,1.001868692220352797e+00
4.166666666666666435e-02,9.995032302419964987e-01,2.000000000000000042e-03,1.001833260072814591e+00
5.208333333333332871e-02,9.995378670933194876e-01,2.000000000000000042e-03,1.001799316236555271e+00
6.250000000000000000e-02,1.003191223207162031e+00,2.000000000000000042e-03,1.001766836302601771e+00
7.291666666666665741e-02,1.001602118626686799e+00,2.000000000000000042e-03,1.001735795861979694e+00
8.333333333333332871e-02,9.991625964498753731e-01,2.000000000000000042e-03,1.001706170505715088e+00
9.375000000000000000e-02,1.001211806218990086e+00,2.000000000000000042e-03,1.001677935824834886e+00
1.041666666666666574e-01,9.992302990327309731e-01,2.000000000000000042e-03,1.001651067410364693e+00
1.145833333333333287e-01,9.992513308210989598e-01,2.000000000000000042e-03,1.001625540853330110e+00
1.250000000000000000e-01,1.000688694917461596e+00,2.000000000000000042e-03,1.001601331744758960e+00
1.354166666666666574e-01,9.964078970458802864e-01,2.000000000000000042e-03,1.001578415675676403e+00
1.458333333333333148e-01,9.968054788214054662e-01,2.000000000000000042e-03,1.001556768237108042e+00
1.562500000000000000e-01,9.991472937047126690e-01,2.000000000000000042e-03,1.001536365020081698e+00
1.666666666666666574e-01,9.982664321535896779e-01,2.000000000000000042e-03,1.001517181615621865e+00
1.770833333333333148e-01,1.000934176746339332e+00,2.000000000000000042e-03,1.001499193614755701e+00
1.875000000000000000e-01,9.985095994463923930e-01,2.000000000000000042e-03,1.001482376608509250e+00
1.979166666666666574e-01,9.975175893991665710e-01,2.000000000000000042e-03,1.001466706187908784e+00
2.083333333333333148e-01,1.003278995806815788e+00,2.000000000000000042e-03,1.001452157943979904e+00
2.187500000000000000e-01,9.999137465053314910e-01,2.000000000000000042e-03,1.001438707467749989e+00
2.291666666666666574e-01,1.000511053283378748e+00,2.000000000000000042e-03,1.001426330350243754e+00
2.395833333333333148e-01,9.975411198209419572e-01,2.000000000000000042e-03,1.001415002182488578e+00
2.500000000000000000e-01,9.993086385385224757e-01,2.000000000000000042e-03,1.001404698555509842e+00
2.604166666666666297e-01,1.000625610518817377e+00,2.000000000000000042e-03,1.001395395060334259e+00
2.708333333333333148e-01,9.981124090098979496e-01,2.000000000000000042e-03,1.001387067287987653e+00
2.812500000000000000e-01,1.001167661411137999e+00,2.000000000000000042e-03,1.001379690829496738e+00
2.916666666666666297e-01,9.992227482541525818e-01,2.000000000000000042e-03,1.001373241275886894e+00
3.020833333333333148e-01,9.998438743270122719e-01,2.000000000000000042e-03,1.001367694218185278e+00
3.125000000000000000e-01,9.992278103933938116e-01,2.000000000000000042e-03,1.001363025247417271e+00
3.229166666666666297e-01,1.004131292466768244e+00,2.000000000000000042e-03,1.001359209954609364e+00
3.333333333333333148e-01,1.000406068680500971e+00,2.000000000000000042e-03,1.001356223930787825e+00
3.437500000000000000e-01,9.983208349844787666e-01,2.000000000000000042e-03,1.001354042766978925e+00
3.541666666666666297e-01,1.002075766151694580e+00,2.000000000000000042e-03,1.001352642054208486e+00
3.645833333333333148e-01,9.979931672479129823e-01,2.000000000000000042e-03,1.001351997383503001e+00
3.750000000000000000e-01,1.000846562134763529e+00,2.000000000000000042e-03,1.001352084345888516e+00
3.854166666666666297e-01,9.965124016428220655e-01,2.000000000000000042e-03,1.001352878532391300e+00
3.958333333333333148e-01,9.977699463272287073e-01,2.000000000000000042e-03,1.001354355534037621e+00
4.062500000000000000e-01,1.000811449710233614e+00,2.000000000000000042e-03,1.001356490941853528e+00
4.166666666666666297e-01,1.001888004699235779e+00,2.000000000000000042e-03,1.001359260346865065e+00
4.270833333333333148e-01,1.000749467821984373e+00,2.000000000000000042e-03,1.001362639340098726e+00
4.375000000000000000e-01,1.000169668366782671e+00,2.000000000000000042e-03,1.001366603512580777e+00
4.479166666666666297e-01,9.997920731862235399e-01,2.000000000000000042e-03,1.001371128455337045e+00
4.583333333333333148e-01,9.974326625247403877e-01,2.000000000000000042e-03,1.001376189759393798e+00
4.687500000000000000e-01,9.989395321466807420e-01,2.000000000000000042e-03,1.001381763015777526e+00
4.791666666666666297e-01,9.994482541453293400e-01,2.000000000000000042e-03,1.001387823815513833e+00
4.895833333333333148e-01,1.002470030699707859e+00,2.000000000000000042e-03,1.001394347749629654e+00
5.000000000000000000e-01,1.001034959468064311e+00,2.000000000000000042e-03,1.001401310409150813e+00
5.104166666666666297e-01,9.968170228937563992e-01,2.000000000000000042e-03,1.001408687385103136e+00
5.208333333333332593e-01,1.000974381544065039e+00,2.000000000000000042e-03,1.001416454268513556e+00
5.312500000000000000e-01,9.995466025562323997e-01,2.000000000000000042e-03,1.001424586650407678e+00
