# time,flux_detrended,flux_err,trend
0.000000000000000000e+00,1.001486627581587907e+00,2.000000000000000042e-03,1.001304860882256786e+00
1.041666666666666609e-02,1.000186359100280420e+00,2.000000000000000042e-03,1.001337973905670031e+00
2.083333333333333218e-02,1.001774933579906879e+00,2.000000000000000042e-03,1.001320229167959930e+00
3.125000000000000000e-02,1.003524231871933958e+00,2.000000000000000042e-03,1.001320229167959930e+00
4.166666666666666435e-02,1.000028822806376061e+00,2.000000000000000042e-03,1.001306719136959567e+00
5.208333333333332871e-02,1.000011528633861557e+00,2.000000000000000042e-03,1.001324807899545588e+00
6.250000000000000000e-02,1.003634075527264358e+00,2.000000000000000042e-03,1.001324807899545588e+00
7.291666666666665741e-02,1.001956206481633638e+00,2.000000000000000042e-03,1.001381785899382981e+00
8.333333333333332871e-02,9.994688853555158126e-01,2.000000000000000042e-03,1.001399195980311685e+00
9.375000000000000000e-02,1.001490493903502532e+00,2.000000000000000042e-03,1.001399195980311685e+00
1.041666666666666574e-01,9.994931300496988635e-01,2.000000000000000042e-03,1.001387668932897101e+00
1.145833333333333287e-01,9.994093656318240315e-01,2.000000000000000042e-03,1.001467155602791648e+00
1.250000000000000000e-01,1.000822766761598759e+00,2.000000000000000042e-03,1.001467155602791648e+00
1.354166666666666574e-01,9.965403280039369927e-01,2.000000000000000042e-03,1.001445315202539987e+00
1.458333333333333148e-01,9.969199285360377250e-01,2.000000000000000042e-03,1.001441786197897477e+00
1.562500000000000000e-01,9.992877744353091396e-01,2.000000000000000042e-03,1.001395568180696305e+00
1.666666666666666574e-01,9.984300902478917550e-01,2.000000000000000042e-03,1.001353017499420961e+00
1.770833333333333148e-01,1.001034631824474497e+00,2.000000000000000042e-03,1.001398691917263495e+00
1.875000000000000000e-01,9.985457245867910281e-01,2.000000000000000042e-03,1.001446145226639661e+00
1.979166666666666574e-01,9.975372646057497628e-01,2.000000000000000042e-03,1.001446953477880264e+00
2.083333333333333148e-01,1.003240095497210715e+00,2.000000000000000042e-03,1.001490988926885706e+00
2.187500000000000000e-01,9.998399229594437942e-01,2.000000000000000042e-03,1.001512649060475768e+00
2.291666666666666574e-01,1.000452517752677295e+00,2.000000000000000042e-03,1.001484922857799331e+00
2.395833333333333148e-01,9.974491045787046151e-01,2.000000000000000042e-03,1.001507383281015739e+00
2.500000000000000000e-01,9.991671255334454438e-01,2.000000000000000042e-03,1.001546528470215192e+00
2.604166666666666297e-01,1.000473338975024440e+00,2.000000000000000042e-03,1.001547806940604080e+00
2.708333333333333148e-01,9.979122200750860650e-01,2.000000000000000042e-03,1.001587953304114098e+00
2.812500000000000000e-01,1.000967536144929726e+00,2.000000000000000042e-03,1.001579898498543342e+00
2.916666666666666297e-01,9.989839205240045317e-01,2.000000000000000042e-03,1.001612640222488082e+00
3.020833333333333148e-01,9.995933715208557002e-01,2.000000000000000042e-03,1.001618641677965327e+00
3.125000000000000000e-01,9.989840212987801671e-01,2.000000000000000042e-03,1.001607394907091386e+00
3.229166666666666297e-01,1.003876522307623809e+00,2.000000000000000042e-03,1.001613341254238065e+00
3.333333333333333148e-01,1.000178789278268976e+00,2.000000000000000042e-03,1.001583770891827152e+00
3.437500000000000000e-01,9.980978522635964856e-01,2.000000000000000042e-03,1.001577752945811861e+00
3.541666666666666297e-01,1.001834049572952079e+00,2.000000000000000042e-03,1.001594242481799402e+00
3.645833333333333148e-01,9.977151120374242455e-01,2.000000000000000042e-03,1.001631066164808015e+00
3.750000000000000000e-01,1.000590198547875342e+00,2.000000000000000042e-03,1.001608643137343213e+00
3.854166666666666297e-01,9.962890101797187148e-01,2.000000000000000042e-03,1.001577405434055823e+00
3.958333333333333148e-01,9.975673274486464015e-01,2.000000000000000042e-03,1.001557743607202289e+00
4.062500000000000000e-01,1.000578829337655185e+00,2.000000000000000042e-03,1.001589292109714480e+00
4.166666666666666297e-01,1.001644541588189385e+00,2.000000000000000042e-03,1.001602654116487745e+00
4.270833333333333148e-01,1.000530862570559565e+00,2.000000000000000042e-03,1.001581426325817592e+00
4.375000000000000000e-01,9.999329344881537907e-01,2.000000000000000042e-03,1.001603676812001797e+00
4.479166666666666297e-01,9.995543504177675231e-01,2.000000000000000042e-03,1.001609283305854969e+00
4.583333333333333148e-01,9.971713881859041173e-01,2.000000000000000042e-03,1.001638565821328042e+00
4.687500000000000000e-01,9.987139714575368199e-01,2.000000000000000042e-03,1.001607926228686551e+00
4.791666666666666297e-01,9.992401953810639004e-01,2.000000000000000042e-03,1.001596329752461267e+00
4.895833333333333148e-01,1.002284257544404422e+00,2.000000000000000042e-03,1.001579955960358426e+00
5.000000000000000000e-01,1.000886822909214269e+00,2.000000000000000042e-03,1.001549523114879880e+00
5.104166666666666297e-01,9.966885884737599621e-01,2.000000000000000042e-03,1.001537730042389551e+00
5.208333333333332593e-01,1.000842491806578582e+00,2.000000000000000042e-03,1.001548419642035670e+00
5.312500000000000000e-01,9.994522742556891659e-01,2.000000000000000042e-03,1.001519101097784636e+00
5.416666666666666297e-01,9.989003763679080716e-01,2.000000000000000042e-03,1.001484698942004981e+00
5.520833333333332593e-01,1.001497244555292099e+00,2.000000000000000042e-03,1.001457710495348596e+00
5.625000000000000000e-01,1.002329064169720230e+00,2.000000000000000042e-03,1.001459738358128515e+00
5.729166666666666297e-01,1.002154843651316796e+00,2.000000000000000042e-03,1.001431174672280378e+00
