# #BJD_TDB,flux,flux_err
2.458410904251310509e+06,9.973062872886657715e-01,2.430076012387871742e-03
2.458410905640230048e+06,1.003448724746704102e+00,2.431383356451988220e-03
2.458410907029149123e+06,9.992798566818237305e-01,2.429629908874630928e-03
2.458410908418068197e+06,9.984992742538452148e-01,2.430035732686519623e-03
2.458410909806987736e+06,9.931036233901977539e-01,2.426961902529001236e-03
2.458410911195906810e+06,1.000970125198364258e+00,2.430963329970836639e-03
2.458410912584825885e+06,9.961676597595214844e-01,2.428179373964667320e-03
2.458410913973745424e+06,1.000680088996887207e+00,2.430916531011462212e-03
2.458410915362664498e+06,9.977312684059143066e-01,2.429912099614739418e-03
2.458410916751583572e+06,1.000060200691223145e+00,2.431749599054455757e-03
2.458410918140502647e+06,9.995549917221069336e-01,2.432595705613493919e-03
2.458410919529422186e+06,9.999642968177795410e-01,2.429948188364505768e-03
2.458410920918341260e+06,9.969748258590698242e-01,2.430284162983298302e-03
2.458410922307260334e+06,9.961788654327392578e-01,2.428005682304501534e-03
2.458410923696179874e+06,9.981043338775634766e-01,2.430223859846591949e-03
2.458410925085098948e+06,1.000575184822082520e+00,2.430947730317711830e-03
2.458410926474018022e+06,9.981808066368103027e-01,2.429109998047351837e-03
2.458410927862937562e+06,9.990182518959045410e-01,2.431190805509686470e-03
2.458410929251856636e+06,1.000849723815917969e+00,2.431295812129974365e-03
2.458410930640775710e+06,1.003378629684448242e+00,2.431561471894383430e-03
2.458410932029695250e+06,9.996774196624755859e-01,2.428444335237145424e-03
2.458410933418614324e+06,9.973154664039611816e-01,2.429992659017443657e-03
2.458410934807533864e+06,9.983065128326416016e-01,2.430055523291230202e-03
2.458410936196452938e+06,9.999626874923706055e-01,2.430329797789454460e-03
2.458410937585372012e+06,9.971224665641784668e-01,2.429353306069970131e-03
2.458410938974291552e+06,1.000147223472595215e+00,2.430824330076575279e-03
2.458410940363210626e+06,9.987623691558837891e-01,2.430404303595423698e-03
2.458410941752130166e+06,9.987331628799438477e-01,2.429611748084425926e-03
2.458410943141049240e+06,9.989011883735656738e-01,2.429177984595298767e-03
2.458410944529968314e+06,1.001374244689941406e+00,2.431201515719294548e-03
2.458410945918887854e+06,1.000281095504760742e+00,2.431042026728391647e-03
2.458410947307806928e+06,1.001170754432678223e+00,2.430993132293224335e-03
2.458410948696726467e+06,1.000009059906005859e+00,2.431310713291168213e-03
2.458410950085645542e+06,9.958879947662353516e-01,2.430327003821730614e-03
2.458410951474564616e+06,1.001684546470642090e+00,2.431384753435850143e-03
2.458410952863484155e+06,1.001129388809204102e+00,2.431001281365752220e-03
2.458410954252403229e+06,9.991018176078796387e-01,2.428880194202065468e-03
2.458410955641322769e+06,1.001972675323486328e+00,2.430007560178637505e-03
2.458410957030241843e+06,9.955139160156250000e-01,2.426856430247426033e-03
2.458410958419161383e+06,1.002288937568664551e+00,2.431541681289672852e-03
2.458410959808080457e+06,1.000596284866333008e+00,2.431437373161315918e-03
2.458410962585919071e+06,1.006452441215515137e+00,2.433920511975884438e-03
2.458410963974838145e+06,1.001358032226562500e+00,2.430748660117387772e-03
2.458410965363757685e+06,9.996553063392639160e-01,2.430200111120939255e-03
2.458410966752676759e+06,9.970880150794982910e-01,2.429212210699915886e-03
2.458410968141596299e+06,9.986665844917297363e-01,2.425523707643151283e-03
2.458410976475112140e+06,1.001491904258728027e+00,2.429614076390862465e-03
2.458410980641869828e+06,9.980913996696472168e-01,2.427978906780481339e-03
2.458410982030789368e+06,1.002403974533081055e+00,2.430656924843788147e-03
2.458410983419708442e+06,1.002803921699523926e+00,2.431587781757116318e-03
2.458410984808627982e+06,1.006671786308288574e+00,2.434959635138511658e-03
