#BJD_TDB,flux,flux_err
2.458410905513e+06,1.009060621e+00,2.160301432e-02
2.458410906902e+06,9.999784827e-01,2.156472765e-02
2.458410908290e+06,9.915835261e-01,2.158618346e-02
2.458410909679e+06,1.023846507e+00,2.160023525e-02
2.458410911068e+06,9.959902763e-01,2.154314518e-02
2.458410912457e+06,9.663870931e-01,2.152674273e-02
2.458410913846e+06,9.731225967e-01,2.154315822e-02
2.458410915235e+06,1.033972502e+00,2.161363512e-02
2.458410916624e+06,9.793188572e-01,2.150966786e-02
2.458410918013e+06,9.791896343e-01,2.156539448e-02
2.458410919402e+06,1.003633499e+00,2.157219313e-02
2.458410920791e+06,1.025188804e+00,2.162355371e-02
2.458410922180e+06,9.882395267e-01,2.157223411e-02
2.458410923569e+06,1.004032373e+00,2.158227563e-02
2.458410924958e+06,9.985908270e-01,2.156532370e-02
2.458410926347e+06,1.023919582e+00,2.159704454e-02
2.458410927735e+06,9.669445157e-01,2.154646441e-02
2.458410929124e+06,1.021245122e+00,2.159592137e-02
2.458410930513e+06,1.020808220e+00,2.159944735e-02
2.458410931902e+06,1.013766646e+00,2.157736942e-02
2.458410933291e+06,1.005266666e+00,2.155605517e-02
2.458410934680e+06,9.973344803e-01,2.157909423e-02
2.458410936069e+06,1.034437776e+00,2.158872411e-02
2.458410937458e+06,9.937331676e-01,2.158362232e-02
2.458410938847e+06,9.811149240e-01,2.153393254e-02
2.458410940236e+06,9.990181327e-01,2.158638835e-02
2.458410941625e+06,1.013801694e+00,2.159795165e-02
2.458410943014e+06,9.806667566e-01,2.152175084e-02
2.458410944403e+06,9.793063402e-01,2.154573239e-02
2.458410945792e+06,1.026256561e+00,2.159321681e-02
2.458410947180e+06,1.023164988e+00,2.160338312e-02
2.458410948569e+06,1.012991190e+00,2.158495784e-02
2.458410949958e+06,9.403945208e-01,2.150619961e-02
2.458410951347e+06,1.004822373e+00,2.157656848e-02
2.458410952736e+06,1.014248490e+00,2.159673162e-02
2.458410954125e+06,1.022209764e+00,2.157685906e-02
2.458410955514e+06,1.010894656e+00,2.158731036e-02
2.458410956903e+06,9.957937598e-01,2.154873498e-02
2.458410958292e+06,9.855380654e-01,2.153432183e-02
2.458410959681e+06,1.010809183e+00,2.158881165e-02
2.458410961070e+06,9.813159108e-01,2.155738324e-02
2.458410963848e+06,9.717476964e-01,2.152721956e-02
2.458410965236e+06,1.039550543e+00,2.161464281e-02
2.458410966625e+06,1.010209918e+00,2.159306780e-02
2.458410968014e+06,9.823659658e-01,2.152995765e-02
2.458410969403e+06,1.001209855e+00,2.152879909e-02
2.458410977737e+06,9.671454430e-01,2.152394317e-02
2.458410981904e+06,1.025297999e+00,2.159341425e-02
2.458410983293e+06,9.814931154e-01,2.153548226e-02
2.458410984681e+06,1.000770569e+00,2.157425694e-02
2.458410986070e+06,1.014694691e+00,2.158011682e-02
2.458410987459e+06,1.026796341e+00,2.159324102e-02
2.458410988848e+06,1.009731770e+00,2.158295736e-02
2.458410990237e+06,9.949465990e-01,2.157028764e-02
2.458410991626e+06,1.031376839e+00,2.158168890e-02
2.458410993015e+06,1.011176229e+00,2.157113515e-02
2.458410994404e+06,9.989737272e-01,2.153235115e-02
2.458410995793e+06,1.015995383e+00,2.158009633e-02
2.458410999960e+06,9.795681238e-01,2.152287588e-02
2.458411004126e+06,1.038341165e+00,2.158508450e-02
2.458411005515e+06,9.999644756e-01,2.153894305e-02
2.458411006904e+06,9.783570766e-01,2.153287083e-02
2.458411008293e+06,1.003141165e+00,2.156861871e-02
2.458411009682e+06,9.890431762e-01,2.153323032e-02
2.458411011071e+06,9.994567037e-01,2.154321037e-02
2.458411012460e+06,1.036232233e+00,2.162382752e-02
2.458411013849e+06,1.015321374e+00,2.158132382e-02
2.458411015238e+06,9.899277687e-01,2.153899707e-02
2.458411016627e+06,9.801636934e-01,2.151307650e-02
2.458411018016e+06,1.037141442e+00,2.162278257e-02
2.458411019405e+06,1.008943319e+00,2.154874615e-02
2.458411020794e+06,9.652544856e-01,2.147027478e-02
2.458411022183e+06,1.007674575e+00,2.153483592e-02
2.458411023571e+06,1.006382465e+00,2.155581303e-02
2.458411024960e+06,9.908068180e-01,2.156839147e-02
2.458411026349e+06,9.960960746e-01,2.154563926e-02
