# time,flux_clean,flux_err
2.458410905513000209e+06,1.005084444314678471e+00,2.160301431999999897e-02
2.458410906901999842e+06,9.962270808709757786e-01,2.156472765000000055e-02
2.458410908290000167e+06,9.880476332936531936e-01,2.158618345999999827e-02
2.458410909678999800e+06,1.020195586555439293e+00,2.160023524999999875e-02
2.458410911067999899e+06,9.923934231315174603e-01,2.154314518000000067e-02
2.458410912456999999e+06,9.628109330667934396e-01,2.152674272999999944e-02
2.458410913846000098e+06,9.695266754635831763e-01,2.154315822000000061e-02
2.458410915235000197e+06,1.030233917866578697e+00,2.161363511999999862e-02
2.458410916623999830e+06,9.756449952849350904e-01,2.150966786000000144e-02
2.458410918012999929e+06,9.756117107215792617e-01,2.156539447999999970e-02
2.458410919402000029e+06,1.000041553017547047e+00,2.157219313000000027e-02
2.458410920791000128e+06,1.021414030370251469e+00,2.162355370999999998e-02
2.458410922180000227e+06,9.844718359184154721e-01,2.157223411000000132e-02
2.458410923568999860e+06,1.000019612278675085e+00,2.158227563000000154e-02
2.458410924957999960e+06,9.945466923523516023e-01,2.156532369999999976e-02
2.458410926347000059e+06,1.019790601204877634e+00,2.159704453999999885e-02
2.458410927734999917e+06,9.631366163753872778e-01,2.154646441000000051e-02
2.458410929124000017e+06,1.017284091229747611e+00,2.159592136999999995e-02
2.458410930513000116e+06,1.016821403455852479e+00,2.159944734999999852e-02
2.458410931902000215e+06,1.009632037757822953e+00,2.157736941999999908e-02
2.458410933290999848e+06,1.001024663448289109e+00,2.155605517000000124e-02
2.458410934679999948e+06,9.930879955083476984e-01,2.157909422999999827e-02
2.458410936069000047e+06,1.030017054518976849e+00,2.158872410999999880e-02
2.458410937458000146e+06,9.893805751304025620e-01,2.158362231999999895e-02
2.458410938846999779e+06,9.767737933767577374e-01,2.153393254000000173e-02
2.458410940235999878e+06,9.946071310555505418e-01,2.158638834999999923e-02
2.458410941624999978e+06,1.009415757467437169e+00,2.159795164999999892e-02
2.458410943014000077e+06,9.763315894597744959e-01,2.152175083999999933e-02
2.458410944403000176e+06,9.748225356764239624e-01,2.154573238999999904e-02
2.458410945791999809e+06,1.021724647683650344e+00,2.159321680999999951e-02
2.458410947180000134e+06,1.018532847571185229e+00,2.160338311999999983e-02
2.458410948568999767e+06,1.008570102375835109e+00,2.158495783999999848e-02
2.458410949957999866e+06,9.363408032653046664e-01,2.150619960999999858e-02
2.458410951346999966e+06,1.000469939550219456e+00,2.157656847999999891e-02
2.458410952736000065e+06,1.010009043432308351e+00,2.159673162000000021e-02
2.458410954125000164e+06,1.017778303478247937e+00,2.157685905999999834e-02
2.458410955513999797e+06,1.006464568456287179e+00,2.158731036000000048e-02
2.458410956902999897e+06,9.914317233748276559e-01,2.154873498000000123e-02
2.458410958291999996e+06,9.813658441258367171e-01,2.153432183000000139e-02
2.458410959681000095e+06,1.006514321321249739e+00,2.158881165000000116e-02
2.458410961070000194e+06,9.772366744079460377e-01,2.155738323999999845e-02
2.458410963847999927e+06,9.677524334709478593e-01,2.152721956000000145e-02
2.458410965235999785e+06,1.035316026788279942e+00,2.161464281000000098e-02
2.458410966624999885e+06,1.006226143043729371e+00,2.159306780000000078e-02
2.458410968013999984e+06,9.784899981311965256e-01,2.152995765000000061e-02
2.458410969403000083e+06,9.973353391039968541e-01,2.152879908999999828e-02
2.458410977737000212e+06,9.634004261073941811e-01,2.152394317000000043e-02
2.458410981904000044e+06,1.021244987555273820e+00,2.159341425000000161e-02
2.458410983293000143e+06,9.777567531012537616e-01,2.153548225999999885e-02
2.458410984681000002e+06,9.969015745275987550e-01,2.157425694000000144e-02
2.458410986070000101e+06,1.010916317658538066e+00,2.158011681999999834e-02
2.458410987459000200e+06,1.022907111159390148e+00,2.159324102000000078e-02
2.458410988847999834e+06,1.005817343453797141e+00,2.158295735999999840e-02
2.458410990236999933e+06,9.909708807837876998e-01,2.157028764000000140e-02
2.458410991626000032e+06,1.027345522181777770e+00,2.158168889999999979e-02
2.458410993015000131e+06,1.007210348592192828e+00,2.157113515000000023e-02
2.458410994404000230e+06,9.950264042739193071e-01,2.153235115000000019e-02
2.458410995792999864e+06,1.011858565998994042e+00,2.158009632999999955e-02
2.458410999960000161e+06,9.757845841314299884e-01,2.152287588000000029e-02
2.458411004126000218e+06,1.034232827578029923e+00,2.158508450000000065e-02
2.458411005514999852e+06,9.960613514411917890e-01,2.153894304999999856e-02
2.458411006903999951e+06,9.744637433773848390e-01,2.153287082999999838e-02
2.458411008293000050e+06,9.991812576190497452e-01,2.156861871000000097e-02
2.458411009682000149e+06,9.852263771475255894e-01,2.153323031999999915e-02
2.458411011070999783e+06,9.957226275409201133e-01,2.154321036999999953e-02
2.458411012459999882e+06,1.032422438506702234e+00,2.162382751999999964e-02
2.458411013848999981e+06,1.011626089567090991e+00,2.158132382000000141e-02
2.458411015238000080e+06,9.862019827381478532e-01,2.153899706999999955e-02
2.458411016627000179e+06,9.765302380388107828e-01,2.151307649999999877e-02
2.458411018015999813e+06,1.033164992775486457e+00,2.162278256999999870e-02
2.458411019404999912e+06,1.005148413983693034e+00,2.154874614999999910e-02
2.458411020794000011e+06,9.616339157318103403e-01,2.147027477999999961e-02
2.458411022183000110e+06,1.004025120566736984e+00,2.153483591999999849e-02
2.458411023570999969e+06,1.002719518137323407e+00,2.155581302999999907e-02
2.458411024960000068e+06,9.870743309508380747e-01,2.156839146999999998e-02
2.458411026349000167e+06,9.922170182258563953e-01,2.154563925999999907e-02
2.458411027737999801e+06,9.992842841674880461e-01,2.152580022999999940e-02
2.458411029126999900e+06,1.001668257530947237e+00,2.153513766999999926e-02
2.458411030515999999e+06,9.907435282302040624e-01,2.153048105999999864e-02
2.458411031905000098e+06,1.008186475575469920e+00,2.156840264999999868e-02
2.458411033294000197e+06,1.025963273141432541e+00,2.157340757999999872e-02
2.458411034682999831e+06,9.984574741836176326e-01,2.155993506000000032e-02
2.458411036071999930e+06,1.033224896873522258e+00,2.156414649999999905e-02
2.458411037461000029e+06,9.743977247404893571e-01,2.149899862999999842e-02
2.458411038850000128e+06,9.774292825161947640e-01,2.155687287000000035e-02
2.458411040239000227e+06,1.022113796081955961e+00,2.161410637000000037e-02
2.458411041627000086e+06,9.966144105614295201e-01,2.154782414000000132e-02
2.458411043016000185e+06,1.023583326466344090e+00,2.157859876999999871e-02
2.458411044404999819e+06,9.236717865165900987e-01,2.146675250999999923e-02
2.458411045793999918e+06,9.750397047010368468e-01,2.152111568000000114e-02
2.458411047183000017e+06,9.956937460605291834e-01,2.156369573999999956e-02
2.458411048572000116e+06,1.013414311776702492e+00,2.158623374999999942e-02
2.458411051349999849e+06,1.030638970283068501e+00,2.158928104000000167e-02
2.458411052738999948e+06,1.015992721990285119e+00,2.157237940000000104e-02
2.458411054128000047e+06,1.004432479504889120e+00,2.154137379999999935e-02
2.458411055517000146e+06,9.838950858230591789e-01,2.154337429000000026e-02
2.458411056905999780e+06,1.014933424815807061e+00,2.153499237999999955e-02
2.458411058294999879e+06,1.019491472678038635e+00,2.154951729000000038e-02
2.458411059683999978e+06,1.017755331039172928e+00,2.159233019000000170e-02
2.458411061071999837e+06,1.024034773844460400e+00,2.159056813000000130e-02
2.458411062460999936e+06,1.002594592992768430e+00,2.153418399000000052e-02
2.458411063850000035e+06,9.539490494490087125e-01,2.150383218999999888e-02
2.458411065239000134e+06,1.023003063578878713e+00,2.160488627999999911e-02
2.458411066627999768e+06,1.013945385585935499e+00,2.155688404999999905e-02
2.458411068016999867e+06,9.984525094704128634e-01,2.154892682999999878e-02
2.458411069405999966e+06,1.016030737223075908e+00,2.157878317000000087e-02
2.458411070795000065e+06,9.978060215425453849e-01,2.155332826000000077e-02
2.458411072184000164e+06,9.920087496176703823e-01,2.150784433000000120e-02
2.458411073572999798e+06,1.009883806172358955e+00,2.156897074999999941e-02
2.458411074961999897e+06,1.027010708725825783e+00,2.156114577999999893e-02
2.458411076350999996e+06,9.867929277213265404e-01,2.151698805000000145e-02
2.458411077740000095e+06,1.004157598376599347e+00,2.154655009999999898e-02
2.458411079129000194e+06,1.010815557712308577e+00,2.153896539999999860e-02
2.458411080517000053e+06,1.007451048644403713e+00,2.151027507999999852e-02
2.458411081906000152e+06,1.020386740691877625e+00,2.157239987999999900e-02
2.458411083294999786e+06,1.039825154627546322e+00,2.159976400000000046e-02
2.458411084683999885e+06,1.002488238237148055e+00,2.152506262000000031e-02
2.458411086072999984e+06,9.795627979472034674e-01,2.153996005999999838e-02
2.458411087462000083e+06,9.930570976308881193e-01,2.155331149999999835e-02
2.458411088851000182e+06,9.943340246749879929e-01,2.159523219000000077e-02
2.458411090239999816e+06,1.032673135726690727e+00,2.157414331999999921e-02
2.458411091628999915e+06,9.962941664793274477e-01,2.158709987999999844e-02
2.458411093018000014e+06,9.880141488794107474e-01,2.148700133000000165e-02
2.458411094407000113e+06,9.813097366748209094e-01,2.151527815000000080e-02
2.458411095796000212e+06,1.012186528196551194e+00,2.155252918999999920e-02
2.458411097184999846e+06,1.031963907323228291e+00,2.157698757999999828e-02
2.458411098573999945e+06,1.015894763485922558e+00,2.158007770999999936e-02
2.458411099961999804e+06,9.820953044004059329e-01,2.153429016000000043e-02
2.458411101350999903e+06,9.944302846437371723e-01,2.157639898000000139e-02
