# time,flux,flux_err
2.458385949855071492e+06,1.000796196006332739e+00,1.321007148362696171e-03
2.458385951243990101e+06,9.982832567906476662e-01,1.319856615737080574e-03
2.458385952632908709e+06,1.000572783264937371e+00,1.320709707215428352e-03
2.458385954021827318e+06,1.000293051777236153e+00,1.320813549682497978e-03
2.458385955410745926e+06,9.996162940016573017e-01,1.320638577453792095e-03
2.458385956799664535e+06,9.996314867981667129e-01,1.320225303061306477e-03
2.458385958188583143e+06,1.000286893335018856e+00,1.321209128946065903e-03
2.458385959577501751e+06,9.986437662061271592e-01,1.319828443229198456e-03
2.458385960966420360e+06,9.981926130141028919e-01,1.319421920925378799e-03
2.458385962355338968e+06,9.998220198031768646e-01,1.320248702540993690e-03
2.458385963744257577e+06,9.996882022409934176e-01,1.320123090408742428e-03
2.458385965133176185e+06,1.001623977405108779e+00,1.321311807259917259e-03
2.458385966522094794e+06,9.983609760975966640e-01,1.319573842920362949e-03
2.458385967911013402e+06,9.987175863036059642e-01,1.320327981375157833e-03
2.458385969299932010e+06,9.990331887641756836e-01,1.319646020419895649e-03
2.458385970688850619e+06,9.982748349852678116e-01,1.319480827078223228e-03
2.458385972077769227e+06,9.984464927287948210e-01,1.320100738666951656e-03
2.458385973466687836e+06,9.982316742055229453e-01,1.319736824370920658e-03
2.458385974855606444e+06,1.000772617078640181e+00,1.320025883615016937e-03
2.458385976244525053e+06,1.000821907235974528e+00,1.320584095083177090e-03
2.458385977633443661e+06,9.996016783139204387e-01,1.320337411016225815e-03
2.458385979022362269e+06,9.986459154503372071e-01,1.320019830018281937e-03
2.458385980411280878e+06,1.000598323059511241e+00,1.320982584729790688e-03
2.458385981800199486e+06,9.992405273658802045e-01,1.319793518632650375e-03
2.458385983189118095e+06,9.981138787340487761e-01,1.319469185546040535e-03
2.458385984578036703e+06,1.000149673989344734e+00,1.320317387580871582e-03
2.458385985966955312e+06,1.000854616985295653e+00,1.320354524068534374e-03
2.458385987355873920e+06,9.996434497147704823e-01,1.320142415352165699e-03
2.458385988744792528e+06,9.996271770070958018e-01,1.320566167123615742e-03
2.458385990133711137e+06,9.991367495991910763e-01,1.319878036156296730e-03
2.458385991522629745e+06,9.973742997160112145e-01,1.319527975283563137e-03
2.458385992911548354e+06,9.992238915550171185e-01,1.320141251198947430e-03
2.458385994300466496e+06,9.988894502489790161e-01,1.319720526225864887e-03
2.458385995689385105e+06,1.000025873010598643e+00,1.320388400927186012e-03
2.458385997078303713e+06,9.982177073595797090e-01,1.319388276897370815e-03
2.458385998467222322e+06,9.993798202201270575e-01,1.319847768172621727e-03
2.458385999856140930e+06,1.001129754335843280e+00,1.320777344517409801e-03
2.458386001245059539e+06,9.996637200910166721e-01,1.320490962825715542e-03
2.458386002633978147e+06,9.998328799191911198e-01,1.320544048212468624e-03
2.458386004022896755e+06,1.000027550783481267e+00,1.320307259447872639e-03
2.458386005411815364e+06,9.989409604517517360e-01,1.319753704592585564e-03
2.458386006800733507e+06,9.996423308974397015e-01,1.320678624324500561e-03
2.458386008189652115e+06,1.001727483024044574e+00,1.321347197517752647e-03
2.458386009578570724e+06,9.975917582279169027e-01,1.318997005000710487e-03
2.458386010967489332e+06,9.981336273875769383e-01,1.318912138231098652e-03
2.458386012356407940e+06,9.987081005355985530e-01,1.319714239798486233e-03
2.458386013745326549e+06,1.001652752630701748e+00,1.321207499131560326e-03
2.458386015134245157e+06,9.993724022076572178e-01,1.320129493251442909e-03
2.458386016523163766e+06,1.000106497336910927e+00,1.320607610978186131e-03
2.458386017912082374e+06,1.002571451993143903e+00,1.321865478530526161e-03
2.458386019301000983e+06,9.987808994274656182e-01,1.320031355135142803e-03
2.458386020689919125e+06,9.996960742094441743e-01,1.319793052971363068e-03
2.458386022078837734e+06,1.001167241364894211e+00,1.320735435001552105e-03
2.458386023467756342e+06,1.000173935519840684e+00,1.320359297096729279e-03
2.458386024856674951e+06,9.995861203201382716e-01,1.319841947406530380e-03
2.458386026245593559e+06,1.001429698036977456e+00,1.321158255450427532e-03
2.458386027634512167e+06,9.990767513805433042e-01,1.319963950663805008e-03
2.458386029023430776e+06,1.001241598626207097e+00,1.320728799328207970e-03
2.458386030412348919e+06,9.994243194057916835e-01,1.319927163422107697e-03
2.458386031801267527e+06,9.996963024404866838e-01,1.320274895988404751e-03
2.458386033190186135e+06,1.001442070168358844e+00,1.321158953942358494e-03
2.458386034579104744e+06,1.002613130157687049e+00,1.321563497185707092e-03
2.458386035968023352e+06,1.002975116945133749e+00,1.321722869761288166e-03
2.458386037356941961e+06,9.987206050316561612e-01,1.319249160587787628e-03
2.458386038745860569e+06,9.983731778293443160e-01,1.319118775427341461e-03
2.458386040134778712e+06,1.000170325992205900e+00,1.320078969001770020e-03
2.458386041523697320e+06,9.989672150015338481e-01,1.320420880801975727e-03
2.458386042912615929e+06,1.001209491143356001e+00,1.320741488598287106e-03
2.458386044301534537e+06,1.000960412588672410e+00,1.320938696153461933e-03
2.458386045690453146e+06,1.000656736425110660e+00,1.320288167335093021e-03
2.458386047079371288e+06,9.991085751290355033e-01,1.319671049714088440e-03
2.458386048468289897e+06,1.000898274185860526e+00,1.320370123721659184e-03
2.458386049857208505e+06,9.986772365458884693e-01,1.319909002631902695e-03
2.458386051246127114e+06,9.997587733090450568e-01,1.320522045716643333e-03
2.458386052635045256e+06,1.001059774619694309e+00,1.320225186645984650e-03
2.458386054023963865e+06,9.991580397977835037e-01,1.320245675742626190e-03
2.458386055412882473e+06,9.998597168955447589e-01,1.320500974543392658e-03
2.458386056801801082e+06,9.987430353402344529e-01,1.320310868322849274e-03
2.458386058190719690e+06,9.991156356842930686e-01,1.319904578849673271e-03
2.458386059579637833e+06,1.001334907377809724e+00,1.320577459409832954e-03
2.458386060968556441e+06,1.000088050013101082e+00,1.320377807132899761e-03
2.458386062357475050e+06,1.000309851340428047e+00,1.320450450293719769e-03
2.458386063746393658e+06,1.000716904148405639e+00,1.320957322604954243e-03
2.458386065135312267e+06,1.000225238367068226e+00,1.320124370977282524e-03
2.458386066524230409e+06,1.000932579864656002e+00,1.321089686825871468e-03
2.458386067913149018e+06,9.979947399507114181e-01,1.319535425864160061e-03
2.458386069302067626e+06,1.000713619488897477e+00,1.320717739872634411e-03
2.458386070690986235e+06,1.001431213718391167e+00,1.320780487731099129e-03
2.458386072079904377e+06,9.995604764928138763e-01,1.320691546425223351e-03
2.458386073468822986e+06,9.989676034906065372e-01,1.319438568316400051e-03
2.458386074857741594e+06,9.997935596966770477e-01,1.319966046139597893e-03
2.458386076246659737e+06,1.002699420226243365e+00,1.321815070696175098e-03
2.458386077635578346e+06,9.993442899031017568e-01,1.320205046795308590e-03
2.458386079024496954e+06,9.998027246011375047e-01,1.320274895988404751e-03
2.458386080413415562e+06,9.984389263428219419e-01,1.319768954999744892e-03
2.458386081802333705e+06,9.997254488581810428e-01,1.320492243394255638e-03
2.458386083191252314e+06,9.988622704985371525e-01,1.319616450928151608e-03
2.458386084580170922e+06,9.985146129550365179e-01,1.319751609116792679e-03
2.458386085969089065e+06,9.995525252274788386e-01,1.320489449426531792e-03
2.458386087358007673e+06,1.001277977320630619e+00,1.320917974226176739e-03
2.458386088746926282e+06,1.002372276073494994e+00,1.321664196439087391e-03
2.458386090135844890e+06,1.000331489963621756e+00,1.320726936683058739e-03
2.458386091524763033e+06,9.994445308104826786e-01,1.319949515163898468e-03
2.458386092913681641e+06,1.001256231797097662e+00,1.320932991802692413e-03
2.458386094302600250e+06,1.001150690022784229e+00,1.320965588092803955e-03
2.458386095691518392e+06,9.991266537900153066e-01,1.320429146289825439e-03
2.458386097080437001e+06,9.999424214955873191e-01,1.320138806477189064e-03
2.458386098469355609e+06,9.983973090689259866e-01,1.319493399932980537e-03
2.458386099858273752e+06,9.989082591064799566e-01,1.319872448220849037e-03
2.458386101247192360e+06,9.988566607490646510e-01,1.320078503340482712e-03
2.458386102636110969e+06,1.000178532463642078e+00,1.320701907388865948e-03
2.458386104025029577e+06,9.985026484162389249e-01,1.319431816227734089e-03
2.458386105413947720e+06,9.986467924394186735e-01,1.319927279837429523e-03
2.458386106802866329e+06,9.995204975567474337e-01,1.320483162999153137e-03
2.458386108191784471e+06,9.995749966784879259e-01,1.320307026617228985e-03
2.458386109580703080e+06,9.989150747698882782e-01,1.320023438893258572e-03
2.458386110969621688e+06,1.000441272659666314e+00,1.320240553468465805e-03
2.458386112358539831e+06,1.000824253704614586e+00,1.320710987783968449e-03
2.458386113747458439e+06,9.997591401464416272e-01,1.320619368925690651e-03
2.458386115136377048e+06,1.000866377713460986e+00,1.320971176028251648e-03
2.458386116525295191e+06,1.000012324685866760e+00,1.320223440416157246e-03
2.458386117914213799e+06,1.000372656932381865e+00,1.320780720561742783e-03
2.458386119303131942e+06,1.001111359705490145e+00,1.321379444561898708e-03
2.458386120692050550e+06,9.990224183717482109e-01,1.319368719123303890e-03
2.458386122080969159e+06,9.994247726169893653e-01,1.320381881669163704e-03
2.458386123469887767e+06,1.000569324140199168e+00,1.320843817666172981e-03
2.458386124858805910e+06,1.000897113457288823e+00,1.321003539487719536e-03
2.458386126247724518e+06,1.002139119056915550e+00,1.321397023275494576e-03
2.458386127636642661e+06,1.000762216015476991e+00,1.320833573117852211e-03
2.458386129025561269e+06,9.998435537238830051e-01,1.320371869951486588e-03
2.458386130414479878e+06,1.001118461810135640e+00,1.321097952313721180e-03
2.458386131803398021e+06,1.000658040509231572e+00,1.321310177445411682e-03
2.458386133192316629e+06,1.000656217585799368e+00,1.320775481872260571e-03
2.458386134581234772e+06,9.978661492250915366e-01,1.319267088547348976e-03
2.458386135970153380e+06,1.002227327175654548e+00,1.321124029345810413e-03
2.458386137359071523e+06,9.996604786905511908e-01,1.319827162660658360e-03
2.458386138747990131e+06,1.000880075109697120e+00,1.321166986599564552e-03
2.458386140136908740e+06,1.001468577790220582e+00,1.321053714491426945e-03
2.458386141525826883e+06,9.989839248310388164e-01,1.320044160820543766e-03
2.458386142914745491e+06,9.993462283649154898e-01,1.320750336162745953e-03
2.458386144303663634e+06,1.002089439674453741e+00,1.321617397479712963e-03
2.458386145692582242e+06,1.000787641610800138e+00,1.320921466685831547e-03
2.458386147081500385e+06,9.992254906987152463e-01,1.320426003076136112e-03
2.458386148470418993e+06,1.001551351005013579e+00,1.321316929534077644e-03
2.458386149859337602e+06,9.996104130547608380e-01,1.320369425229728222e-03
2.458386151248255745e+06,9.994366934571587979e-01,1.319781527854502201e-03
2.458386152637174353e+06,9.988893721855478525e-01,1.319571165367960930e-03
2.458386154026092496e+06,1.000746919756233755e+00,1.321068266406655312e-03
2.458386155415011104e+06,9.992425867869357825e-01,1.320067560300230980e-03
2.458386156803929247e+06,9.996029853688184197e-01,1.319766510277986526e-03
2.458386158192847855e+06,9.985144548799778086e-01,1.319525181315839291e-03
2.458386159581765998e+06,9.993305314495114500e-01,1.320051727816462517e-03
2.458386160970684607e+06,1.000359575653788191e+00,1.320530660450458527e-03
2.458386162359603215e+06,9.992968546932875507e-01,1.320252195000648499e-03
2.458386163748521358e+06,1.000776152862147494e+00,1.320775249041616917e-03
2.458386165137439501e+06,1.000050019808481849e+00,1.320129493251442909e-03
2.458386166526358109e+06,9.996238771706097426e-01,1.320105860941112041e-03
2.458386167915276717e+06,9.992651476246269260e-01,1.320088398642838001e-03
2.458386169304194860e+06,1.002888545030099721e+00,1.321800984442234039e-03
2.458386170693113003e+06,9.993715446485470499e-01,1.320442650467157364e-03
2.458386172082031611e+06,9.995311378089918319e-01,1.319776638410985470e-03
2.458386173470950220e+06,1.002385874430570922e+00,1.321137300692498684e-03
2.458386174859868363e+06,9.995134393925967364e-01,1.320308190770447254e-03
2.458386176248786971e+06,9.996227865522316902e-01,1.320684561505913734e-03
2.458386177637705114e+06,9.989057751548742203e-01,1.320026698522269726e-03
2.458386179026623257e+06,9.989550413087523451e-01,1.319889212027192116e-03
2.458386180415541865e+06,9.991336497796273752e-01,1.320075010880827904e-03
2.458386181804460473e+06,1.001291490322756550e+00,1.320914481766521931e-03
2.458386183193378616e+06,1.000883053122932242e+00,1.320860465057194233e-03
2.458386184582296759e+06,9.998892985490948071e-01,1.320669311098754406e-03
2.458386185971215367e+06,9.994404498753066690e-01,1.320076407864689827e-03
2.458386187360133510e+06,1.000421636076578302e+00,1.320349751040339470e-03
2.458386188749052119e+06,9.990021262375828881e-01,1.320144394412636757e-03
2.458386190137970261e+06,1.000162544080493543e+00,1.319941016845405102e-03
2.458386191526888870e+06,9.971248282151289333e-01,1.318946364335715771e-03
2.458386192915807012e+06,1.001130831878738192e+00,1.321007963269948959e-03
2.458386194304725621e+06,1.000705826486774530e+00,1.320244628004729748e-03
2.458386195693643764e+06,9.996150970544392944e-01,1.319687347859144211e-03
2.458386197082561906e+06,9.976230860254122756e-01,1.319293631240725517e-03
2.458386198471480515e+06,1.000187194675159263e+00,1.319945673458278179e-03
2.458386199860398658e+06,9.977656730495524373e-01,1.318882568739354610e-03
2.458386201249317266e+06,9.979439870563852066e-01,1.319676521234214306e-03
2.458386202638235409e+06,9.986546303824292981e-01,1.319228089414536953e-03
2.458386204027154017e+06,1.001601282589043906e+00,1.321212504990398884e-03
2.458386205416072160e+06,1.001298945450157074e+00,1.321337069384753704e-03
2.458386206804990768e+06,1.000638027004607356e+00,1.320562441833317280e-03
2.458386208193908911e+06,1.000963684875779025e+00,1.320759416557848454e-03
2.458386209582827054e+06,1.001490449054654785e+00,1.321282354183495045e-03
2.458386210971745662e+06,9.995413557349142053e-01,1.320243347436189651e-03
2.458386212360663805e+06,9.992051643389534554e-01,1.319837523624300957e-03
2.458386213749582414e+06,1.001233131809266652e+00,1.320847775787115097e-03
2.458386215138500556e+06,1.000468621907849798e+00,1.320255338214337826e-03
2.458386216527418699e+06,1.002111424635449666e+00,1.321340212598443031e-03
2.458386217916337308e+06,1.000093667944475628e+00,1.320457435213029385e-03
2.458386219305255450e+06,1.000261613813169692e+00,1.320651499554514885e-03
2.458386220694174059e+06,1.000350881786260970e+00,1.320191775448620319e-03
2.458386222083092202e+06,1.000293999405955869e+00,1.320495619438588619e-03
2.458386223472010344e+06,1.000358114689971600e+00,1.320185023359954357e-03
2.458386224860928953e+06,9.989683537138851488e-01,1.319863367825746536e-03
2.458386226249847095e+06,9.992415029577388363e-01,1.319846254773437977e-03
